,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,141425000.0,65990000.0,358479000.0,419040000.0,
Repurchase Of Capital Stock,,-5144000.0,-25774000.0,-107197000.0,
Repayment Of Debt,,,,-899763000.0,-977894000.0
Issuance Of Debt,273000000.0,506900000.0,,,
Issuance Of Capital Stock,,,,,1136760000.0
Capital Expenditure,-233356000.0,-164116000.0,-149412000.0,-118742000.0,
End Cash Position,874654000.0,620990000.0,407617000.0,163146000.0,
Beginning Cash Position,620990000.0,407617000.0,163146000.0,903029000.0,
Effect Of Exchange Rate Changes,1966000.0,-7512000.0,-11040000.0,-33184000.0,
Changes In Cash,251698000.0,220885000.0,255511000.0,-706699000.0,
Financing Cash Flow,193614000.0,211232000.0,-106890000.0,-1139043000.0,
Net Other Financing Charges,6145000.0,7987000.0,9096000.0,-1499000.0,
Interest Paid Cff,-85531000.0,-298511000.0,-90212000.0,-130584000.0,
Net Common Stock Issuance,,-5144000.0,-25774000.0,-107197000.0,1136760000.0
Common Stock Payments,,-5144000.0,-25774000.0,-107197000.0,
Common Stock Issuance,,,,,1136760000.0
Net Issuance Payments Of Debt,273000000.0,506900000.0,,-899763000.0,-977894000.0
Net Long Term Debt Issuance,273000000.0,506900000.0,,-899763000.0,-977894000.0
Long Term Debt Payments,,,,-899763000.0,-977894000.0
Long Term Debt Issuance,273000000.0,506900000.0,,,
Investing Cash Flow,-316697000.0,-220453000.0,-145490000.0,-105438000.0,
Net Investment Purchase And Sale,11000000.0,,,,
Sale Of Investment,11000000.0,,,,
Net Business Purchase And Sale,-103354000.0,-61140000.0,-15104000.0,7400000.0,
Sale Of Business,25312000.0,39860000.0,300000000.0,22400000.0,
Purchase Of Business,-128666000.0,-101000000.0,-15104000.0,-15000000.0,
Net Intangibles Purchase And Sale,-219754000.0,-143817000.0,-122315000.0,-90909000.0,
Purchase Of Intangibles,-219754000.0,-143817000.0,-122315000.0,-90909000.0,
Net PPE Purchase And Sale,-4589000.0,-15496000.0,-8071000.0,-21929000.0,
Sale Of PPE,9013000.0,4803000.0,19026000.0,5904000.0,
Purchase Of PPE,-13602000.0,-20299000.0,-27097000.0,-27833000.0,
Operating Cash Flow,374781000.0,230106000.0,507891000.0,537782000.0,
Taxes Refund Paid,-165375000.0,-100549000.0,-40367000.0,-35267000.0,
Change In Working Capital,-1178531000.0,-995830000.0,-603166000.0,-512252000.0,
Change In Other Current Liabilities,-578098000.0,-42538000.0,,1334297000.0,1063715000.0
Change In Other Current Assets,375844000.0,-59222000.0,-82577000.0,-112625000.0,
Change In Payable,204751000.0,170132000.0,93276000.0,34396000.0,
Change In Receivables,-25544000.0,-42019000.0,-116983000.0,7437000.0,
Other Non Cash Items,,,-30871000.0,2111000.0,
Stock Based Compensation,11692000.0,3988000.0,3882000.0,5680000.0,
Provisionand Write Offof Assets,1607245000.0,1642101000.0,1210121000.0,918318000.0,
Deferred Tax,-298376000.0,-454723000.0,-299381000.0,13524000.0,
Depreciation And Amortization,123144000.0,90773000.0,104476000.0,59259000.0,
Amortization Cash Flow,104605000.0,71531000.0,86595000.0,27641000.0,
Depreciation,18539000.0,19242000.0,17881000.0,31618000.0,
Gain Loss On Investment Securities,,,-16819000.0,-2695000.0,9692000.0
Net Foreign Currency Exchange Gain Loss,19707000.0,7752000.0,6807000.0,-215288000.0,
Gain Loss On Sale Of PPE,,,5735000.0,,
Gain Loss On Sale Of Business,,,-30871000.0,,
Net Income From Continuing Operations,267921000.0,60342000.0,169662000.0,313677000.0,
