,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,989162000.0,1259240000.0,4252450000.0,978546000.0,
Repayment Of Debt,,,0.0,-229313000.0,0.0
Issuance Of Debt,,,,0.0,0.0
Capital Expenditure,-4000.0,-202000.0,,,-117000.0
End Cash Position,246204000.0,408700000.0,294709000.0,62563000.0,
Beginning Cash Position,408700000.0,294709000.0,62563000.0,201185000.0,
Changes In Cash,-162496000.0,113991000.0,232146000.0,-138622000.0,
Financing Cash Flow,-1151658000.0,-1145322000.0,-4020304000.0,-1117168000.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,
Interest Paid Cff,,-1145322000.0,-4020304000.0,-887855000.0,-379700000.0
Cash Dividends Paid,-1151658000.0,-1145322000.0,-4020304000.0,0.0,
Common Stock Dividend Paid,-1151658000.0,-1145322000.0,-4020304000.0,0.0,
Net Issuance Payments Of Debt,,,0.0,-229313000.0,0.0
Net Long Term Debt Issuance,,,0.0,-229313000.0,0.0
Long Term Debt Payments,,,0.0,-229313000.0,0.0
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,-4000.0,-129000.0,0.0,0.0,
Net Investment Purchase And Sale,,,,0.0,0.0
Sale Of Investment,,,,0.0,0.0
Net PPE Purchase And Sale,-4000.0,-129000.0,0.0,0.0,
Sale Of PPE,0.0,73000.0,0.0,,
Purchase Of PPE,-4000.0,-202000.0,0.0,0.0,
Operating Cash Flow,989166000.0,1259442000.0,4252450000.0,978546000.0,
Taxes Refund Paid,-32623000.0,-30671000.0,-24365000.0,-26929000.0,
Interest Received Cfo,967607000.0,1153350000.0,4268473000.0,1016954000.0,
Change In Working Capital,62520000.0,128036000.0,14602000.0,26413000.0,
Change In Other Current Liabilities,-2585000.0,3719000.0,1071000.0,-38749000.0,
Change In Other Current Assets,65105000.0,124317000.0,13531000.0,65162000.0,
Other Non Cash Items,-1904957000.0,-3718948000.0,-8085521000.0,-1504944000.0,
Gain Loss On Investment Securities,,,,0.0,0.0
Net Income From Continuing Operations,1896619000.0,3727675000.0,8079261000.0,1467052000.0,
