,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,11727610000.0,10791096000.0,13026940000.0,4773183000.0,
Repurchase Of Capital Stock,0.0,-1576385000.0,0.0,,0.0
Repayment Of Debt,-2830684000.0,-3201126000.0,-5116621000.0,-5084028000.0,
Issuance Of Debt,1776684000.0,2263311000.0,609703000.0,3120745000.0,
Capital Expenditure,-127195000.0,-189382000.0,-166310000.0,-154250000.0,
End Cash Position,3005688000.0,2475896000.0,4162748000.0,4617274000.0,
Beginning Cash Position,2475896000.0,4162748000.0,4617274000.0,2641713000.0,
Effect Of Exchange Rate Changes,-710659000.0,-119158000.0,5262000.0,290512000.0,
Changes In Cash,1240451000.0,-1567694000.0,-459788000.0,1685049000.0,
Financing Cash Flow,-4843979000.0,-8088488000.0,-10659623000.0,-1015773000.0,
Net Other Financing Charges,102000.0,-43432000.0,286765000.0,1474325000.0,
Cash Dividends Paid,-3401879000.0,-5220630000.0,-6163616000.0,-278901000.0,
Common Stock Dividend Paid,,,,-278901000.0,-456154000.0
Net Common Stock Issuance,0.0,-1576385000.0,0.0,,0.0
Common Stock Payments,0.0,-1576385000.0,0.0,,0.0
Net Issuance Payments Of Debt,-1054000000.0,-937815000.0,-4506918000.0,-1963283000.0,
Net Long Term Debt Issuance,-1054000000.0,-937815000.0,-4506918000.0,-1963283000.0,
Long Term Debt Payments,-2830684000.0,-3201126000.0,-5116621000.0,-5084028000.0,
Long Term Debt Issuance,1776684000.0,2263311000.0,609703000.0,3120745000.0,
Investing Cash Flow,-5770375000.0,-4459684000.0,-2993415000.0,-2226611000.0,
Net Other Investing Changes,-5209128000.0,-4291873000.0,-3026023000.0,-1650778000.0,
Net Business Purchase And Sale,-477179000.0,-26751000.0,113595000.0,-485324000.0,
Sale Of Business,47006000.0,0.0,141095000.0,0.0,
Purchase Of Business,-524185000.0,-26751000.0,-27500000.0,-485324000.0,
Net Intangibles Purchase And Sale,-127195000.0,-189382000.0,-166310000.0,-154250000.0,
Purchase Of Intangibles,-127195000.0,-189382000.0,-166310000.0,-154250000.0,
Net PPE Purchase And Sale,43127000.0,48322000.0,85323000.0,63741000.0,
Sale Of PPE,43127000.0,48322000.0,85323000.0,63741000.0,
Purchase Of PPE,,,,,-1746600000.0
Operating Cash Flow,11854805000.0,10980478000.0,13193250000.0,4927433000.0,
Taxes Refund Paid,-1585549000.0,-3355666000.0,-2942402000.0,-643509000.0,
Interest Paid Cfo,-986088000.0,-1057221000.0,-1169615000.0,-1141708000.0,
Dividend Received Cfo,461292000.0,425493000.0,117438000.0,94937000.0,
Change In Working Capital,294640000.0,-4576499000.0,-6791976000.0,626877000.0,
Change In Other Current Liabilities,-253469000.0,-1546372000.0,-299505000.0,198624000.0,
Change In Other Current Assets,-107390000.0,-285094000.0,291885000.0,369543000.0,
Change In Payable,-355416000.0,-996477000.0,2534020000.0,1014695000.0,
Change In Inventory,1305424000.0,-2039135000.0,-7704329000.0,-428263000.0,
Change In Receivables,-294509000.0,290579000.0,-1614047000.0,-527722000.0,
Other Non Cash Items,237609000.0,579418000.0,-357921000.0,1324497000.0,
Provisionand Write Offof Assets,12036000.0,43843000.0,-2812000.0,-40697000.0,
Deferred Tax,898530000.0,4704092000.0,4862077000.0,225486000.0,
Depreciation And Amortization,3047212000.0,2866699000.0,2658561000.0,2499111000.0,
Depreciation,3047212000.0,2866699000.0,2658561000.0,2499111000.0,
Pension And Employee Benefit Expense,393956000.0,351672000.0,320766000.0,266490000.0,
Gain Loss On Investment Securities,25707000.0,-38998000.0,-18285000.0,64906000.0,
Net Foreign Currency Exchange Gain Loss,850375000.0,975588000.0,108611000.0,204433000.0,
Gain Loss On Sale Of PPE,27525000.0,-25579000.0,-77417000.0,-32908000.0,
Net Income From Continuing Operations,7585094000.0,11462284000.0,15554098000.0,2383590000.0,
