,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,4707103000.0,3893931000.0,3863472000.0,4935801000.0,
Repayment Of Debt,-1771090000.0,-1536724000.0,-2896604000.0,-3244099000.0,
Issuance Of Debt,2371111000.0,2807026000.0,2922811000.0,4777474000.0,
Issuance Of Capital Stock,811000.0,0.0,0.0,,
Capital Expenditure,-147249000.0,-73668000.0,-50281000.0,-42407000.0,
End Cash Position,838484000.0,1867485000.0,717929000.0,396401000.0,
Beginning Cash Position,1867485000.0,717929000.0,396401000.0,2253210000.0,
Changes In Cash,-1029001000.0,1149556000.0,321528000.0,-1856809000.0,
Financing Cash Flow,-977841000.0,60305000.0,-929018000.0,-66349000.0,
Cash Flow From Continuing Financing Activities,-977841000.0,60305000.0,-929018000.0,-66349000.0,
Net Other Financing Charges,-755002000.0,-606456000.0,-701007000.0,-709629000.0,
Interest Paid Cff,-823671000.0,-603541000.0,-254218000.0,-890095000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,811000.0,0.0,0.0,,
Common Stock Issuance,811000.0,0.0,0.0,,
Net Issuance Payments Of Debt,600021000.0,1270302000.0,26207000.0,1533375000.0,
Net Long Term Debt Issuance,600021000.0,1270302000.0,26207000.0,1533375000.0,
Long Term Debt Payments,-1771090000.0,-1536724000.0,-2896604000.0,-3244099000.0,
Long Term Debt Issuance,2371111000.0,2807026000.0,2922811000.0,4777474000.0,
Investing Cash Flow,-4905512000.0,-2878348000.0,-2663207000.0,-6768668000.0,
Cash Flow From Continuing Investing Activities,-4905512000.0,-2878348000.0,-2663207000.0,-6768668000.0,
Net Other Investing Changes,-4008795000.0,-3559544000.0,-3689394000.0,-3309381000.0,
Dividends Received Cfi,,,,0.0,0.0
Net Investment Purchase And Sale,-742843000.0,755512000.0,1076468000.0,-3416880000.0,
Sale Of Investment,,755512000.0,1076468000.0,,240000.0
Purchase Of Investment,,0.0,0.0,-3416880000.0,0.0
Net Investment Properties Purchase And Sale,-6625000.0,-648000.0,0.0,0.0,
Purchase Of Investment Properties,,-648000.0,0.0,0.0,
Net PPE Purchase And Sale,-147249000.0,-73668000.0,-50281000.0,-42407000.0,
Purchase Of PPE,-147249000.0,-73668000.0,-50281000.0,-42407000.0,
Operating Cash Flow,4854352000.0,3967599000.0,3913753000.0,4978208000.0,
Cash Flow From Continuing Operating Activities,4854352000.0,3967599000.0,3913753000.0,4978208000.0,
Taxes Refund Paid,-1568611000.0,-1368686000.0,-1208569000.0,-373112000.0,
Interest Paid Cfo,-1936419000.0,-1505488000.0,-845445000.0,-626625000.0,
Change In Working Capital,-2658258000.0,-2108743000.0,-1520421000.0,-1076293000.0,
Change In Other Working Capital,-415886000.0,-701957000.0,-346493000.0,-309229000.0,
Change In Other Current Liabilities,-868699000.0,-722549000.0,-68260000.0,-13306000.0,
Change In Other Current Assets,36091000.0,18264000.0,31386000.0,-36264000.0,
Change In Payables And Accrued Expense,-356385000.0,60018000.0,-153369000.0,-211308000.0,
Change In Accrued Expense,19377000.0,73126000.0,12478000.0,-185020000.0,
Change In Payable,-375762000.0,-13108000.0,-165847000.0,-26288000.0,
Change In Account Payable,-394188000.0,-220462000.0,-245501000.0,-248404000.0,
Change In Tax Payable,186810000.0,120853000.0,196255000.0,384676000.0,
Change In Income Tax Payable,186810000.0,120853000.0,196255000.0,384676000.0,
Change In Inventory,38239000.0,-10741000.0,-8658000.0,-34394000.0,
Change In Receivables,-1091618000.0,-751778000.0,-975027000.0,-471792000.0,
Changes In Account Receivables,-839877000.0,-784976000.0,-721595000.0,-129665000.0,
Other Non Cash Items,1790249000.0,948304000.0,677544000.0,394306000.0,
Provisionand Write Offof Assets,815189000.0,629451000.0,383819000.0,445774000.0,
Asset Impairment Charge,661274000.0,792167000.0,671484000.0,461416000.0,
Depreciation Amortization Depletion,2790586000.0,2450849000.0,2253322000.0,2037112000.0,
Depreciation And Amortization,2790586000.0,2450849000.0,2253322000.0,2037112000.0,
Operating Gains Losses,206358000.0,-143005000.0,331863000.0,2389628000.0,
Pension And Employee Benefit Expense,238751000.0,183262000.0,176673000.0,136585000.0,
Earnings Losses From Equity Investments,-32393000.0,-24551000.0,-22079000.0,-14136000.0,
Net Foreign Currency Exchange Gain Loss,,-301716000.0,177269000.0,2267179000.0,280526000.0
Net Income From Continuing Operations,4753984000.0,4272750000.0,3170156000.0,1326002000.0,
