,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,7245000000.0,6039000000.0,20646000000.0,10095000000.0,
Repurchase Of Capital Stock,-2714000000.0,-6036000000.0,-5546000000.0,0.0,
Repayment Of Debt,-891000000.0,-2524000000.0,-2142000000.0,-6268000000.0,
Issuance Of Debt,1950000000.0,1275000000.0,930000000.0,6800000000.0,
Capital Expenditure,-5920000000.0,-5446000000.0,-5033000000.0,-4227000000.0,
End Cash Position,3609000000.0,4736000000.0,11721000000.0,13487000000.0,
Other Cash Adjustment Outside Changein Cash,-703000000.0,-11000000.0,0.0,-15000000.0,
Beginning Cash Position,4736000000.0,11721000000.0,13487000000.0,7350000000.0,
Effect Of Exchange Rate Changes,69000000.0,138000000.0,-551000000.0,-825000000.0,
Changes In Cash,-493000000.0,-7112000000.0,-1215000000.0,6977000000.0,
Cash Flow From Discontinued Operation,,,,0.0,0.0
Financing Cash Flow,-7339000000.0,-13911000000.0,-20284000000.0,-2676000000.0,
Cash From Discontinued Financing Activities,0.0,-11000000.0,-13000000.0,-15000000.0,
Cash Flow From Continuing Financing Activities,-7339000000.0,-13900000000.0,-20271000000.0,-2661000000.0,
Net Other Financing Charges,-171000000.0,-12000000.0,-30000000.0,157000000.0,
Cash Dividends Paid,-5513000000.0,-6603000000.0,-13483000000.0,-3350000000.0,
Common Stock Dividend Paid,,,,-3350000000.0,0.0
Net Common Stock Issuance,-2714000000.0,-6036000000.0,-5546000000.0,0.0,
Common Stock Payments,-2714000000.0,-6036000000.0,-5546000000.0,0.0,
Net Issuance Payments Of Debt,1059000000.0,-1249000000.0,-1212000000.0,532000000.0,
Net Long Term Debt Issuance,1059000000.0,-1249000000.0,-1212000000.0,532000000.0,
Long Term Debt Payments,-891000000.0,-2524000000.0,-2142000000.0,-6268000000.0,
Long Term Debt Issuance,1950000000.0,1275000000.0,930000000.0,6800000000.0,
Investing Cash Flow,-6319000000.0,-4686000000.0,-6610000000.0,-4669000000.0,
Cash From Discontinued Investing Activities,0.0,-103000000.0,-2469000000.0,-129000000.0,
Cash Flow From Continuing Investing Activities,-6319000000.0,-4583000000.0,-4141000000.0,-4540000000.0,
Net Other Investing Changes,-19000000.0,145000000.0,-129000000.0,-568000000.0,
Dividends Received Cfi,204000000.0,219000000.0,190000000.0,173000000.0,
Net Investment Purchase And Sale,-12000000.0,837000000.0,1286000000.0,213000000.0,
Sale Of Investment,127000000.0,837000000.0,1286000000.0,407000000.0,
Purchase Of Investment,-139000000.0,,-542000000.0,-194000000.0,-828000000.0
Net Business Purchase And Sale,-572000000.0,-338000000.0,-455000000.0,-131000000.0,
Purchase Of Business,-572000000.0,-338000000.0,-455000000.0,-131000000.0,
Capital Expenditure Reported,-5920000000.0,-5446000000.0,-5033000000.0,-4227000000.0,
Operating Cash Flow,13165000000.0,11485000000.0,25679000000.0,14322000000.0,
Cash From Discontinued Operating Activities,0.0,41000000.0,-316000000.0,-1055000000.0,
Cash Flow From Continuing Operating Activities,13165000000.0,11444000000.0,25995000000.0,15377000000.0,
Taxes Refund Paid,-1890000000.0,-4637000000.0,-4385000000.0,-1736000000.0,
Interest Paid Cfo,-976000000.0,-1156000000.0,-1111000000.0,-938000000.0,
Change In Working Capital,-903000000.0,-1316000000.0,335000000.0,-3199000000.0,
Change In Other Working Capital,-1523000000.0,-1531000000.0,-442000000.0,-250000000.0,
Change In Other Current Liabilities,,,,,-989000000.0
Change In Payables And Accrued Expense,637000000.0,495000000.0,251000000.0,-222000000.0,
Change In Accrued Expense,,,27000000.0,222000000.0,-91000000.0
Change In Payable,637000000.0,495000000.0,251000000.0,-222000000.0,
Change In Account Payable,637000000.0,495000000.0,251000000.0,-222000000.0,
Change In Inventory,-214000000.0,45000000.0,-503000000.0,-183000000.0,
Change In Receivables,197000000.0,-325000000.0,1029000000.0,-2544000000.0,
Changes In Account Receivables,197000000.0,-325000000.0,1029000000.0,-2544000000.0,
Other Non Cash Items,294000000.0,-3174000000.0,-4707000000.0,2340000000.0,
Provisionand Write Offof Assets,614000000.0,472000000.0,1926000000.0,4747000000.0,
Asset Impairment Charge,266000000.0,-773000000.0,426000000.0,1308000000.0,
Depreciation Amortization Depletion,3070000000.0,3171000000.0,3034000000.0,3215000000.0,
Operating Gains Losses,1539000000.0,-924000000.0,936000000.0,2650000000.0,
Earnings Losses From Equity Investments,1108000000.0,-305000000.0,1271000000.0,1020000000.0,
Gain Loss On Investment Securities,-1212000000.0,-1594000000.0,-203000000.0,1081000000.0,
Net Foreign Currency Exchange Gain Loss,1643000000.0,975000000.0,-132000000.0,549000000.0,
Net Income From Continuing Operations,11151000000.0,19781000000.0,29541000000.0,6990000000.0,
