,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5363198000.0,1762521000.0,208714000.0,3371486000.0,
Repurchase Of Capital Stock,-40396000.0,-10333000.0,,-4360000.0,
Repayment Of Debt,-3534389000.0,-2110718000.0,-241149000.0,-1674612000.0,
Issuance Of Debt,2916805000.0,4253529000.0,386533000.0,211487000.0,
Issuance Of Capital Stock,3149000.0,2813000.0,4563000.0,,3842000.0
Capital Expenditure,-1658625000.0,-1174410000.0,-847344000.0,-558546000.0,
End Cash Position,6488454000.0,4451002000.0,2714427000.0,3892140000.0,
Beginning Cash Position,4451002000.0,2714427000.0,3892140000.0,1946044000.0,
Effect Of Exchange Rate Changes,-306714000.0,-91873000.0,10177000.0,169290000.0,
Changes In Cash,2344166000.0,1828448000.0,-1187890000.0,1776806000.0,
Financing Cash Flow,-2963451000.0,247779000.0,-1560078000.0,-2360601000.0,
Interest Paid Cff,,-55867000.0,-52680000.0,-11784000.0,-68008000.0
Cash Dividends Paid,-2308620000.0,-1887512000.0,-1657345000.0,-881332000.0,
Common Stock Dividend Paid,-2308620000.0,-1887512000.0,-1657345000.0,-881332000.0,
Net Common Stock Issuance,-37247000.0,-7520000.0,4563000.0,-4360000.0,
Common Stock Payments,-40396000.0,-10333000.0,,-4360000.0,
Common Stock Issuance,3149000.0,2813000.0,4563000.0,,3842000.0
Net Issuance Payments Of Debt,-617584000.0,2142811000.0,145384000.0,-1463125000.0,
Net Long Term Debt Issuance,-617584000.0,2142811000.0,145384000.0,-1463125000.0,
Long Term Debt Payments,-3534389000.0,-2110718000.0,-241149000.0,-1674612000.0,
Long Term Debt Issuance,2916805000.0,4253529000.0,386533000.0,211487000.0,
Investing Cash Flow,-1714206000.0,-1356262000.0,-683870000.0,207375000.0,
Dividends Received Cfi,,0.0,0.0,0.0,0.0
Net Investment Purchase And Sale,5590000.0,2542000.0,113115000.0,886856000.0,
Sale Of Investment,5590000.0,14829000.0,170979000.0,1491202000.0,
Purchase Of Investment,0.0,-12287000.0,-57864000.0,-604346000.0,
Net Business Purchase And Sale,-78998000.0,-195052000.0,0.0,-144335000.0,
Purchase Of Business,-78998000.0,-195052000.0,0.0,-144335000.0,
Net Intangibles Purchase And Sale,-72624000.0,-62979000.0,-66495000.0,-77442000.0,
Purchase Of Intangibles,-72624000.0,-62979000.0,-66495000.0,-77442000.0,
Net PPE Purchase And Sale,-1568174000.0,-1100773000.0,-730490000.0,-457704000.0,
Sale Of PPE,17827000.0,10658000.0,50359000.0,23400000.0,
Purchase Of PPE,-1586001000.0,-1111431000.0,-780849000.0,-481104000.0,
Operating Cash Flow,7021823000.0,2936931000.0,1056058000.0,3930032000.0,
Taxes Refund Paid,-1188658000.0,-814414000.0,-1182259000.0,-420956000.0,
Interest Paid Cfo,-127655000.0,-55867000.0,,,
Change In Working Capital,513942000.0,-2697399000.0,-2849464000.0,833949000.0,
Change In Other Current Assets,782142000.0,-225351000.0,,,
Change In Payable,32376000.0,-267095000.0,1170236000.0,785538000.0,
Change In Inventory,142764000.0,-1424939000.0,-2670807000.0,-439340000.0,
Change In Receivables,-443340000.0,-780014000.0,-1348893000.0,487751000.0,
Other Non Cash Items,85112000.0,34419000.0,28940000.0,-27154000.0,
Stock Based Compensation,10908000.0,12035000.0,10712000.0,12118000.0,
Provisionand Write Offof Assets,147028000.0,131995000.0,-26949000.0,145352000.0,
Deferred Tax,154489000.0,72362000.0,30466000.0,61127000.0,
Depreciation And Amortization,628042000.0,565557000.0,520178000.0,451359000.0,
Depreciation,628042000.0,565557000.0,520178000.0,451359000.0,
Pension And Employee Benefit Expense,737547000.0,569352000.0,538705000.0,406706000.0,
Gain Loss On Investment Securities,17889000.0,454636000.0,116673000.0,-35423000.0,
Gain Loss On Sale Of PPE,,,10593000.0,7869000.0,13998000.0
Net Income From Continuing Operations,6590797000.0,5115642000.0,4330036000.0,2746649000.0,
