,0,1,Ticker
0,Papel,BMGB4,BMGB4.SA
1,Cotação,"3,46",BMGB4.SA
2,Tipo,PN N1,BMGB4.SA
3,Data últ cot,24/07/2024,BMGB4.SA
4,Empresa,BANCO BMG PN N1,BMGB4.SA
5,Min 52 sem,"2,03",BMGB4.SA
6,Setor,Intermediários Financeiros,BMGB4.SA
7,Max 52 sem,"4,08",BMGB4.SA
8,Subsetor,Bancos,BMGB4.SA
9,Vol $ méd (2m),1.750.650,BMGB4.SA
10,Valor de mercado,2.017.980.000,BMGB4.SA
11,Últ balanço processado,31/03/2024,BMGB4.SA
12,Valor da firma,-,BMGB4.SA
13,Nro. Ações,583.232.000,BMGB4.SA
14,Dia," -2,54%",BMGB4.SA
15,P/L,"7,31",BMGB4.SA
16,LPA,"0,47",BMGB4.SA
17,Mês,"2,85%",BMGB4.SA
18,P/VP,"0,51",BMGB4.SA
19,VPA,"6,83",BMGB4.SA
20,30 dias,"13,80%",BMGB4.SA
21,P/EBIT, -,BMGB4.SA
22,Marg. Bruta, -,BMGB4.SA
23,12 meses,"40,31%",BMGB4.SA
24,PSR, -,BMGB4.SA
25,Marg. EBIT, -,BMGB4.SA
26,2024,"10,15%",BMGB4.SA
27,P/Ativos, -,BMGB4.SA
28,Marg. Líquida," 0,0%",BMGB4.SA
29,2023,"64,08%",BMGB4.SA
30,P/Cap. Giro, -,BMGB4.SA
31,EBIT / Ativo,"0,0%",BMGB4.SA
32,2022,"-20,51%",BMGB4.SA
33,P/Ativ Circ Liq, -,BMGB4.SA
34,ROIC, -,BMGB4.SA
35,2021,"-45,69%",BMGB4.SA
36,Div. Yield,"15,1%",BMGB4.SA
37,ROE," 6,9%",BMGB4.SA
38,2020,"-35,17%",BMGB4.SA
39,EV / EBITDA, -,BMGB4.SA
40,Liquidez Corr, -,BMGB4.SA
41,2019,"19,24%",BMGB4.SA
42,EV / EBIT, -,BMGB4.SA
43,Div Br/ Patrim, -,BMGB4.SA
44,,,BMGB4.SA
45,Cres. Rec (5a)," -12,1%",BMGB4.SA
46,Giro Ativos, -,BMGB4.SA
47,Ativo,48.202.700.000,BMGB4.SA
48,Depósitos,31.731.300.000,BMGB4.SA
49,Cart. de Crédito,20.140.900.000,BMGB4.SA
50,Patrim. Líq,3.985.940.000,BMGB4.SA
51,Result Int Financ,430.006.000,BMGB4.SA
52,Rec Serviços,39.105.000,BMGB4.SA
53,Lucro Líquido,94.378.000,BMGB4.SA
