,0,1,Ticker
0,Papel,BRAP3,BRAP3.SA
1,Cotação,"18,01",BRAP3.SA
2,Tipo,ON N1,BRAP3.SA
3,Data últ cot,24/07/2024,BRAP3.SA
4,Empresa,BRADESPAR S/A ON N1,BRAP3.SA
5,Min 52 sem,"17,20",BRAP3.SA
6,Setor,Mineração,BRAP3.SA
7,Max 52 sem,"22,38",BRAP3.SA
8,Subsetor,Minerais Metálicos,BRAP3.SA
9,Vol $ méd (2m),1.366.050,BRAP3.SA
10,Valor de mercado,7.079.680.000,BRAP3.SA
11,Últ balanço processado,31/03/2024,BRAP3.SA
12,Valor da firma,6.368.800.000,BRAP3.SA
13,Nro. Ações,393.097.000,BRAP3.SA
14,Dia," 0,33%",BRAP3.SA
15,P/L,"4,81",BRAP3.SA
16,LPA,"3,74",BRAP3.SA
17,Mês,"0,33%",BRAP3.SA
18,P/VP,"0,86",BRAP3.SA
19,VPA,"20,90",BRAP3.SA
20,30 dias,"3,27%",BRAP3.SA
21,P/EBIT," -330,83",BRAP3.SA
22,Marg. Bruta, -,BRAP3.SA
23,12 meses,"-4,93%",BRAP3.SA
24,PSR, -,BRAP3.SA
25,Marg. EBIT, -,BRAP3.SA
26,2024,"-18,69%",BRAP3.SA
27,P/Ativos," 0,86",BRAP3.SA
28,Marg. Líquida," 0,0%",BRAP3.SA
29,2023,"1,91%",BRAP3.SA
30,P/Cap. Giro," 10,84",BRAP3.SA
31,EBIT / Ativo,"-0,3%",BRAP3.SA
32,2022,"31,69%",BRAP3.SA
33,P/Ativ Circ Liq," 10,88",BRAP3.SA
34,ROIC," -0,3%",BRAP3.SA
35,2021,"15,22%",BRAP3.SA
36,Div. Yield,"15,0%",BRAP3.SA
37,ROE," 17,9%",BRAP3.SA
38,2020,"68,28%",BRAP3.SA
39,EV / EBITDA," -297,61",BRAP3.SA
40,Liquidez Corr," 12,26",BRAP3.SA
41,2019,"28,02%",BRAP3.SA
42,EV / EBIT," -297,61",BRAP3.SA
43,Div Br/ Patrim, -,BRAP3.SA
44,,,BRAP3.SA
45,Cres. Rec (5a), -,BRAP3.SA
46,Giro Ativos, -,BRAP3.SA
47,Ativo,8.274.430.000,BRAP3.SA
48,Dív. Bruta,0,BRAP3.SA
49,Disponibilidades,710.879.000,BRAP3.SA
50,Dív. Líquida,-710.879.000,BRAP3.SA
51,Ativo Circulante,711.262.000,BRAP3.SA
52,Patrim. Líq,8.214.080.000,BRAP3.SA
53,Receita Líquida,0,BRAP3.SA
54,EBIT,-5.098.000,BRAP3.SA
55,Lucro Líquido,343.098.000,BRAP3.SA
