,0,1,Ticker
0,Papel,PETR4,PETR4.SA
1,Cotação,"37,73",PETR4.SA
2,Tipo,PN,PETR4.SA
3,Data últ cot,24/07/2024,PETR4.SA
4,Empresa,PETROBRAS PN,PETR4.SA
5,Min 52 sem,"24,89",PETR4.SA
6,Setor,"Petróleo, Gás e Biocombustíveis",PETR4.SA
7,Max 52 sem,"40,61",PETR4.SA
8,Subsetor,"Exploração, Refino e Distribuição",PETR4.SA
9,Vol $ méd (2m),1.196.410.000,PETR4.SA
10,Valor de mercado,492.169.000.000,PETR4.SA
11,Últ balanço processado,31/03/2024,PETR4.SA
12,Valor da firma,719.363.000.000,PETR4.SA
13,Nro. Ações,13.044.500.000,PETR4.SA
14,Dia," 0,80%",PETR4.SA
15,P/L,"4,47",PETR4.SA
16,LPA,"8,44",PETR4.SA
17,Mês,"-0,84%",PETR4.SA
18,P/VP,"1,21",PETR4.SA
19,VPA,"31,25",PETR4.SA
20,30 dias,"2,75%",PETR4.SA
21,P/EBIT," 2,20",PETR4.SA
22,Marg. Bruta," 52,4%",PETR4.SA
23,12 meses,"50,13%",PETR4.SA
24,PSR," 1,00",PETR4.SA
25,Marg. EBIT," 45,6%",PETR4.SA
26,2024,"11,42%",PETR4.SA
27,P/Ativos," 0,46",PETR4.SA
28,Marg. Líquida," 22,6%",PETR4.SA
29,2023,"94,43%",PETR4.SA
30,P/Cap. Giro," 40,72",PETR4.SA
31,EBIT / Ativo,"20,9%",PETR4.SA
32,2022,"46,00%",PETR4.SA
33,P/Ativ Circ Liq," -1,00",PETR4.SA
34,ROIC," 23,3%",PETR4.SA
35,2021,"22,76%",PETR4.SA
36,Div. Yield,"17,1%",PETR4.SA
37,ROE," 27,0%",PETR4.SA
38,2020,"-6,10%",PETR4.SA
39,EV / EBITDA," 2,41",PETR4.SA
40,Liquidez Corr," 1,08",PETR4.SA
41,2019,"29,01%",PETR4.SA
42,EV / EBIT," 3,22",PETR4.SA
43,Div Br/ Patrim," 0,76",PETR4.SA
44,,,PETR4.SA
45,Cres. Rec (5a)," 19,9%",PETR4.SA
46,Giro Ativos," 0,46",PETR4.SA
47,Ativo,1.067.290.000.000,PETR4.SA
48,Dív. Bruta,308.955.000.000,PETR4.SA
49,Disponibilidades,81.761.000.000,PETR4.SA
50,Dív. Líquida,227.194.000.000,PETR4.SA
51,Ativo Circulante,165.964.000.000,PETR4.SA
52,Patrim. Líq,407.636.000.000,PETR4.SA
53,Receita Líquida,117.721.000.000,PETR4.SA
54,EBIT,51.879.000.000,PETR4.SA
55,Lucro Líquido,23.700.000.000,PETR4.SA
