,0,1,Ticker
0,Papel,SLCE3,SLCE3.SA
1,Cotação,"18,45",SLCE3.SA
2,Tipo,ON NM,SLCE3.SA
3,Data últ cot,24/07/2024,SLCE3.SA
4,Empresa,SLC Agricola ON NM,SLCE3.SA
5,Min 52 sem,"16,81",SLCE3.SA
6,Setor,Agropecuária,SLCE3.SA
7,Max 52 sem,"21,42",SLCE3.SA
8,Subsetor,Agricultura,SLCE3.SA
9,Vol $ méd (2m),41.985.900,SLCE3.SA
10,Valor de mercado,8.179.430.000,SLCE3.SA
11,Últ balanço processado,31/03/2024,SLCE3.SA
12,Valor da firma,11.289.900.000,SLCE3.SA
13,Nro. Ações,443.330.000,SLCE3.SA
14,Dia," -1,34%",SLCE3.SA
15,P/L,"14,11",SLCE3.SA
16,LPA,"1,31",SLCE3.SA
17,Mês,"5,73%",SLCE3.SA
18,P/VP,"1,65",SLCE3.SA
19,VPA,"11,15",SLCE3.SA
20,30 dias,"5,67%",SLCE3.SA
21,P/EBIT," 5,66",SLCE3.SA
22,Marg. Bruta," 26,1%",SLCE3.SA
23,12 meses,"-7,51%",SLCE3.SA
24,PSR," 1,02",SLCE3.SA
25,Marg. EBIT," 18,0%",SLCE3.SA
26,2024,"2,50%",SLCE3.SA
27,P/Ativos," 0,53",SLCE3.SA
28,Marg. Líquida," 7,4%",SLCE3.SA
29,2023,"-5,86%",SLCE3.SA
30,P/Cap. Giro," 2,75",SLCE3.SA
31,EBIT / Ativo,"9,4%",SLCE3.SA
32,2022,"20,86%",SLCE3.SA
33,P/Ativ Circ Liq," -2,95",SLCE3.SA
34,ROIC," 11,3%",SLCE3.SA
35,2021,"67,52%",SLCE3.SA
36,Div. Yield,"4,8%",SLCE3.SA
37,ROE," 11,7%",SLCE3.SA
38,2020,"14,63%",SLCE3.SA
39,EV / EBITDA," 6,73",SLCE3.SA
40,Liquidez Corr," 1,67",SLCE3.SA
41,2019,"17,04%",SLCE3.SA
42,EV / EBIT," 7,81",SLCE3.SA
43,Div Br/ Patrim," 1,01",SLCE3.SA
44,,,SLCE3.SA
45,Cres. Rec (5a)," 29,1%",SLCE3.SA
46,Giro Ativos," 0,52",SLCE3.SA
47,Ativo,15.424.000.000,SLCE3.SA
48,Dív. Bruta,4.973.960.000,SLCE3.SA
49,Disponibilidades,1.863.480.000,SLCE3.SA
50,Dív. Líquida,3.110.480.000,SLCE3.SA
51,Ativo Circulante,7.399.250.000,SLCE3.SA
52,Patrim. Líq,4.943.790.000,SLCE3.SA
53,Receita Líquida,1.994.800.000,SLCE3.SA
54,EBIT,498.699.000,SLCE3.SA
55,Lucro Líquido,222.991.000,SLCE3.SA
