,0,1,Ticker
0,Papel,VALE3,VALE3.SA
1,Cotação,"60,60",VALE3.SA
2,Tipo,ON NM,VALE3.SA
3,Data últ cot,24/07/2024,VALE3.SA
4,Empresa,VALE ON NM,VALE3.SA
5,Min 52 sem,"56,77",VALE3.SA
6,Setor,Mineração,VALE3.SA
7,Max 52 sem,"74,08",VALE3.SA
8,Subsetor,Minerais Metálicos,VALE3.SA
9,Vol $ méd (2m),1.083.100.000,VALE3.SA
10,Valor de mercado,275.064.000.000,VALE3.SA
11,Últ balanço processado,31/03/2024,VALE3.SA
12,Valor da firma,329.220.000.000,VALE3.SA
13,Nro. Ações,4.539.010.000,VALE3.SA
14,Dia," 0,61%",VALE3.SA
15,P/L,"7,11",VALE3.SA
16,LPA,"8,53",VALE3.SA
17,Mês,"-2,60%",VALE3.SA
18,P/VP,"1,47",VALE3.SA
19,VPA,"41,24",VALE3.SA
20,30 dias,"-0,38%",VALE3.SA
21,P/EBIT," 3,34",VALE3.SA
22,Marg. Bruta," 41,4%",VALE3.SA
23,12 meses,"-1,42%",VALE3.SA
24,PSR," 1,33",VALE3.SA
25,Marg. EBIT," 40,0%",VALE3.SA
26,2024,"-17,99%",VALE3.SA
27,P/Ativos," 0,60",VALE3.SA
28,Marg. Líquida," 19,0%",VALE3.SA
29,2023,"-6,29%",VALE3.SA
30,P/Cap. Giro," 29,75",VALE3.SA
31,EBIT / Ativo,"18,0%",VALE3.SA
32,2022,"24,46%",VALE3.SA
33,P/Ativ Circ Liq," -1,57",VALE3.SA
34,ROIC," 20,0%",VALE3.SA
35,2021,"4,73%",VALE3.SA
36,Div. Yield,"11,5%",VALE3.SA
37,ROE," 20,7%",VALE3.SA
38,2020,"70,47%",VALE3.SA
39,EV / EBITDA," 3,37",VALE3.SA
40,Liquidez Corr," 1,12",VALE3.SA
41,2019,"6,66%",VALE3.SA
42,EV / EBIT," 4,00",VALE3.SA
43,Div Br/ Patrim," 0,39",VALE3.SA
44,,,VALE3.SA
45,Cres. Rec (5a)," 5,2%",VALE3.SA
46,Giro Ativos," 0,45",VALE3.SA
47,Ativo,458.033.000.000,VALE3.SA
48,Dív. Bruta,73.312.000.000,VALE3.SA
49,Disponibilidades,19.156.000.000,VALE3.SA
50,Dív. Líquida,54.156.000.000,VALE3.SA
51,Ativo Circulante,87.571.000.000,VALE3.SA
52,Patrim. Líq,187.211.000.000,VALE3.SA
53,Receita Líquida,41.891.000.000,VALE3.SA
54,EBIT,14.601.000.000,VALE3.SA
55,Lucro Líquido,8.291.000.000,VALE3.SA
