,0,1,Ticker
0,Papel,WEGE3,WEGE3.SA
1,Cotação,"46,65",WEGE3.SA
2,Tipo,ON N1,WEGE3.SA
3,Data últ cot,24/07/2024,WEGE3.SA
4,Empresa,WEG SA ON N1,WEGE3.SA
5,Min 52 sem,"31,08",WEGE3.SA
6,Setor,Máquinas e Equipamentos,WEGE3.SA
7,Max 52 sem,"47,40",WEGE3.SA
8,Subsetor,"Motores, Compressores e Outros",WEGE3.SA
9,Vol $ méd (2m),287.645.000,WEGE3.SA
10,Valor de mercado,195.805.000.000,WEGE3.SA
11,Últ balanço processado,31/03/2024,WEGE3.SA
12,Valor da firma,191.960.000.000,WEGE3.SA
13,Nro. Ações,4.197.320.000,WEGE3.SA
14,Dia," -0,85%",WEGE3.SA
15,P/L,"34,04",WEGE3.SA
16,LPA,"1,37",WEGE3.SA
17,Mês,"10,72%",WEGE3.SA
18,P/VP,"11,25",WEGE3.SA
19,VPA,"4,15",WEGE3.SA
20,30 dias,"13,71%",WEGE3.SA
21,P/EBIT," 26,48",WEGE3.SA
22,Marg. Bruta," 33,3%",WEGE3.SA
23,12 meses,"22,09%",WEGE3.SA
24,PSR," 5,96",WEGE3.SA
25,Marg. EBIT," 22,5%",WEGE3.SA
26,2024,"27,77%",WEGE3.SA
27,P/Ativos," 6,12",WEGE3.SA
28,Marg. Líquida," 18,0%",WEGE3.SA
29,2023,"-2,70%",WEGE3.SA
30,P/Cap. Giro," 19,99",WEGE3.SA
31,EBIT / Ativo,"23,1%",WEGE3.SA
32,2022,"18,75%",WEGE3.SA
33,P/Ativ Circ Liq," 26,21",WEGE3.SA
34,ROIC," 32,0%",WEGE3.SA
35,2021,"-12,02%",WEGE3.SA
36,Div. Yield,"1,2%",WEGE3.SA
37,ROE," 33,0%",WEGE3.SA
38,2020,"120,53%",WEGE3.SA
39,EV / EBITDA," 23,88",WEGE3.SA
40,Liquidez Corr," 1,84",WEGE3.SA
41,2019,"95,69%",WEGE3.SA
42,EV / EBIT," 25,96",WEGE3.SA
43,Div Br/ Patrim," 0,15",WEGE3.SA
44,,,WEGE3.SA
45,Cres. Rec (5a)," 24,3%",WEGE3.SA
46,Giro Ativos," 1,03",WEGE3.SA
47,Ativo,31.981.700.000,WEGE3.SA
48,Dív. Bruta,2.685.100.000,WEGE3.SA
49,Disponibilidades,6.530.200.000,WEGE3.SA
50,Dív. Líquida,-3.845.100.000,WEGE3.SA
51,Ativo Circulante,21.485.000.000,WEGE3.SA
52,Patrim. Líq,17.407.300.000,WEGE3.SA
53,Receita Líquida,8.033.300.000,WEGE3.SA
54,EBIT,1.786.550.000,WEGE3.SA
55,Lucro Líquido,1.327.960.000,WEGE3.SA
