,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,3315000.0,-12998520.0,-75691820.0,-7348730.238375
Tax Rate For Calcs,0.05,0.18,0.34,0.104659
Normalized EBITDA,355426000.0,860189000.0,659451000.0,289242000.0
Total Unusual Items,66300000.0,-72214000.0,-222623000.0,-70216000.0
Total Unusual Items Excluding Goodwill,66300000.0,-72214000.0,-222623000.0,-70216000.0
Net Income From Continuing Operation Net Minority Interest,268536000.0,520100000.0,317646000.0,119554000.0
Reconciled Depreciation,88491000.0,82614000.0,110004000.0,60249000.0
Reconciled Cost Of Revenue,720624000.0,511600000.0,92774000.0,323442000.0
EBITDA,421726000.0,787975000.0,436828000.0,219026000.0
EBIT,333235000.0,705361000.0,326824000.0,158777000.0
Net Interest Income,-59501000.0,33482000.0,111185000.0,41441000.0
Interest Expense,51526000.0,68044000.0,28693000.0,25248000.0
Interest Income,50273000.0,69740000.0,9358000.0,9015000.0
Normalized Income,205551000.0,579315480.0,464577180.0,182421269.761625
Net Income From Continuing And Discontinued Operation,268536000.0,520100000.0,317646000.0,119554000.0
Total Expenses,926749000.0,692769000.0,279799000.0,382381000.0
Rent Expense Supplemental,32836000.0,28609000.0,11765000.0,
Total Operating Income As Reported,275823000.0,690177000.0,394119000.0,164284000.0
Diluted Average Shares,99356000.0,99357000.0,71416000.0,57101000.0
Basic Average Shares,98806000.0,98844000.0,69642000.0,56681000.0
Diluted EPS,2.7028,5.2347,4.4478,2.0937
Basic EPS,2.7178,5.2618,4.5611,2.1092
Diluted NI Availto Com Stockholders,268536000.0,520100000.0,317646000.0,119554000.0
Net Income Common Stockholders,268536000.0,520100000.0,317646000.0,119554000.0
Net Income,268536000.0,520100000.0,317646000.0,119554000.0
Net Income Including Noncontrolling Interests,268536000.0,520100000.0,317646000.0,119554000.0
Net Income Continuous Operations,268536000.0,520100000.0,317646000.0,119554000.0
Tax Provision,13173000.0,117217000.0,-19515000.0,13975000.0
Pretax Income,281709000.0,637317000.0,298131000.0,133529000.0
Other Income Expense,66230000.0,-72245000.0,-226576000.0,-70366000.0
Other Non Operating Income Expenses,,,-3964000.0,
Special Income Charges,-17416000.0,-6228000.0,-86715000.0,-18865000.0
Gain On Sale Of Ppe,-3605000.0,2652000.0,-1378000.0,-151000.0
Other Special Charges,12930000.0,3904000.0,72669000.0,15131000.0
Write Off,4865000.0,0.0,0.0,0.0
Restructuring And Mergern Acquisition,-3984000.0,4976000.0,12668000.0,3583000.0
Earnings From Equity Interest,-70000.0,-31000.0,11000.0,-150000.0
Gain On Sale Of Security,83716000.0,-65986000.0,-135908000.0,-51351000.0
Net Non Operating Interest Income Expense,-59501000.0,33482000.0,111185000.0,41441000.0
Total Other Finance Cost,58248000.0,-31786000.0,-130520000.0,-57674000.0
Interest Expense Non Operating,51526000.0,68044000.0,28693000.0,25248000.0
Interest Income Non Operating,50273000.0,69740000.0,9358000.0,9015000.0
Operating Income,274980000.0,676080000.0,413522000.0,162454000.0
Operating Expense,118762000.0,99845000.0,78002000.0,58939000.0
Other Operating Expenses,23069000.0,9520000.0,9785000.0,749000.0
Provision For Doubtful Accounts,2093000.0,20000.0,151000.0,
Depreciation Amortization Depletion Income Statement,1128000.0,1290000.0,981000.0,
Depreciation And Amortization In Income Statement,1128000.0,1290000.0,981000.0,
Selling General And Administration,92472000.0,89015000.0,67085000.0,58190000.0
Selling And Marketing Expense,34031000.0,40318000.0,24740000.0,14300000.0
General And Administrative Expense,58441000.0,48697000.0,42345000.0,43890000.0
Other Gand A,6790000.0,5858000.0,6482000.0,43890000.0
Rent And Landing Fees,562000.0,342000.0,397000.0,
Salaries And Wages,51089000.0,42497000.0,35466000.0,
Gross Profit,393742000.0,775925000.0,491524000.0,221393000.0
Cost Of Revenue,807987000.0,592924000.0,201797000.0,323442000.0
Total Revenue,1201729000.0,1368849000.0,693321000.0,544835000.0
Excise Taxes,27076000.0,22277000.0,16917000.0,9777000.0
Operating Revenue,1270971000.0,1432580000.0,731665000.0,557107000.0
