,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,5962665.0,-5262054.2,-42135669.2,-90361982.1
Tax Rate For Calcs,0.2278,0.1937,0.1786,0.2613
Normalized EBITDA,2757902000.0,2130014000.0,1945622000.0,2253448000.0
Total Unusual Items,26175000.0,-27166000.0,-235922000.0,-345817000.0
Total Unusual Items Excluding Goodwill,26175000.0,-27166000.0,-235922000.0,-345817000.0
Net Income From Continuing Operation Net Minority Interest,1379346000.0,843362000.0,537587000.0,816477000.0
Reconciled Depreciation,789570000.0,730133000.0,748651000.0,646216000.0
Reconciled Cost Of Revenue,4342430000.0,3861339000.0,3745491000.0,2939233000.0
EBITDA,2784077000.0,2102848000.0,1709700000.0,1907631000.0
EBIT,1994507000.0,1372715000.0,961049000.0,1261415000.0
Net Interest Income,-159677000.0,-278625000.0,-260402000.0,-112854000.0
Interest Expense,208235000.0,326761000.0,306600000.0,156140000.0
Interest Income,50137000.0,48423000.0,47128000.0,43751000.0
Normalized Income,1359133665.0,865265945.8,731373330.8,1071932017.9
Net Income From Continuing And Discontinued Operation,1379346000.0,843362000.0,537587000.0,816477000.0
Total Expenses,5406948000.0,4746816000.0,4614066000.0,3644654000.0
Diluted Average Shares,379181000.0,379181000.0,379181000.0,379181000.0
Basic Average Shares,379181000.0,379181000.0,379181000.0,379181000.0
Diluted EPS,3.64,2.22,1.42,2.15
Basic EPS,3.64,2.22,1.42,2.15
Diluted NI Availto Com Stockholders,1379346000.0,843362000.0,537587000.0,816477000.0
Net Income Common Stockholders,1379346000.0,843362000.0,537587000.0,816477000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1379346000.0,843362000.0,537587000.0,816477000.0
Net Income Including Noncontrolling Interests,1379346000.0,843362000.0,537587000.0,816477000.0
Net Income Continuous Operations,1379346000.0,843362000.0,537587000.0,816477000.0
Tax Provision,406926000.0,202592000.0,116862000.0,288798000.0
Pretax Income,1786272000.0,1045954000.0,654449000.0,1105275000.0
Special Income Charges,-219411000.0,-185549000.0,-443484000.0,-424135000.0
Other Special Charges,33915000.0,23916000.0,283185000.0,103166000.0
Write Off,185496000.0,161633000.0,160299000.0,320969000.0
Net Non Operating Interest Income Expense,-159677000.0,-278625000.0,-260402000.0,-112854000.0
Total Other Finance Cost,1579000.0,287000.0,930000.0,465000.0
Interest Expense Non Operating,208235000.0,326761000.0,306600000.0,156140000.0
Interest Income Non Operating,50137000.0,48423000.0,47128000.0,43751000.0
Operating Income,1997431000.0,1430039000.0,1280644000.0,1698684000.0
Operating Expense,1064518000.0,885477000.0,868575000.0,705421000.0
Other Operating Expenses,150449000.0,71165000.0,88648000.0,556000.0
Depreciation And Amortization In Income Statement,71426000.0,67215000.0,48890000.0,58989000.0
Depreciation Income Statement,71426000.0,67215000.0,48890000.0,58989000.0
Selling General And Administration,227470000.0,230206000.0,198277000.0,153858000.0
Selling And Marketing Expense,55800000.0,38070000.0,30608000.0,24623000.0
General And Administrative Expense,171670000.0,192136000.0,167669000.0,129235000.0
Gross Profit,3061949000.0,2315516000.0,2149219000.0,2404105000.0
Cost Of Revenue,4342430000.0,3861339000.0,3745491000.0,2939233000.0
Total Revenue,7404379000.0,6176855000.0,5894710000.0,5343338000.0
Operating Revenue,7404379000.0,6176855000.0,5894710000.0,5343338000.0
