,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,124524954.808977,140918095.598078,60688599.458309,-116282604.304405,
Tax Rate For Calcs,0.194929,0.277802,0.233458,0.31726,
Normalized EBITDA,12670110000.0,19195431000.0,23749703000.0,7379306000.0,
Total Unusual Items,638821000.0,507261000.0,259955000.0,-366521000.0,
Total Unusual Items Excluding Goodwill,638821000.0,507261000.0,259955000.0,-366521000.0,
Net Income From Continuing Operation Net Minority Interest,2560346000.0,3744624000.0,5063330000.0,872951000.0,
Reconciled Depreciation,3047212000.0,2866699000.0,2658561000.0,2499111000.0,
Reconciled Cost Of Revenue,57583992000.0,63661156000.0,57527721000.0,37884102000.0,
EBITDA,13308931000.0,19702692000.0,24009658000.0,7012785000.0,
EBIT,10261719000.0,16835993000.0,21351097000.0,4513674000.0,
Net Interest Income,-477919000.0,-747058000.0,-1255606000.0,-1174016000.0,
Interest Expense,840069000.0,964607000.0,1059841000.0,1022460000.0,
Interest Income,362150000.0,217549000.0,68922000.0,87717000.0,
Normalized Income,2046049954.808977,3378281095.598078,4864063599.458309,1123189395.695595,
Net Income From Continuing And Discontinued Operation,2560346000.0,3744624000.0,5063330000.0,872951000.0,
Total Expenses,59070501000.0,65874800000.0,57761114000.0,38304863000.0,
Diluted Average Shares,1032705804.0,1063362950.0,1081908120.0,1080985004.0,
Basic Average Shares,1032705804.0,1063362950.0,1081908120.0,1080985004.0,
Diluted EPS,2.48,3.52,4.68,0.81,
Basic EPS,2.48,3.52,4.68,0.81,
Diluted NI Availto Com Stockholders,2560346000.0,3744624000.0,5063330000.0,872951000.0,
Net Income Common Stockholders,2560346000.0,3744624000.0,5063330000.0,872951000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2560346000.0,3744624000.0,5063330000.0,872951000.0,
Minority Interests,-5024748000.0,-7717660000.0,-10490768000.0,-1510639000.0,
Net Income Including Noncontrolling Interests,7585094000.0,11462284000.0,15554098000.0,2383590000.0,
Net Income Continuous Operations,7585094000.0,11462284000.0,15554098000.0,2383590000.0,
Tax Provision,1836556000.0,4409102000.0,4737158000.0,1107624000.0,
Pretax Income,9421650000.0,15871386000.0,20291256000.0,3491214000.0,
Other Non Operating Income Expenses,,,788741000.0,,
Special Income Charges,,,0.0,-476057000.0,-21044000.0
Other Special Charges,,,,476057000.0,21044000.0
Write Off,,,0.0,476057000.0,21044000.0
Net Non Operating Interest Income Expense,-477919000.0,-747058000.0,-1255606000.0,-1174016000.0,
Total Other Finance Cost,562429000.0,602466000.0,264687000.0,239273000.0,
Interest Expense Non Operating,840069000.0,964607000.0,1059841000.0,1022460000.0,
Interest Income Non Operating,362150000.0,217549000.0,68922000.0,87717000.0,
Operating Income,9845946000.0,16537410000.0,20583967000.0,5509798000.0,
Operating Expense,1486509000.0,2213644000.0,233393000.0,420761000.0,
Other Operating Expenses,297138000.0,261250000.0,496671000.0,656452000.0,
Selling General And Administration,2223243000.0,2200378000.0,2120909000.0,1542420000.0,
Selling And Marketing Expense,716195000.0,733026000.0,715830000.0,512950000.0,
General And Administrative Expense,1507048000.0,1467352000.0,1405079000.0,1029470000.0,
Gross Profit,11332455000.0,18751054000.0,20817360000.0,5930559000.0,
Cost Of Revenue,57583992000.0,63661156000.0,57527721000.0,37884102000.0,
Total Revenue,68916447000.0,82412210000.0,78345081000.0,43814661000.0,
Operating Revenue,68916447000.0,82412210000.0,78345081000.0,43814661000.0,
