,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,1859980.0,191790.0,0.0,0.0,
Tax Rate For Calcs,0.02,0.03,0.02,0.137093,
Normalized EBITDA,46481000.0,53440000.0,75598000.0,63020000.0,
Total Unusual Items,92999000.0,6393000.0,-24777000.0,12562000.0,
Total Unusual Items Excluding Goodwill,92999000.0,6393000.0,-24777000.0,12562000.0,
Net Income From Continuing Operation Net Minority Interest,90383000.0,34830000.0,24321000.0,48310000.0,
Reconciled Depreciation,8094000.0,5341000.0,5034000.0,2239000.0,
Reconciled Cost Of Revenue,742275000.0,537194000.0,378270000.0,271501000.0,
EBITDA,139480000.0,59833000.0,75598000.0,63020000.0,
EBIT,131386000.0,54492000.0,70564000.0,60781000.0,
Net Interest Income,-17293000.0,-544000.0,-1567000.0,18814000.0,
Interest Expense,15594000.0,276000.0,25583000.0,3900000.0,
Interest Income,2254000.0,2079000.0,24016000.0,22714000.0,
Normalized Income,-756020.0,28628790.0,24321000.0,48310000.0,
Net Income From Continuing And Discontinued Operation,90383000.0,34830000.0,24321000.0,48310000.0,
Total Expenses,885769000.0,710201000.0,527682000.0,373220000.0,
Rent Expense Supplemental,,,,1255000.0,562000.0
Diluted Average Shares,105774820.0,105774820.0,105775671.0,100376073.0,
Basic Average Shares,105774820.0,105774820.0,105775671.0,97746034.0,
Diluted EPS,0.85449,0.32928,0.22993,0.48129,
Basic EPS,0.85449,0.32928,0.22993,0.49424,
Diluted NI Availto Com Stockholders,90383000.0,34830000.0,24321000.0,48310000.0,
Net Income Common Stockholders,90383000.0,34830000.0,24321000.0,48310000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,90383000.0,34830000.0,24321000.0,48310000.0,
Minority Interests,-4513000.0,-2390000.0,-3063000.0,-773000.0,
Net Income Including Noncontrolling Interests,94896000.0,36275000.0,33452000.0,49083000.0,
Net Income Continuous Operations,94896000.0,36275000.0,33452000.0,49083000.0,
Tax Provision,20896000.0,17941000.0,11529000.0,7798000.0,
Pretax Income,115792000.0,54216000.0,44981000.0,56881000.0,
Special Income Charges,-1130000.0,-564000.0,-337000.0,269000.0,
Other Special Charges,1127000.0,557000.0,335000.0,-375000.0,
Impairment Of Capital Assets,3000.0,7000.0,2000.0,106000.0,
Net Non Operating Interest Income Expense,-17293000.0,-544000.0,-1567000.0,18814000.0,
Total Other Finance Cost,3953000.0,2347000.0,-361000.0,307000.0,
Interest Expense Non Operating,15594000.0,276000.0,25583000.0,3900000.0,
Interest Income Non Operating,2254000.0,2079000.0,24016000.0,22714000.0,
Operating Income,40623000.0,48425000.0,46314000.0,38033000.0,
Operating Expense,143494000.0,173007000.0,149412000.0,101719000.0,
Other Operating Expenses,1693000.0,1881000.0,1442000.0,4150000.0,
Depreciation And Amortization In Income Statement,8094000.0,5341000.0,5034000.0,2239000.0,
Depreciation Income Statement,8094000.0,5341000.0,5034000.0,2239000.0,
Selling General And Administration,93340000.0,102366000.0,149412000.0,97569000.0,
Selling And Marketing Expense,52473000.0,67108000.0,69286000.0,38937000.0,
General And Administrative Expense,40867000.0,35258000.0,80126000.0,58632000.0,
Rent And Landing Fees,,,,1255000.0,562000.0
Gross Profit,184117000.0,221432000.0,195726000.0,139752000.0,
Cost Of Revenue,742275000.0,537194000.0,378270000.0,271501000.0,
Total Revenue,926392000.0,758626000.0,573996000.0,411253000.0,
Operating Revenue,926392000.0,758626000.0,573996000.0,411253000.0,
