,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-273420000.0,630382000.0,-397281806.908769,-4959920000.0,
Tax Rate For Calcs,0.294,0.313,0.291904,0.34,
Normalized EBITDA,53226000000.0,68040000000.0,46258000000.0,31578000000.0,
Total Unusual Items,-930000000.0,2014000000.0,-1361000000.0,-14588000000.0,
Total Unusual Items Excluding Goodwill,-930000000.0,2014000000.0,-1361000000.0,-14588000000.0,
Net Income From Continuing Operation Net Minority Interest,24884000000.0,36623000000.0,19875000000.0,1141000000.0,
Reconciled Depreciation,13280000000.0,13218000000.0,11695000000.0,11445000000.0,
Reconciled Cost Of Revenue,35887000000.0,47162000000.0,32165000000.0,18403000000.0,
EBITDA,52296000000.0,70054000000.0,44897000000.0,16990000000.0,
EBIT,39016000000.0,56836000000.0,33202000000.0,5545000000.0,
Net Interest Income,-3410000000.0,-2827000000.0,-4644000000.0,-5655000000.0,
Interest Expense,3620000000.0,3311000000.0,4977000000.0,5771000000.0,
Interest Income,,673000000.0,2820039200.0,349000000.0,5000000.0
Normalized Income,25540580000.0,35239382000.0,20838718193.091232,10769080000.0,
Net Income From Continuing And Discontinued Operation,24884000000.0,36623000000.0,19875000000.0,1141000000.0,
Total Expenses,63135000000.0,71212000000.0,52965000000.0,33633000000.0,
Rent Expense Supplemental,4731000000.0,4349000000.0,3798000000.0,4415000000.0,
Diluted Average Shares,13022289244.0,13044201261.0,13044201261.0,13044201261.0,
Basic Average Shares,13022289244.0,13044201261.0,13044201261.0,13044201261.0,
Diluted EPS,1.91,2.81,1.52,0.09,
Basic EPS,1.91,2.81,1.52,0.09,
Diluted NI Availto Com Stockholders,24884000000.0,36623000000.0,19875000000.0,1141000000.0,
Net Income Common Stockholders,24884000000.0,36623000000.0,19875000000.0,1141000000.0,
Net Income,24884000000.0,36623000000.0,19875000000.0,1141000000.0,
Minority Interests,-111000000.0,-132000000.0,-111000000.0,193000000.0,
Net Income Including Noncontrolling Interests,24995000000.0,36755000000.0,19986000000.0,948000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,2560000000.0
Net Income Continuous Operations,24995000000.0,36755000000.0,19986000000.0,948000000.0,
Tax Provision,10401000000.0,16770000000.0,8239000000.0,-1174000000.0,
Pretax Income,35396000000.0,53525000000.0,28225000000.0,-226000000.0,
Other Income Expense,-468000000.0,3090000000.0,1868000000.0,-14621000000.0,
Other Non Operating Income Expenses,766000000.0,825000000.0,1622000000.0,626000000.0,
Special Income Charges,-1578000000.0,3369000000.0,5558000000.0,-8498000000.0,
Gain On Sale Of Ppe,1295000000.0,1144000000.0,1941000000.0,499000000.0,
Gain On Sale Of Business,,,-41000000.0,-43000000.0,-34000000.0
Other Special Charges,477000000.0,746000000.0,204000000.0,1658000000.0,
Write Off,2680000000.0,1315000000.0,-3190000000.0,-15000000.0,
Impairment Of Capital Assets,,1164000000.0,-3190000000.0,7354000000.0,2848000000.0
Restructuring And Mergern Acquisition,-284000000.0,-4286000000.0,-631000000.0,0.0,
Earnings From Equity Interest,-304000000.0,251000000.0,1607000000.0,-659000000.0,
Gain On Sale Of Security,648000000.0,-1355000000.0,-6919000000.0,-6090000000.0,
Net Non Operating Interest Income Expense,-3410000000.0,-2827000000.0,-4644000000.0,-5655000000.0,
Total Other Finance Cost,-210000000.0,-484000000.0,-333000000.0,233000000.0,
Interest Expense Non Operating,3620000000.0,3311000000.0,4977000000.0,5771000000.0,
Interest Income Non Operating,,673000000.0,2820039200.0,349000000.0,5000000.0
Operating Income,39274000000.0,53262000000.0,31001000000.0,20050000000.0,
Operating Expense,14700000000.0,11726000000.0,9801000000.0,4438000000.0,
Other Operating Expenses,2051000000.0,791000000.0,522000000.0,1351000000.0,
Other Taxes,686000000.0,353000000.0,-112000000.0,-2435000000.0,
Provision For Doubtful Accounts,22000000.0,58000000.0,-12000000.0,-2000000.0,
Depreciation Amortization Depletion Income Statement,732000000.0,894000000.0,696000000.0,653000000.0,
Research And Development,726000000.0,792000000.0,563000000.0,355000000.0,
Selling General And Administration,8278000000.0,7004000000.0,6782000000.0,4516000000.0,
Selling And Marketing Expense,20849347200.0,21082458600.0,4229000000.0,21643437000.0,
General And Administrative Expense,8278000000.0,7004000000.0,6782000000.0,4516000000.0,
Other Gand A,,362000000.0,256000000.0,252000000.0,1700000000.0
Rent And Landing Fees,4731000000.0,4349000000.0,3798000000.0,4415000000.0,
Salaries And Wages,3547000000.0,2655000000.0,2984000000.0,101000000.0,
Gross Profit,53974000000.0,64988000000.0,40802000000.0,24488000000.0,
Cost Of Revenue,48435000000.0,59486000000.0,43164000000.0,29195000000.0,
Total Revenue,102409000000.0,124474000000.0,83966000000.0,53683000000.0,
Operating Revenue,102409000000.0,124474000000.0,83966000000.0,53683000000.0,
