,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,72283524.0,40135578.3,8535132.7,14693545.1
Tax Rate For Calcs,0.1097,0.1647,0.1553,0.1277
Normalized EBITDA,6709981000.0,5515876000.0,4847224000.0,3159789000.0
Total Unusual Items,658920000.0,243689000.0,54959000.0,115063000.0
Total Unusual Items Excluding Goodwill,658920000.0,243689000.0,54959000.0,115063000.0
Net Income From Continuing Operation Net Minority Interest,5731670000.0,4208084000.0,3585947000.0,2340873000.0
Reconciled Depreciation,628042000.0,565557000.0,520178000.0,451359000.0
Reconciled Cost Of Revenue,21702737000.0,21209235000.0,16602381000.0,12032050000.0
EBITDA,7368901000.0,5759565000.0,4902183000.0,3274852000.0
EBIT,6740859000.0,5194008000.0,4382005000.0,2823493000.0
Net Interest Income,-195125000.0,-39275000.0,62271000.0,-107154000.0
Interest Expense,150062000.0,78366000.0,51969000.0,76844000.0
Interest Income,73667000.0,51755000.0,94622000.0,77960000.0
Normalized Income,5145033524.0,4004530578.3,3539523132.7,2240503545.1
Net Income From Continuing And Discontinued Operation,5731670000.0,4208084000.0,3585947000.0,2340873000.0
Total Expenses,26109579000.0,24953025000.0,19334943000.0,14600108000.0
Diluted Average Shares,4196661000.0,4196987000.0,4196700000.0,4197165000.0
Basic Average Shares,4195717000.0,4196013000.0,4196116000.0,4195425000.0
Diluted EPS,1.36577,1.00264,0.85447,0.55773
Basic EPS,1.36608,1.00288,0.85459,0.55796
Diluted NI Availto Com Stockholders,5731670000.0,4208084000.0,3585947000.0,2340873000.0
Net Income Common Stockholders,5731670000.0,4208084000.0,3585947000.0,2340873000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5731670000.0,4208084000.0,3585947000.0,2340873000.0
Minority Interests,-135945000.0,-64788000.0,-71533000.0,-55084000.0
Net Income Including Noncontrolling Interests,5867615000.0,4272872000.0,3657480000.0,2395957000.0
Net Income Continuous Operations,5867615000.0,4272872000.0,3657480000.0,2395957000.0
Tax Provision,723182000.0,842770000.0,672556000.0,350692000.0
Pretax Income,6590797000.0,5115642000.0,4330036000.0,2746649000.0
Special Income Charges,13917000.0,20528000.0,0.0,
Restructuring And Mergern Acquisition,-13917000.0,-20528000.0,0.0,
Net Non Operating Interest Income Expense,-195125000.0,-39275000.0,62271000.0,-107154000.0
Total Other Finance Cost,118730000.0,12664000.0,-19618000.0,108270000.0
Interest Expense Non Operating,150062000.0,78366000.0,51969000.0,76844000.0
Interest Income Non Operating,73667000.0,51755000.0,94622000.0,77960000.0
Operating Income,6394022000.0,4951697000.0,4228395000.0,2869449000.0
Operating Expense,4406842000.0,3743790000.0,2732562000.0,2568058000.0
Other Operating Expenses,322663000.0,198729000.0,-269001000.0,91312000.0
Selling General And Administration,3453408000.0,3046209000.0,2609211000.0,2161286000.0
Selling And Marketing Expense,2408520000.0,2173274000.0,1833204000.0,1506817000.0
General And Administrative Expense,1044888000.0,872935000.0,776007000.0,654469000.0
Gross Profit,10800864000.0,8695487000.0,6960957000.0,5437507000.0
Cost Of Revenue,21702737000.0,21209235000.0,16602381000.0,12032050000.0
Total Revenue,32503601000.0,29904722000.0,23563338000.0,17469557000.0
Operating Revenue,32503601000.0,29904722000.0,23563338000.0,17469557000.0
