,acumulado,dataApuracao,dataProximoConcurso,dezenasSorteadasOrdemSorteio,indicadorConcursoEspecial,listaDezenas,listaMunicipioUFGanhadores,listaRateioPremio,listaResultadoEquipeEsportiva,localSorteio,nomeMunicipioUFSorteio,numero,numeroConcursoAnterior,numeroConcursoFinal_0_5,numeroConcursoProximo,numeroJogo,observacao,premiacaoContingencia,tipoJogo,tipoPublicacao,ultimoConcurso,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso,valorSaldoReservaGarantidora,valorTotalPremioFaixaUm,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6
0,True,11/03/1996,,"['41', '05', '04', '52', '30', '33']",1,"['04', '05', '30', '33', '41', '52']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 17, 'valorPremio': 39158.92}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 2016, 'valorPremio': 330.21}]",,Auditório,"Brasília, DF",1,0,5,2,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,1714650.23,0.0,0.0,0.0,04,05,30,33,41,52
0,True,11/03/1996,,"['41', '05', '04', '52', '30', '33']",1,"['04', '05', '30', '33', '41', '52']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 17, 'valorPremio': 39158.92}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 2016, 'valorPremio': 330.21}]",,Auditório,"Brasília, DF",1,0,5,2,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,1714650.23,0.0,0.0,0.0,04,05,30,33,41,52
0,False,18/03/1996,,"['09', '39', '37', '49', '43', '41']",1,"['09', '37', '39', '41', '43', '49']","[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'PR'}]","[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 1, 'valorPremio': 2307162.23}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 65, 'valorPremio': 14424.02}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4488, 'valorPremio': 208.91}]",,Caminhão da Sorte,"Belo Horizonte, MG",2,1,5,3,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,37,39,41,43,49
0,False,25/03/1996,,"['36', '30', '10', '11', '29', '47']",1,"['10', '11', '29', '30', '36', '47']","[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'RN'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'SP'}]","[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 2, 'valorPremio': 391192.51}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 62, 'valorPremio': 10515.93}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4261, 'valorPremio': 153.01}]",,Auditório,"Brasília, DF",3,2,5,4,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,11,29,30,36,47
0,True,01/04/1996,,"['06', '59', '42', '27', '01', '05']",1,"['01', '05', '06', '27', '42', '59']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 39, 'valorPremio': 15322.24}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 3311, 'valorPremio': 180.48}]",,Caminhão da Sorte,"Santo André, SP",4,3,5,5,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,717080.75,0.0,0.0,0.0,01,05,06,27,42,59
0,True,08/04/1996,,"['01', '19', '46', '06', '16', '02']",1,"['01', '02', '06', '16', '19', '46']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 98, 'valorPremio': 5318.1}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5399, 'valorPremio': 96.53}]",,Auditório,"Brasília, DF",5,4,10,6,2,,,MEGA_SENA,3,True,0.0,2699192.81,0.0,1342488.85,0.0,0.0,0.0,01,02,06,16,19,46
0,True,15/04/1996,,"['19', '40', '07', '13', '22', '47']",1,"['07', '13', '19', '22', '40', '47']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 109, 'valorPremio': 7214.66}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 7147, 'valorPremio': 110.03}]",,Auditório,"Brasília, DF",6,5,10,7,2,,,MEGA_SENA,3,True,0.0,3328311.13,0.0,2286166.33,0.0,0.0,0.0,07,13,19,22,40,47
0,True,22/04/1996,,"['56', '38', '21', '20', '03', '05']",1,"['03', '05', '20', '21', '38', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 100, 'valorPremio': 8746.05}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5736, 'valorPremio': 152.48}]",,Auditório,"Brasília, DF",7,6,10,8,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,3335692.28,0.0,0.0,0.0,03,05,20,21,38,56
0,True,29/04/1996,,"['53', '17', '38', '04', '47', '37']",1,"['04', '17', '37', '38', '47', '53']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 60, 'valorPremio': 16084.11}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5262, 'valorPremio': 183.4}]",,Auditório,"Brasília, DF",8,7,10,9,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,4493748.19,0.0,0.0,0.0,04,17,37,38,47,53
0,True,06/05/1996,,"['55', '43', '56', '54', '08', '60']",1,"['08', '43', '54', '55', '56', '60']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 17, 'valorPremio': 60043.79}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 2175, 'valorPremio': 469.31}]",,Auditório,"Brasília, DF",9,8,10,10,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,5718641.49,0.0,0.0,0.0,08,43,54,55,56,60
