,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,94950000.0,154335000.0,98688000.0,35302000.0
Repayment Of Debt,-127981000.0,-296555000.0,-345830000.0,-143967000.0
Issuance Of Debt,217583000.0,60436000.0,488190000.0,301009000.0
Issuance Of Capital Stock,0.0,0.0,870988000.0,0.0
Capital Expenditure,-60783000.0,-50843000.0,-18712000.0,-25087000.0
End Cash Position,383837000.0,435493000.0,1059107000.0,171045000.0
Beginning Cash Position,435493000.0,1059107000.0,171045000.0,106627000.0
Effect Of Exchange Rate Changes,-1376000.0,-1263000.0,-4018000.0,6238000.0
Changes In Cash,-50280000.0,-622351000.0,892080000.0,58180000.0
Financing Cash Flow,-261057000.0,-737800000.0,954857000.0,18451000.0
Cash Flow From Continuing Financing Activities,-261057000.0,-737800000.0,954857000.0,18451000.0
Net Other Financing Charges,,,,-2578000.0
Interest Paid Cff,-30684000.0,-41697000.0,-16491000.0,-86013000.0
Cash Dividends Paid,-319975000.0,-459984000.0,-42000000.0,-50000000.0
Common Stock Dividend Paid,,,,-50000000.0
Net Common Stock Issuance,0.0,0.0,870988000.0,0.0
Common Stock Issuance,0.0,0.0,870988000.0,0.0
Net Issuance Payments Of Debt,89602000.0,-236119000.0,142360000.0,157042000.0
Net Long Term Debt Issuance,89602000.0,-236119000.0,142360000.0,157042000.0
Long Term Debt Payments,-127981000.0,-296555000.0,-345830000.0,-143967000.0
Long Term Debt Issuance,217583000.0,60436000.0,488190000.0,301009000.0
Investing Cash Flow,55044000.0,-89729000.0,-180177000.0,-20660000.0
Cash Flow From Continuing Investing Activities,55044000.0,-89729000.0,-180177000.0,-20660000.0
Net Investment Purchase And Sale,115827000.0,-38886000.0,2782000.0,7483000.0
Sale Of Investment,115827000.0,,2782000.0,7483000.0
Purchase Of Investment,,-38886000.0,0.0,0.0
Net Investment Properties Purchase And Sale,,,-55192000.0,-24173000.0
Purchase Of Investment Properties,,,-55192000.0,-24173000.0
Net Business Purchase And Sale,0.0,0.0,-164247000.0,-3056000.0
Sale Of Business,,0.0,21360000.0,1071000.0
Purchase Of Business,0.0,0.0,-164247000.0,-4127000.0
Net PPE Purchase And Sale,-60783000.0,-50843000.0,-18712000.0,-25087000.0
Purchase Of PPE,-60783000.0,-50843000.0,-18712000.0,-25087000.0
Capital Expenditure Reported,,,,-25087000.0
Operating Cash Flow,155733000.0,205178000.0,117400000.0,60389000.0
Cash Flow From Continuing Operating Activities,155733000.0,205178000.0,117400000.0,60389000.0
Taxes Refund Paid,-46028000.0,-28707000.0,-28249000.0,
Change In Working Capital,316658000.0,210466000.0,310847000.0,83243000.0
Change In Other Working Capital,-675000.0,3184000.0,-8176000.0,-652000.0
Change In Other Current Liabilities,25908000.0,-5667000.0,-657000.0,6721000.0
Change In Other Current Assets,-2099000.0,-24127000.0,-5828000.0,3893000.0
Change In Payables And Accrued Expense,-125842000.0,-72328000.0,-42815000.0,-74117000.0
Change In Accrued Expense,-2094000.0,2975000.0,2940000.0,-2704000.0
Change In Payable,-123748000.0,-75303000.0,-45755000.0,-71413000.0
Change In Account Payable,-134377000.0,-57891000.0,-51056000.0,-59871000.0
Change In Tax Payable,14711000.0,17465000.0,30765000.0,31146000.0
Change In Income Tax Payable,14711000.0,17465000.0,30765000.0,31146000.0
Change In Inventory,141855000.0,392140000.0,233145000.0,114087000.0
Change In Receivables,277511000.0,-82736000.0,135178000.0,33311000.0
Changes In Account Receivables,255310000.0,-25715000.0,127375000.0,50692000.0
Other Non Cash Items,-177282000.0,-499289000.0,-506064000.0,-156218000.0
Stock Based Compensation,5928000.0,3165000.0,2550000.0,1510000.0
Provisionand Write Offof Assets,4273000.0,39000.0,1555000.0,-1839000.0
Asset Impairment Charge,733000.0,6743000.0,0.0,600000.0
Deferred Tax,-40051000.0,76194000.0,-50536000.0,3528000.0
Deferred Income Tax,-40051000.0,76194000.0,-50536000.0,3528000.0
Depreciation Amortization Depletion,88491000.0,82614000.0,110004000.0,60249000.0
Depreciation And Amortization,88491000.0,82614000.0,110004000.0,60249000.0
Operating Gains Losses,-265525000.0,-166147000.0,-40353000.0,-50238000.0
Earnings Losses From Equity Investments,70000.0,31000.0,-11000.0,150000.0
Gain Loss On Investment Securities,-34490000.0,-14241000.0,8960000.0,7456000.0
Net Foreign Currency Exchange Gain Loss,22259000.0,18769000.0,100800000.0,42276000.0
Gain Loss On Sale Of PPE,5882000.0,1586000.0,6309000.0,3089000.0
Gain Loss On Sale Of Business,-259246000.0,-172292000.0,-156411000.0,-103209000.0
Net Income From Continuing Operations,268536000.0,520100000.0,317646000.0,119554000.0
