,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2571055000.0,-1155861000.0,340125000.0,751328000.0
Repurchase Of Capital Stock,0.0,-78537000.0,0.0,
Repayment Of Debt,-755694000.0,-180257000.0,-104991000.0,-1596052000.0
Issuance Of Debt,990795000.0,1032175000.0,838860000.0,1501290000.0
Issuance Of Capital Stock,0.0,1500000000.0,22853000.0,0.0
Capital Expenditure,-2090790000.0,-1572630000.0,-672661000.0,-179080000.0
End Cash Position,3238394000.0,3125959000.0,1595818000.0,1102652000.0
Beginning Cash Position,3125959000.0,1595818000.0,1102652000.0,987356000.0
Changes In Cash,112435000.0,1530141000.0,493166000.0,115296000.0
Other Cash Adjustment Inside Changein Cash,0.0,58929000.0,0.0,
Financing Cash Flow,-2783954000.0,2151111000.0,231624000.0,-511382000.0
Cash Dividends Paid,-2999626000.0,-99994000.0,-502362000.0,-363749000.0
Common Stock Dividend Paid,-2999626000.0,-99994000.0,-502362000.0,-363749000.0
Net Common Stock Issuance,0.0,1421463000.0,22853000.0,0.0
Common Stock Payments,0.0,-78537000.0,0.0,
Common Stock Issuance,0.0,1500000000.0,22853000.0,0.0
Net Issuance Payments Of Debt,235101000.0,851918000.0,733869000.0,-94762000.0
Net Long Term Debt Issuance,235101000.0,851918000.0,733869000.0,-94762000.0
Long Term Debt Payments,-755694000.0,-180257000.0,-104991000.0,-1596052000.0
Long Term Debt Issuance,990795000.0,1032175000.0,838860000.0,1501290000.0
Investing Cash Flow,-1765456000.0,-1096668000.0,-751244000.0,-303730000.0
Net Other Investing Changes,-15878000.0,-34296000.0,-14967000.0,-1389000.0
Dividends Received Cfi,229617000.0,235042000.0,0.0,0.0
Net Investment Purchase And Sale,111595000.0,275216000.0,-75328000.0,-123261000.0
Sale Of Investment,111595000.0,326596000.0,,
Purchase Of Investment,0.0,-51380000.0,-75328000.0,-123261000.0
Net PPE Purchase And Sale,-2090790000.0,-1572630000.0,-660949000.0,-179080000.0
Sale Of PPE,,0.0,11712000.0,0.0
Purchase Of PPE,-2090790000.0,-1572630000.0,-672661000.0,-179080000.0
Operating Cash Flow,4661845000.0,416769000.0,1012786000.0,930408000.0
Taxes Refund Paid,-736970000.0,-68357000.0,-40001000.0,-86772000.0
Interest Paid Cfo,-330422000.0,-266424000.0,-221180000.0,-208973000.0
Change In Working Capital,4069891000.0,-301903000.0,138283000.0,-277521000.0
Change In Other Current Liabilities,-93440000.0,21572000.0,-104543000.0,-337052000.0
Change In Other Current Assets,4206076000.0,9179000.0,54645000.0,20378000.0
Change In Payable,49461000.0,30137000.0,93507000.0,124260000.0
Change In Prepaid Assets,,,-1436000.0,4170000.0
Change In Inventory,,,157000.0,1412000.0
Change In Receivables,-92206000.0,-56776000.0,94674000.0,-75463000.0
Other Non Cash Items,474060000.0,-1997043000.0,-613621000.0,374911000.0
Provisionand Write Offof Assets,-208131000.0,20307000.0,7607000.0,140760000.0
Depreciation And Amortization,677275000.0,615558000.0,593954000.0,566371000.0
Amortization Cash Flow,35466000.0,35466000.0,34959000.0,34848000.0
Depreciation,641809000.0,580092000.0,558995000.0,531523000.0
Pension And Employee Benefit Expense,215991000.0,199074000.0,354459000.0,150731000.0
Gain Loss On Investment Securities,17601000.0,-167106000.0,101670000.0,137739000.0
Gain Loss On Sale Of PPE,12722000.0,6366000.0,-3248000.0,
Net Income From Continuing Operations,835907000.0,3053340000.0,592854000.0,191699000.0
