,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1249959000.0,827040000.0,1487571000.0,1582250000.0,
Repayment Of Debt,-906246000.0,-762550000.0,-779594000.0,-251750000.0,
Issuance Of Debt,1498361000.0,876002000.0,895164000.0,564772000.0,
Capital Expenditure,-484349000.0,-290275000.0,-187334000.0,-157632000.0,
End Cash Position,1031425000.0,1122299000.0,1309721000.0,805619000.0,
Beginning Cash Position,1122299000.0,1309721000.0,805619000.0,524147000.0,
Changes In Cash,-90874000.0,-187422000.0,504102000.0,281472000.0,
Financing Cash Flow,-258626000.0,-65988000.0,-268907000.0,-780263000.0,
Interest Paid Cff,-591911000.0,-136141000.0,-282747000.0,-225064000.0,
Cash Dividends Paid,-185535000.0,,-57372000.0,-819918000.0,
Common Stock Dividend Paid,-185535000.0,0.0,-57372000.0,,0.0
Net Issuance Payments Of Debt,592115000.0,113452000.0,115570000.0,313022000.0,
Net Long Term Debt Issuance,592115000.0,113452000.0,115570000.0,313022000.0,
Long Term Debt Payments,-906246000.0,-762550000.0,-779594000.0,-251750000.0,
Long Term Debt Issuance,1498361000.0,876002000.0,895164000.0,564772000.0,
Investing Cash Flow,-1566556000.0,-1238749000.0,-901896000.0,-678147000.0,
Net Other Investing Changes,-1061187000.0,-939144000.0,-686720000.0,-462355000.0,
Net Investment Purchase And Sale,11718000.0,12658000.0,21180000.0,-4277000.0,
Sale Of Investment,11718000.0,21180000.0,21180000.0,,161349000.0
Purchase Of Investment,,-8522000.0,,-4277000.0,-12154000.0
Net Business Purchase And Sale,-36634000.0,-25464000.0,-54028000.0,-56665000.0,
Purchase Of Business,-36634000.0,-25464000.0,-54028000.0,-56665000.0,
Net Intangibles Purchase And Sale,-417899000.0,-211393000.0,-156151000.0,-144052000.0,
Purchase Of Intangibles,-417899000.0,-211393000.0,-156151000.0,-144052000.0,
Net PPE Purchase And Sale,-62554000.0,-75406000.0,-26177000.0,-10798000.0,
Sale Of PPE,3896000.0,3476000.0,5006000.0,2782000.0,
Purchase Of PPE,-66450000.0,-78882000.0,-31183000.0,-13580000.0,
Operating Cash Flow,1734308000.0,1117315000.0,1674905000.0,1739882000.0,
Taxes Refund Paid,-349822000.0,-203590000.0,-307293000.0,-370652000.0,
Interest Paid Cfo,-435463000.0,-357529000.0,-218520000.0,-179967000.0,
Change In Working Capital,37127000.0,-409594000.0,316501000.0,182195000.0,
Change In Other Current Liabilities,-14538000.0,-37796000.0,45644000.0,-26998000.0,
Change In Other Current Assets,9580000.0,-45346000.0,85253000.0,19760000.0,
Change In Accrued Expense,0.0,-178835000.0,106164000.0,,
Change In Payable,420175000.0,192538000.0,384254000.0,381231000.0,
Change In Prepaid Assets,,7471000.0,6318000.0,-19812000.0,-7195000.0
Change In Inventory,3797000.0,-29077000.0,-22645000.0,-6758000.0,
Change In Receivables,-329860000.0,-194817000.0,-251619000.0,-174369000.0,
Other Non Cash Items,276993000.0,259219000.0,386529000.0,237206000.0,
Provisionand Write Offof Assets,-76924000.0,167815000.0,377734000.0,312977000.0,
Deferred Tax,101313000.0,75640000.0,-140643000.0,-60837000.0,
Depreciation And Amortization,789570000.0,730133000.0,748651000.0,646216000.0,
Depreciation,789570000.0,730133000.0,748651000.0,646216000.0,
Pension And Employee Benefit Expense,58871000.0,54945000.0,63961000.0,60247000.0,
Gain Loss On Investment Securities,-73914000.0,-56336000.0,-102187000.0,-36614000.0,
Net Foreign Currency Exchange Gain Loss,,33317000.0,94035000.0,129778000.0,43650000.0
Gain Loss On Sale Of PPE,,13250000.0,12585000.0,132634000.0,-2330000.0
Net Income From Continuing Operations,1379346000.0,843362000.0,537587000.0,816477000.0,
