,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,68302000000.0,121138000000.0,45225000000.0,54184000000.0,
Repurchase Of Capital Stock,-689000000.0,0.0,0.0,0.0,
Repayment Of Debt,-12981000000.0,-23208000000.0,-32388000000.0,-10581000000.0,
Issuance Of Debt,2170000000.0,1004000000.0,8229000000.0,5260000000.0,
Issuance Of Capital Stock,689000000.0,453000000.0,510000000.0,494000000.0,
Capital Expenditure,-9191000000.0,-8495000000.0,-9081000000.0,-5307000000.0,
Interest Paid Supplemental Data,115518000000.0,107468000000.0,73458000000.0,77011000000.0,
End Cash Position,116543000000.0,104257000000.0,103887000000.0,105823000000.0,
Beginning Cash Position,104257000000.0,103887000000.0,105823000000.0,70811000000.0,
Effect Of Exchange Rate Changes,-11529000000.0,-24279000000.0,-19941000000.0,-11677000000.0,
Changes In Cash,23815000000.0,24649000000.0,18005000000.0,46689000000.0,
Financing Cash Flow,-22448000000.0,-31714000000.0,-31460000000.0,-13555000000.0,
Cash Flow From Continuing Financing Activities,-22448000000.0,-31714000000.0,-31460000000.0,-13555000000.0,
Net Other Financing Charges,-1289000000.0,-3257000000.0,-1544000000.0,2824000000.0,
Cash Dividends Paid,-10348000000.0,-6706000000.0,-6267000000.0,-11552000000.0,
Common Stock Dividend Paid,,,,,-25915000000.0
Net Common Stock Issuance,0.0,453000000.0,510000000.0,494000000.0,
Common Stock Payments,-689000000.0,0.0,0.0,0.0,
Common Stock Issuance,689000000.0,453000000.0,510000000.0,494000000.0,
Net Issuance Payments Of Debt,-10811000000.0,-22204000000.0,-24159000000.0,-5321000000.0,
Net Long Term Debt Issuance,-10811000000.0,-22204000000.0,-24159000000.0,-5321000000.0,
Long Term Debt Payments,-12981000000.0,-23208000000.0,-32388000000.0,-10581000000.0,
Long Term Debt Issuance,2170000000.0,1004000000.0,8229000000.0,5260000000.0,
Investing Cash Flow,-31230000000.0,-73270000000.0,-4841000000.0,753000000.0,
Cash Flow From Continuing Investing Activities,-31230000000.0,-73270000000.0,-4841000000.0,753000000.0,
Net Other Investing Changes,134000000.0,17000000.0,95000000.0,309000000.0,
Dividends Received Cfi,583000000.0,336000000.0,661000000.0,487000000.0,
Net Investment Purchase And Sale,-22949000000.0,-65633000000.0,3322000000.0,4933000000.0,
Sale Of Investment,18463000000.0,0.0,14651000000.0,16845000000.0,
Purchase Of Investment,-41412000000.0,-65633000000.0,-11329000000.0,-11912000000.0,
Net Business Purchase And Sale,0.0,0.0,-10000000.0,0.0,
Purchase Of Business,0.0,0.0,-10000000.0,0.0,
Net Intangibles Purchase And Sale,-5376000000.0,-5768000000.0,-7667000000.0,-3591000000.0,
Sale Of Intangibles,,,95000000.0,309000000.0,64000000.0
Purchase Of Intangibles,-5376000000.0,-5768000000.0,-7667000000.0,-3591000000.0,
Net PPE Purchase And Sale,-3622000000.0,-2222000000.0,-1242000000.0,-1385000000.0,
Sale Of PPE,193000000.0,505000000.0,172000000.0,331000000.0,
Purchase Of PPE,-3815000000.0,-2727000000.0,-1414000000.0,-1716000000.0,
Operating Cash Flow,77493000000.0,129633000000.0,54306000000.0,59491000000.0,
Cash Flow From Continuing Operating Activities,77493000000.0,129633000000.0,54306000000.0,59491000000.0,
Taxes Refund Paid,-8080000000.0,-5874000000.0,-5885000000.0,-5827000000.0,
Change In Working Capital,-6065000000.0,39061000000.0,-33107000000.0,5104000000.0,
Change In Other Working Capital,35229000000.0,69917000000.0,26249000000.0,177057000000.0,
Change In Other Current Liabilities,-6523000000.0,5259000000.0,3341000000.0,10048000000.0,
Change In Other Current Assets,-36262000000.0,-14862000000.0,-19827000000.0,-16819000000.0,
Change In Payables And Accrued Expense,3234000000.0,41000000.0,-898000000.0,-1910000000.0,
Change In Payable,3234000000.0,41000000.0,-898000000.0,-1910000000.0,
Change In Tax Payable,3234000000.0,41000000.0,-898000000.0,-1910000000.0,
Change In Income Tax Payable,3234000000.0,41000000.0,-898000000.0,-1910000000.0,
Change In Receivables,-2819000000.0,-409000000.0,1910000000.0,534000000.0,
Other Non Cash Items,6858000000.0,5087000000.0,16000000000.0,10457000000.0,
Stock Based Compensation,200000000.0,234000000.0,-20000000.0,217000000.0,
Unrealized Gain Loss On Investment Securities,,,,739000000.0,310000000.0
Asset Impairment Charge,,,,,233000000.0
Deferred Tax,2130000000.0,3209000000.0,10024000000.0,-239000000.0,
Deferred Income Tax,2130000000.0,3209000000.0,10024000000.0,-239000000.0,
Depreciation Amortization Depletion,5652000000.0,4796000000.0,4233000000.0,3729000000.0,
Depreciation And Amortization,5652000000.0,4796000000.0,4233000000.0,3729000000.0,
Operating Gains Losses,12476000000.0,25141000000.0,20298000000.0,5006000000.0,
Earnings Losses From Equity Investments,-920000000.0,-672000000.0,-1164000000.0,-1399000000.0,
Gain Loss On Investment Securities,1867000000.0,1534000000.0,1521000000.0,-5272000000.0,
Net Foreign Currency Exchange Gain Loss,11529000000.0,24279000000.0,19941000000.0,11677000000.0,
Net Income From Continuing Operations,33877000000.0,30242000000.0,28384000000.0,15064000000.0,
