,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,710762000.0,441309000.0,270661000.0,423078000.0,
Repayment Of Debt,-250063000.0,-143028000.0,-404538000.0,-289708000.0,
Issuance Of Debt,680924000.0,292720000.0,123362000.0,352705000.0,
Issuance Of Capital Stock,192553000.0,0.0,,,
Capital Expenditure,-79604000.0,-96704000.0,-87238000.0,-67080000.0,
End Cash Position,200328000.0,427406000.0,361089000.0,607835000.0,
Beginning Cash Position,427406000.0,361089000.0,607835000.0,168781000.0,
Effect Of Exchange Rate Changes,-47380000.0,-18762000.0,-9156000.0,17421000.0,
Changes In Cash,-179698000.0,85079000.0,-237590000.0,421633000.0,
Financing Cash Flow,-750110000.0,-411466000.0,-435000000.0,21393000.0,
Net Other Financing Charges,1000.0,,2205000.0,2940000.0,
Interest Paid Cff,-12178000.0,-6632000.0,-25236000.0,-13034000.0,
Cash Dividends Paid,-1344601000.0,-543741000.0,-117910000.0,-20947000.0,
Common Stock Dividend Paid,,,,-20947000.0,-276136000.0
Net Common Stock Issuance,192553000.0,0.0,,,
Common Stock Issuance,192553000.0,0.0,,,
Net Issuance Payments Of Debt,430861000.0,149692000.0,-281176000.0,62997000.0,
Net Long Term Debt Issuance,430861000.0,149692000.0,-281176000.0,62997000.0,
Long Term Debt Payments,-250063000.0,-143028000.0,-404538000.0,-289708000.0,
Long Term Debt Issuance,680924000.0,292720000.0,123362000.0,352705000.0,
Investing Cash Flow,-219954000.0,-41468000.0,-160489000.0,-89918000.0,
Net Other Investing Changes,,,,,3887000.0
Dividends Received Cfi,0.0,0.0,336000.0,0.0,
Net Investment Purchase And Sale,-186585000.0,0.0,,,
Sale Of Investment,48892000.0,0.0,,,
Purchase Of Investment,-235477000.0,0.0,,,
Net Business Purchase And Sale,,0.0,0.0,0.0,0.0
Purchase Of Business,,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-1521000.0,-423000.0,-870000.0,-329000.0,
Purchase Of Intangibles,-1521000.0,-423000.0,-870000.0,-329000.0,
Net PPE Purchase And Sale,-75827000.0,-95893000.0,-84566000.0,-64262000.0,
Sale Of PPE,2256000.0,388000.0,1802000.0,2489000.0,
Purchase Of PPE,-78083000.0,-96281000.0,-86368000.0,-66751000.0,
Capital Expenditure Reported,,,,,-86613000.0
Operating Cash Flow,790366000.0,538013000.0,357899000.0,490158000.0,
Taxes Refund Paid,-172471000.0,-155232000.0,-117607000.0,-47354000.0,
Change In Working Capital,100379000.0,-78436000.0,-236806000.0,53118000.0,
Change In Other Current Liabilities,-129413000.0,-34990000.0,-16345000.0,-23328000.0,
Change In Other Current Assets,-5161000.0,5506000.0,-205000.0,7365000.0,
Change In Accrued Expense,,,,-3202000.0,-14744000.0
Change In Payable,15171000.0,57030000.0,-20243000.0,142084000.0,
Change In Inventory,31930000.0,-34244000.0,-107326000.0,-21858000.0,
Change In Receivables,187852000.0,-71738000.0,-92687000.0,-51145000.0,
Other Non Cash Items,-250201000.0,-98115000.0,22199000.0,92489000.0,
Provisionand Write Offof Assets,91816000.0,109692000.0,-21467000.0,57265000.0,
Deferred Tax,-15423000.0,-48792000.0,-106906000.0,49421000.0,
Depreciation And Amortization,101581000.0,95880000.0,100404000.0,102961000.0,
Depreciation,101581000.0,95880000.0,100404000.0,102961000.0,
Gain Loss On Investment Securities,-1141000.0,1629000.0,2011000.0,-1395000.0,
Net Foreign Currency Exchange Gain Loss,-70876000.0,-95015000.0,-44080000.0,-40053000.0,
Gain Loss On Sale Of PPE,-1497000.0,672000.0,3359000.0,-357000.0,
Net Income From Continuing Operations,937921000.0,711881000.0,713695000.0,107620000.0,
