,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-90735000.0,-370953000.0,-523302000.0,-86244000.0,
Repayment Of Debt,-136309000.0,-142943000.0,-67487000.0,-122842000.0,
Issuance Of Debt,289234000.0,530443000.0,128245000.0,51277000.0,
Issuance Of Capital Stock,,0.0,0.0,903393000.0,0.0
Capital Expenditure,-15404000.0,-24529000.0,-9321000.0,-12439000.0,
End Cash Position,181704000.0,197833000.0,115525000.0,194304000.0,
Beginning Cash Position,197833000.0,115525000.0,194304000.0,33416000.0,
Changes In Cash,-16129000.0,82308000.0,-78779000.0,160888000.0,
Financing Cash Flow,43687000.0,323625000.0,-7663000.0,791427000.0,
Net Other Financing Charges,-22039000.0,-27886000.0,-6250000.0,-39394000.0,
Cash Dividends Paid,-80294000.0,-34637000.0,-59733000.0,,-12050000.0
Common Stock Dividend Paid,-80294000.0,-34637000.0,-59733000.0,0.0,
Net Common Stock Issuance,,0.0,0.0,903393000.0,0.0
Common Stock Issuance,,0.0,0.0,903393000.0,0.0
Net Issuance Payments Of Debt,152925000.0,387500000.0,60758000.0,-71565000.0,
Net Long Term Debt Issuance,152925000.0,387500000.0,60758000.0,-71565000.0,
Long Term Debt Payments,-136309000.0,-142943000.0,-67487000.0,-122842000.0,
Long Term Debt Issuance,289234000.0,530443000.0,128245000.0,51277000.0,
Investing Cash Flow,15515000.0,105107000.0,442865000.0,-556734000.0,
Net Other Investing Changes,12525000.0,22092000.0,-4076000.0,-42592000.0,
Dividends Received Cfi,0.0,202000.0,0.0,498000.0,
Net Investment Purchase And Sale,18394000.0,107342000.0,456262000.0,-502201000.0,
Sale Of Investment,18685000.0,112691000.0,753393000.0,324855000.0,
Purchase Of Investment,-291000.0,-5349000.0,-297131000.0,-827056000.0,
Net PPE Purchase And Sale,-15404000.0,-24529000.0,-9321000.0,-12439000.0,
Purchase Of PPE,-15404000.0,-24529000.0,-9321000.0,-12439000.0,
Capital Expenditure Reported,,,,-12439000.0,-2531000.0
Operating Cash Flow,-75331000.0,-346424000.0,-513981000.0,-73805000.0,
Taxes Refund Paid,-19202000.0,-18208000.0,-9208000.0,-5660000.0,
Interest Paid Cfo,-67880000.0,-34153000.0,-5427000.0,-6459000.0,
Change In Working Capital,-179311000.0,-430225000.0,-569481000.0,-121464000.0,
Change In Other Current Liabilities,6094000.0,-13937000.0,3858000.0,40096000.0,
Change In Other Current Assets,-114177000.0,-62154000.0,54480000.0,25600000.0,
Change In Payable,8856000.0,24875000.0,23182000.0,2133000.0,
Change In Prepaid Assets,-9193000.0,-598000.0,0.0,0.0,
Change In Inventory,114331000.0,-179732000.0,-482386000.0,-127714000.0,
Change In Receivables,-185222000.0,-198679000.0,-168615000.0,-61579000.0,
Other Non Cash Items,83832000.0,37334000.0,23260000.0,14654000.0,
Stock Based Compensation,-14200000.0,6515000.0,5304000.0,2381000.0,
Provisionand Write Offof Assets,1764000.0,8995000.0,2833000.0,1364000.0,
Deferred Tax,2498000.0,3535000.0,2266000.0,905000.0,
Depreciation And Amortization,8094000.0,5341000.0,5034000.0,2239000.0,
Depreciation,8094000.0,5341000.0,5034000.0,2239000.0,
Pension And Employee Benefit Expense,,,,553000.0,0.0
Gain Loss On Investment Securities,-10172000.0,20280000.0,-9142000.0,-17579000.0,
Net Income From Continuing Operations,115791000.0,55159000.0,38921000.0,56881000.0,
