,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,31098000000.0,40136000000.0,31466000000.0,23016000000.0,
Repurchase Of Capital Stock,-735000000.0,0.0,0.0,,
Repayment Of Debt,-10479000000.0,-14764000000.0,-27240000000.0,-31607000000.0,
Issuance Of Debt,2210000000.0,2880000000.0,1885000000.0,17023000000.0,
Capital Expenditure,-12114000000.0,-9581000000.0,-6325000000.0,-5874000000.0,
End Cash Position,12727000000.0,7996000000.0,10480000000.0,11725000000.0,
Beginning Cash Position,7996000000.0,10480000000.0,11725000000.0,7377000000.0,
Effect Of Exchange Rate Changes,174000000.0,-316000000.0,-402000000.0,-773000000.0,
Changes In Cash,4557000000.0,-2168000000.0,-843000000.0,5121000000.0,
Financing Cash Flow,-30700000000.0,-51453000000.0,-40791000000.0,-19259000000.0,
Cash From Discontinued Financing Activities,,,0.0,0.0,-508000000.0
Cash Flow From Continuing Financing Activities,-30700000000.0,-51453000000.0,-40791000000.0,-19259000000.0,
Net Other Financing Charges,-48000000.0,-18000000.0,-129000000.0,-151000000.0,
Interest Paid Cff,-1978000000.0,-1850000000.0,-2229000000.0,-3157000000.0,
Cash Dividends Paid,-19670000000.0,-37701000000.0,-13078000000.0,-1367000000.0,
Common Stock Dividend Paid,,,,,-1877000000.0
Net Common Stock Issuance,-735000000.0,0.0,0.0,,
Common Stock Payments,-735000000.0,0.0,0.0,,
Net Issuance Payments Of Debt,-8269000000.0,-11884000000.0,-25355000000.0,-14584000000.0,
Net Long Term Debt Issuance,-8269000000.0,-11884000000.0,-25355000000.0,-14584000000.0,
Long Term Debt Payments,-10479000000.0,-14764000000.0,-27240000000.0,-31607000000.0,
Long Term Debt Issuance,2210000000.0,2880000000.0,1885000000.0,17023000000.0,
Investing Cash Flow,-7955000000.0,-432000000.0,2157000000.0,-4510000000.0,
Cash From Discontinued Investing Activities,,,0.0,0.0,1812000000.0
Cash Flow From Continuing Investing Activities,-7955000000.0,-432000000.0,2157000000.0,-4510000000.0,
Net Other Investing Changes,3997000000.0,12130000000.0,7721000000.0,1997000000.0,
Dividends Received Cfi,88000000.0,374000000.0,781000000.0,243000000.0,
Net Investment Purchase And Sale,98000000.0,-3328000000.0,4000000.0,66000000.0,
Sale Of Investment,98000000.0,,4000000.0,66000000.0,198000000.0
Purchase Of Investment,,-3328000000.0,,,-7000000.0
Net Business Purchase And Sale,-24000000.0,-27000000.0,-24000000.0,-942000000.0,
Purchase Of Business,-24000000.0,-27000000.0,-24000000.0,-942000000.0,
Net Intangibles Purchase And Sale,,,,,8361000000.0
Sale Of Intangibles,,,,,8361000000.0
Net PPE Purchase And Sale,-12114000000.0,-9581000000.0,-6325000000.0,-5874000000.0,
Purchase Of PPE,-12114000000.0,-9581000000.0,-6325000000.0,-5874000000.0,
Capital Expenditure Reported,,,,,-8556000000.0
Operating Cash Flow,43212000000.0,49717000000.0,37791000000.0,28890000000.0,
Cash From Discontinued Operating Activities,,,0.0,0.0,323000000.0
Cash Flow From Continuing Operating Activities,43212000000.0,49717000000.0,37791000000.0,14212000000.0,
Taxes Refund Paid,-10032000000.0,-11516000000.0,-2138000000.0,-332000000.0,
Change In Working Capital,-3765000000.0,-9173000000.0,-5479000000.0,1368000000.0,
Change In Other Working Capital,-3787000000.0,-5003000000.0,-5065000000.0,-2362000000.0,
Change In Other Current Liabilities,-569000000.0,-95000000.0,376000000.0,-47000000.0,
Change In Other Current Assets,324000000.0,-413000000.0,-289000000.0,159000000.0,
Change In Payables And Accrued Expense,-1385000000.0,-2800000000.0,3908000000.0,2893000000.0,
Change In Payable,-1385000000.0,-2800000000.0,3908000000.0,2893000000.0,
Change In Account Payable,-954000000.0,-359000000.0,1073000000.0,216000000.0,
Change In Tax Payable,-431000000.0,-2441000000.0,2835000000.0,2677000000.0,
Change In Income Tax Payable,-431000000.0,-2441000000.0,2835000000.0,2677000000.0,
Change In Prepaid Assets,,,,-859000000.0,-2144000000.0
Change In Inventory,1564000000.0,-1217000000.0,-2334000000.0,724000000.0,
Change In Receivables,88000000.0,355000000.0,-2075000000.0,1000000.0,
Other Non Cash Items,2150000000.0,-2808000000.0,61000000.0,15876000000.0,
Provisionand Write Offof Assets,40000000.0,65000000.0,-30000000.0,144000000.0,
Asset Impairment Charge,3094000000.0,2017000000.0,-2943000000.0,-6508000000.0,
Deferred Tax,10401000000.0,16769000000.0,7253000000.0,-4347000000.0,
Deferred Income Tax,10401000000.0,16769000000.0,7253000000.0,-4347000000.0,
Depreciation Amortization Depletion,13280000000.0,13218000000.0,11695000000.0,11445000000.0,
Depreciation And Amortization,13280000000.0,13218000000.0,11695000000.0,11445000000.0,
Amortization Cash Flow,104000000.0,77000000.0,60000000.0,66000000.0,
Amortization Of Intangibles,104000000.0,77000000.0,60000000.0,66000000.0,
Depreciation,13176000000.0,13141000000.0,11635000000.0,11379000000.0,
Operating Gains Losses,3049000000.0,4390000000.0,9386000000.0,10296000000.0,
Pension And Employee Benefit Expense,1542000000.0,1228000000.0,2098000000.0,-1001000000.0,
Earnings Losses From Equity Investments,304000000.0,-251000000.0,-1607000000.0,659000000.0,
Net Foreign Currency Exchange Gain Loss,2498000000.0,4557000000.0,10795000000.0,11094000000.0,
Net Income From Continuing Operations,24995000000.0,36755000000.0,19986000000.0,948000000.0,
