,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1030635000.0,1527024000.0,-2020000.0,617767000.0,
Repurchase Of Capital Stock,,,-71233000.0,,
Repayment Of Debt,-2358100000.0,-1676238000.0,-2154523000.0,-1045083000.0,
Issuance Of Debt,3325696000.0,2602726000.0,1427030000.0,1485800000.0,
Issuance Of Capital Stock,,,,4681000.0,
Capital Expenditure,-822184000.0,-464753000.0,-437110000.0,-211783000.0,
End Cash Position,1613703000.0,1235775000.0,139780000.0,1604053000.0,
Other Cash Adjustment Outside Changein Cash,,,,-44689000.0,
Beginning Cash Position,1235775000.0,139780000.0,1604053000.0,829427000.0,
Changes In Cash,377928000.0,1095995000.0,-1464273000.0,819315000.0,
Financing Cash Flow,-618477000.0,-409969000.0,-1423168000.0,159611000.0,
Net Other Financing Charges,-195367000.0,-91203000.0,-188163000.0,23690000.0,
Cash Dividends Paid,-628934000.0,-558383000.0,-205339000.0,-179843000.0,
Common Stock Dividend Paid,-628934000.0,-558383000.0,-205339000.0,-179843000.0,
Net Common Stock Issuance,-193762000.0,-175533000.0,-71233000.0,4681000.0,
Common Stock Payments,,,-71233000.0,,
Common Stock Issuance,,,,4681000.0,
Net Issuance Payments Of Debt,967596000.0,926488000.0,-727493000.0,440717000.0,
Net Long Term Debt Issuance,967596000.0,926488000.0,-727493000.0,440717000.0,
Long Term Debt Payments,-2358100000.0,-1676238000.0,-2154523000.0,-1045083000.0,
Long Term Debt Issuance,3325696000.0,2602726000.0,1427030000.0,1485800000.0,
Investing Cash Flow,-856414000.0,-485813000.0,-476195000.0,-169846000.0,
Net Investment Purchase And Sale,-37582000.0,-22703000.0,-1640000.0,-706000.0,
Purchase Of Investment,-37582000.0,-22703000.0,-2346000.0,-706000.0,
Net Business Purchase And Sale,,0.0,-55297000.0,,
Purchase Of Business,,0.0,-55297000.0,,
Net Intangibles Purchase And Sale,-17069000.0,-36433000.0,-36007000.0,-21654000.0,
Purchase Of Intangibles,-17069000.0,-36433000.0,-36007000.0,-21654000.0,
Net PPE Purchase And Sale,-801763000.0,-426677000.0,-383251000.0,-147486000.0,
Sale Of PPE,3352000.0,1643000.0,17852000.0,42643000.0,
Purchase Of PPE,-805115000.0,-428320000.0,-401103000.0,-190129000.0,
Operating Cash Flow,1852819000.0,1991777000.0,435090000.0,829550000.0,
Taxes Refund Paid,-274365000.0,-376330000.0,-171484000.0,-99255000.0,
Interest Paid Cfo,-426613000.0,-328655000.0,-105946000.0,-93685000.0,
Dividend Received Cfo,0.0,0.0,0.0,,
Change In Working Capital,-260016000.0,-376304000.0,-1031251000.0,-172386000.0,
Change In Other Current Liabilities,58000.0,2422000.0,-51000.0,-4000.0,
Change In Other Current Assets,495752000.0,82666000.0,240039000.0,6721000.0,
Change In Payable,-604570000.0,338480000.0,-319883000.0,156988000.0,
Change In Prepaid Assets,339000.0,10102000.0,-22556000.0,5952000.0,
Change In Inventory,-119647000.0,-685879000.0,-958924000.0,-298330000.0,
Change In Receivables,-31948000.0,-124095000.0,30124000.0,-43713000.0,
Other Non Cash Items,933908000.0,636575000.0,-145996000.0,219819000.0,
Stock Based Compensation,18432000.0,15800000.0,8901000.0,6463000.0,
Provisionand Write Offof Assets,43313000.0,71366000.0,38487000.0,24904000.0,
Deferred Tax,810000.0,13278000.0,-3780000.0,24904000.0,
Depreciation And Amortization,519230000.0,488557000.0,279157000.0,193349000.0,
Depreciation,519230000.0,488557000.0,279157000.0,193349000.0,
Pension And Employee Benefit Expense,89157000.0,85356000.0,98621000.0,45590000.0,
Gain Loss On Investment Securities,-59135000.0,-52549000.0,-105675000.0,-7184000.0,
Gain Loss On Sale Of PPE,,,,,-17811000.0
Net Income From Continuing Operations,1223905000.0,1805825000.0,1560810000.0,689179000.0,
