,0,1,Ticker
0,Papel,AGRO3,AGRO3.SA
1,Cotação,"26,84",AGRO3.SA
2,Tipo,ON NM,AGRO3.SA
3,Data últ cot,24/07/2024,AGRO3.SA
4,Empresa,BRASILAGRO ON NM,AGRO3.SA
5,Min 52 sem,"20,77",AGRO3.SA
6,Setor,Agropecuária,AGRO3.SA
7,Max 52 sem,"28,20",AGRO3.SA
8,Subsetor,Agricultura,AGRO3.SA
9,Vol $ méd (2m),6.346.030,AGRO3.SA
10,Valor de mercado,2.756.020.000,AGRO3.SA
11,Últ balanço processado,31/03/2024,AGRO3.SA
12,Valor da firma,3.595.150.000,AGRO3.SA
13,Nro. Ações,102.683.000,AGRO3.SA
14,Dia," -0,41%",AGRO3.SA
15,P/L,"11,64",AGRO3.SA
16,LPA,"2,31",AGRO3.SA
17,Mês,"4,68%",AGRO3.SA
18,P/VP,"1,41",AGRO3.SA
19,VPA,"19,06",AGRO3.SA
20,30 dias,"5,54%",AGRO3.SA
21,P/EBIT," 14,69",AGRO3.SA
22,Marg. Bruta," 28,0%",AGRO3.SA
23,12 meses,"18,73%",AGRO3.SA
24,PSR," 2,51",AGRO3.SA
25,Marg. EBIT," 17,1%",AGRO3.SA
26,2024,"0,49%",AGRO3.SA
27,P/Ativos," 0,82",AGRO3.SA
28,Marg. Líquida," 21,6%",AGRO3.SA
29,2023,"-0,23%",AGRO3.SA
30,P/Cap. Giro," 4,43",AGRO3.SA
31,EBIT / Ativo,"5,6%",AGRO3.SA
32,2022,"22,82%",AGRO3.SA
33,P/Ativ Circ Liq," -16,79",AGRO3.SA
34,ROIC," 6,5%",AGRO3.SA
35,2021,"26,66%",AGRO3.SA
36,Div. Yield,"12,0%",AGRO3.SA
37,ROE," 12,1%",AGRO3.SA
38,2020,"35,75%",AGRO3.SA
39,EV / EBITDA," 13,02",AGRO3.SA
40,Liquidez Corr," 2,04",AGRO3.SA
41,2019,"25,71%",AGRO3.SA
42,EV / EBIT," 19,16",AGRO3.SA
43,Div Br/ Patrim," 0,54",AGRO3.SA
44,,,AGRO3.SA
45,Cres. Rec (5a)," 11,7%",AGRO3.SA
46,Giro Ativos," 0,33",AGRO3.SA
47,Ativo,3.341.290.000,AGRO3.SA
48,Dív. Bruta,1.064.750.000,AGRO3.SA
49,Disponibilidades,225.623.000,AGRO3.SA
50,Dív. Líquida,839.124.000,AGRO3.SA
51,Ativo Circulante,1.219.710.000,AGRO3.SA
52,Patrim. Líq,1.957.410.000,AGRO3.SA
53,Receita Líquida,132.967.000,AGRO3.SA
54,EBIT,-11.332.000,AGRO3.SA
55,Lucro Líquido,-30.147.000,AGRO3.SA
