,0,1,Ticker
0,Papel,BRAP4,BRAP4.SA
1,Cotação,"18,50",BRAP4.SA
2,Tipo,PN N1,BRAP4.SA
3,Data últ cot,24/07/2024,BRAP4.SA
4,Empresa,BRADESPAR S/A PN N1,BRAP4.SA
5,Min 52 sem,"17,83",BRAP4.SA
6,Setor,Mineração,BRAP4.SA
7,Max 52 sem,"24,25",BRAP4.SA
8,Subsetor,Minerais Metálicos,BRAP4.SA
9,Vol $ méd (2m),52.809.200,BRAP4.SA
10,Valor de mercado,7.272.290.000,BRAP4.SA
11,Últ balanço processado,31/03/2024,BRAP4.SA
12,Valor da firma,6.561.420.000,BRAP4.SA
13,Nro. Ações,393.097.000,BRAP4.SA
14,Dia," -0,75%",BRAP4.SA
15,P/L,"4,94",BRAP4.SA
16,LPA,"3,74",BRAP4.SA
17,Mês,"-0,05%",BRAP4.SA
18,P/VP,"0,89",BRAP4.SA
19,VPA,"20,90",BRAP4.SA
20,30 dias,"2,95%",BRAP4.SA
21,P/EBIT," -339,83",BRAP4.SA
22,Marg. Bruta, -,BRAP4.SA
23,12 meses,"-8,50%",BRAP4.SA
24,PSR, -,BRAP4.SA
25,Marg. EBIT, -,BRAP4.SA
26,2024,"-23,70%",BRAP4.SA
27,P/Ativos," 0,88",BRAP4.SA
28,Marg. Líquida," 0,0%",BRAP4.SA
29,2023,"-3,31%",BRAP4.SA
30,P/Cap. Giro," 11,13",BRAP4.SA
31,EBIT / Ativo,"-0,3%",BRAP4.SA
32,2022,"33,59%",BRAP4.SA
33,P/Ativ Circ Liq," 11,17",BRAP4.SA
34,ROIC," -0,3%",BRAP4.SA
35,2021,"15,53%",BRAP4.SA
36,Div. Yield,"16,1%",BRAP4.SA
37,ROE," 17,9%",BRAP4.SA
38,2020,"73,31%",BRAP4.SA
39,EV / EBITDA," -306,61",BRAP4.SA
40,Liquidez Corr," 12,26",BRAP4.SA
41,2019,"27,40%",BRAP4.SA
42,EV / EBIT," -306,61",BRAP4.SA
43,Div Br/ Patrim, -,BRAP4.SA
44,,,BRAP4.SA
45,Cres. Rec (5a), -,BRAP4.SA
46,Giro Ativos, -,BRAP4.SA
47,Ativo,8.274.430.000,BRAP4.SA
48,Dív. Bruta,0,BRAP4.SA
49,Disponibilidades,710.879.000,BRAP4.SA
50,Dív. Líquida,-710.879.000,BRAP4.SA
51,Ativo Circulante,711.262.000,BRAP4.SA
52,Patrim. Líq,8.214.080.000,BRAP4.SA
53,Receita Líquida,0,BRAP4.SA
54,EBIT,-5.098.000,BRAP4.SA
55,Lucro Líquido,343.098.000,BRAP4.SA
