,0,1,Ticker
0,Papel,CPFE3,CPFE3.SA
1,Cotação,"32,98",CPFE3.SA
2,Tipo,ON,CPFE3.SA
3,Data últ cot,24/07/2024,CPFE3.SA
4,Empresa,CPFL ENERGIA S.A. ON,CPFE3.SA
5,Min 52 sem,"29,56",CPFE3.SA
6,Setor,Energia Elétrica,CPFE3.SA
7,Max 52 sem,"35,69",CPFE3.SA
8,Subsetor,Energia Elétrica,CPFE3.SA
9,Vol $ méd (2m),50.126.200,CPFE3.SA
10,Valor de mercado,38.001.400.000,CPFE3.SA
11,Últ balanço processado,31/03/2024,CPFE3.SA
12,Valor da firma,60.320.500.000,CPFE3.SA
13,Nro. Ações,1.152.250.000,CPFE3.SA
14,Dia," 0,55%",CPFE3.SA
15,P/L,"6,78",CPFE3.SA
16,LPA,"4,87",CPFE3.SA
17,Mês,"0,76%",CPFE3.SA
18,P/VP,"1,85",CPFE3.SA
19,VPA,"17,82",CPFE3.SA
20,30 dias,"1,07%",CPFE3.SA
21,P/EBIT," 3,33",CPFE3.SA
22,Marg. Bruta," 34,8%",CPFE3.SA
23,12 meses,"2,95%",CPFE3.SA
24,PSR," 0,95",CPFE3.SA
25,Marg. EBIT," 28,5%",CPFE3.SA
26,2024,"-7,03%",CPFE3.SA
27,P/Ativos," 0,50",CPFE3.SA
28,Marg. Líquida," 14,1%",CPFE3.SA
29,2023,"26,67%",CPFE3.SA
30,P/Cap. Giro," -24,46",CPFE3.SA
31,EBIT / Ativo,"15,1%",CPFE3.SA
32,2022,"35,93%",CPFE3.SA
33,P/Ativ Circ Liq," -1,05",CPFE3.SA
34,ROIC," 17,1%",CPFE3.SA
35,2021,"-5,97%",CPFE3.SA
36,Div. Yield,"10,7%",CPFE3.SA
37,ROE," 27,3%",CPFE3.SA
38,2020,"-3,15%",CPFE3.SA
39,EV / EBITDA," 4,53",CPFE3.SA
40,Liquidez Corr," 0,92",CPFE3.SA
41,2019,"24,82%",CPFE3.SA
42,EV / EBIT," 5,29",CPFE3.SA
43,Div Br/ Patrim," 1,35",CPFE3.SA
44,,,CPFE3.SA
45,Cres. Rec (5a)," 8,3%",CPFE3.SA
46,Giro Ativos," 0,53",CPFE3.SA
47,Ativo,75.541.000.000,CPFE3.SA
48,Dív. Bruta,27.719.200.000,CPFE3.SA
49,Disponibilidades,5.400.060.000,CPFE3.SA
50,Dív. Líquida,22.319.200.000,CPFE3.SA
51,Ativo Circulante,17.601.600.000,CPFE3.SA
52,Patrim. Líq,20.534.000.000,CPFE3.SA
53,Receita Líquida,10.165.800.000,CPFE3.SA
54,EBIT,3.260.690.000,CPFE3.SA
55,Lucro Líquido,1.675.380.000,CPFE3.SA
