,0,1,Ticker
0,Papel,CSMG3,CSMG3.SA
1,Cotação,"21,74",CSMG3.SA
2,Tipo,ON,CSMG3.SA
3,Data últ cot,24/07/2024,CSMG3.SA
4,Empresa,COPASA MG ON,CSMG3.SA
5,Min 52 sem,"13,66",CSMG3.SA
6,Setor,Água e Saneamento,CSMG3.SA
7,Max 52 sem,"22,08",CSMG3.SA
8,Subsetor,Água e Saneamento,CSMG3.SA
9,Vol $ méd (2m),27.816.200,CSMG3.SA
10,Valor de mercado,8.266.700.000,CSMG3.SA
11,Últ balanço processado,31/03/2024,CSMG3.SA
12,Valor da firma,12.083.200.000,CSMG3.SA
13,Nro. Ações,380.253.000,CSMG3.SA
14,Dia," -1,54%",CSMG3.SA
15,P/L,"5,93",CSMG3.SA
16,LPA,"3,66",CSMG3.SA
17,Mês,"4,07%",CSMG3.SA
18,P/VP,"1,07",CSMG3.SA
19,VPA,"20,39",CSMG3.SA
20,30 dias,"6,95%",CSMG3.SA
21,P/EBIT," 4,25",CSMG3.SA
22,Marg. Bruta," 41,3%",CSMG3.SA
23,12 meses,"26,68%",CSMG3.SA
24,PSR," 1,10",CSMG3.SA
25,Marg. EBIT," 25,8%",CSMG3.SA
26,2024,"16,37%",CSMG3.SA
27,P/Ativos," 0,58",CSMG3.SA
28,Marg. Líquida," 18,5%",CSMG3.SA
29,2023,"50,55%",CSMG3.SA
30,P/Cap. Giro," 20,36",CSMG3.SA
31,EBIT / Ativo,"13,7%",CSMG3.SA
32,2022,"26,57%",CSMG3.SA
33,P/Ativ Circ Liq," -2,03",CSMG3.SA
34,ROIC," 14,9%",CSMG3.SA
35,2021,"-18,03%",CSMG3.SA
36,Div. Yield,"16,6%",CSMG3.SA
37,ROE," 18,0%",CSMG3.SA
38,2020,"-14,22%",CSMG3.SA
39,EV / EBITDA," 4,41",CSMG3.SA
40,Liquidez Corr," 1,21",CSMG3.SA
41,2019,"9,13%",CSMG3.SA
42,EV / EBIT," 6,22",CSMG3.SA
43,Div Br/ Patrim," 0,59",CSMG3.SA
44,,,CSMG3.SA
45,Cres. Rec (5a)," 9,5%",CSMG3.SA
46,Giro Ativos," 0,53",CSMG3.SA
47,Ativo,14.145.300.000,CSMG3.SA
48,Dív. Bruta,4.600.090.000,CSMG3.SA
49,Disponibilidades,783.598.000,CSMG3.SA
50,Dív. Líquida,3.816.490.000,CSMG3.SA
51,Ativo Circulante,2.324.880.000,CSMG3.SA
52,Patrim. Líq,7.752.950.000,CSMG3.SA
53,Receita Líquida,1.862.330.000,CSMG3.SA
54,EBIT,536.468.000,CSMG3.SA
55,Lucro Líquido,351.550.000,CSMG3.SA
