,0,1,Ticker
0,Papel,GOAU4,GOAU4.SA
1,Cotação,"10,47",GOAU4.SA
2,Tipo,PN N1,GOAU4.SA
3,Data últ cot,24/07/2024,GOAU4.SA
4,Empresa,METALÚRGICA GERDAU PN N1,GOAU4.SA
5,Min 52 sem,"9,07",GOAU4.SA
6,Setor,Siderurgia e Metalurgia,GOAU4.SA
7,Max 52 sem,"12,16",GOAU4.SA
8,Subsetor,Siderurgia,GOAU4.SA
9,Vol $ méd (2m),61.606.200,GOAU4.SA
10,Valor de mercado,10.812.400.000,GOAU4.SA
11,Últ balanço processado,31/03/2024,GOAU4.SA
12,Valor da firma,15.620.200.000,GOAU4.SA
13,Nro. Ações,1.032.710.000,GOAU4.SA
14,Dia," -0,95%",GOAU4.SA
15,P/L,"5,03",GOAU4.SA
16,LPA,"2,08",GOAU4.SA
17,Mês,"-1,69%",GOAU4.SA
18,P/VP,"0,61",GOAU4.SA
19,VPA,"17,13",GOAU4.SA
20,30 dias,"1,26%",GOAU4.SA
21,P/EBIT," 1,36",GOAU4.SA
22,Marg. Bruta," 15,3%",GOAU4.SA
23,12 meses,"-7,58%",GOAU4.SA
24,PSR," 0,16",GOAU4.SA
25,Marg. EBIT," 12,0%",GOAU4.SA
26,2024,"-1,49%",GOAU4.SA
27,P/Ativos," 0,14",GOAU4.SA
28,Marg. Líquida," 9,7%",GOAU4.SA
29,2023,"-4,33%",GOAU4.SA
30,P/Cap. Giro," 0,56",GOAU4.SA
31,EBIT / Ativo,"10,3%",GOAU4.SA
32,2022,"26,16%",GOAU4.SA
33,P/Ativ Circ Liq," 2,07",GOAU4.SA
34,ROIC," 12,2%",GOAU4.SA
35,2021,"23,16%",GOAU4.SA
36,Div. Yield,"13,7%",GOAU4.SA
37,ROE," 12,2%",GOAU4.SA
38,2020,"23,34%",GOAU4.SA
39,EV / EBITDA," 1,41",GOAU4.SA
40,Liquidez Corr," 2,82",GOAU4.SA
41,2019,"32,57%",GOAU4.SA
42,EV / EBIT," 1,97",GOAU4.SA
43,Div Br/ Patrim," 0,62",GOAU4.SA
44,,,GOAU4.SA
45,Cres. Rec (5a)," 16,5%",GOAU4.SA
46,Giro Ativos," 0,86",GOAU4.SA
47,Ativo,77.297.600.000,GOAU4.SA
48,Dív. Bruta,11.040.400.000,GOAU4.SA
49,Disponibilidades,6.232.660.000,GOAU4.SA
50,Dív. Líquida,4.807.790.000,GOAU4.SA
51,Ativo Circulante,30.075.200.000,GOAU4.SA
52,Patrim. Líq,17.694.200.000,GOAU4.SA
53,Receita Líquida,16.210.300.000,GOAU4.SA
54,EBIT,1.915.340.000,GOAU4.SA
55,Lucro Líquido,685.765.000,GOAU4.SA
