,0,1,Ticker
0,Papel,ITUB4,ITUB4.SA
1,Cotação,"34,14",ITUB4.SA
2,Tipo,PN N1,ITUB4.SA
3,Data últ cot,24/07/2024,ITUB4.SA
4,Empresa,ITAUUNIBANCO PN N1,ITUB4.SA
5,Min 52 sem,"25,12",ITUB4.SA
6,Setor,Intermediários Financeiros,ITUB4.SA
7,Max 52 sem,"34,39",ITUB4.SA
8,Subsetor,Bancos,ITUB4.SA
9,Vol $ méd (2m),704.349.000,ITUB4.SA
10,Valor de mercado,334.713.000.000,ITUB4.SA
11,Últ balanço processado,31/03/2024,ITUB4.SA
12,Valor da firma,-,ITUB4.SA
13,Nro. Ações,9.804.140.000,ITUB4.SA
14,Dia," -0,15%",ITUB4.SA
15,P/L,"9,72",ITUB4.SA
16,LPA,"3,51",ITUB4.SA
17,Mês,"5,40%",ITUB4.SA
18,P/VP,"1,89",ITUB4.SA
19,VPA,"18,09",ITUB4.SA
20,30 dias,"7,15%",ITUB4.SA
21,P/EBIT, -,ITUB4.SA
22,Marg. Bruta, -,ITUB4.SA
23,12 meses,"25,29%",ITUB4.SA
24,PSR, -,ITUB4.SA
25,Marg. EBIT, -,ITUB4.SA
26,2024,"5,23%",ITUB4.SA
27,P/Ativos, -,ITUB4.SA
28,Marg. Líquida," 0,0%",ITUB4.SA
29,2023,"41,06%",ITUB4.SA
30,P/Cap. Giro, -,ITUB4.SA
31,EBIT / Ativo,"0,0%",ITUB4.SA
32,2022,"23,29%",ITUB4.SA
33,P/Ativ Circ Liq, -,ITUB4.SA
34,ROIC, -,ITUB4.SA
35,2021,"-17,37%",ITUB4.SA
36,Div. Yield,"6,9%",ITUB4.SA
37,ROE," 19,4%",ITUB4.SA
38,2020,"-11,75%",ITUB4.SA
39,EV / EBITDA, -,ITUB4.SA
40,Liquidez Corr, -,ITUB4.SA
41,2019,"7,41%",ITUB4.SA
42,EV / EBIT, -,ITUB4.SA
43,Div Br/ Patrim, -,ITUB4.SA
44,,,ITUB4.SA
45,Cres. Rec (5a)," 39,3%",ITUB4.SA
46,Giro Ativos, -,ITUB4.SA
47,Ativo,404.740.000.000,ITUB4.SA
48,Depósitos,84.829.000.000,ITUB4.SA
49,Cart. de Crédito,141.552.000.000,ITUB4.SA
50,Patrim. Líq,177.342.000.000,ITUB4.SA
51,Result Int Financ,2.423.000.000,ITUB4.SA
52,Rec Serviços,2.779.000.000,ITUB4.SA
53,Lucro Líquido,8.811.000.000,ITUB4.SA
