,0,1,Ticker
0,Papel,LEVE3,LEVE3.sa
1,Cotação,"32,85",LEVE3.sa
2,Tipo,ON,LEVE3.sa
3,Data últ cot,24/07/2024,LEVE3.sa
4,Empresa,MAHLE METAL LEVE ON,LEVE3.sa
5,Min 52 sem,"28,39",LEVE3.sa
6,Setor,Automóveis e Motocicletas,LEVE3.sa
7,Max 52 sem,"41,45",LEVE3.sa
8,Subsetor,Automóveis e Motocicletas,LEVE3.sa
9,Vol $ méd (2m),11.533.600,LEVE3.sa
10,Valor de mercado,4.452.460.000,LEVE3.sa
11,Últ balanço processado,31/03/2024,LEVE3.sa
12,Valor da firma,4.942.810.000,LEVE3.sa
13,Nro. Ações,135.539.000,LEVE3.sa
14,Dia," -0,61%",LEVE3.sa
15,P/L,"5,84",LEVE3.sa
16,LPA,"5,63",LEVE3.sa
17,Mês,"1,58%",LEVE3.sa
18,P/VP,"4,02",LEVE3.sa
19,VPA,"8,17",LEVE3.sa
20,30 dias,"5,93%",LEVE3.sa
21,P/EBIT," 5,50",LEVE3.sa
22,Marg. Bruta," 29,3%",LEVE3.sa
23,12 meses,"-8,42%",LEVE3.sa
24,PSR," 1,03",LEVE3.sa
25,Marg. EBIT," 18,7%",LEVE3.sa
26,2024,"-2,25%",LEVE3.sa
27,P/Ativos," 1,43",LEVE3.sa
28,Marg. Líquida," 17,6%",LEVE3.sa
29,2023,"58,91%",LEVE3.sa
30,P/Cap. Giro," 5,58",LEVE3.sa
31,EBIT / Ativo,"26,0%",LEVE3.sa
32,2022,"17,51%",LEVE3.sa
33,P/Ativ Circ Liq," -104,45",LEVE3.sa
34,ROIC," 35,3%",LEVE3.sa
35,2021,"52,24%",LEVE3.sa
36,Div. Yield,"23,4%",LEVE3.sa
37,ROE," 68,8%",LEVE3.sa
38,2020,"-26,99%",LEVE3.sa
39,EV / EBITDA," 5,42",LEVE3.sa
40,Liquidez Corr," 1,68",LEVE3.sa
41,2019,"20,30%",LEVE3.sa
42,EV / EBIT," 6,10",LEVE3.sa
43,Div Br/ Patrim," 0,82",LEVE3.sa
44,,,LEVE3.sa
45,Cres. Rec (5a)," 17,5%",LEVE3.sa
46,Giro Ativos," 1,39",LEVE3.sa
47,Ativo,3.120.540.000,LEVE3.sa
48,Dív. Bruta,905.058.000,LEVE3.sa
49,Disponibilidades,414.705.000,LEVE3.sa
50,Dív. Líquida,490.353.000,LEVE3.sa
51,Ativo Circulante,1.968.060.000,LEVE3.sa
52,Patrim. Líq,1.107.580.000,LEVE3.sa
53,Receita Líquida,1.020.710.000,LEVE3.sa
54,EBIT,211.451.000,LEVE3.sa
55,Lucro Líquido,200.336.000,LEVE3.sa
