,0,1,Ticker
0,Papel,MTRE3,MTRE3.SA
1,Cotação,"3,97",MTRE3.SA
2,Tipo,ON NM,MTRE3.SA
3,Data últ cot,24/07/2024,MTRE3.SA
4,Empresa,MITRE REALTY ON NM,MTRE3.SA
5,Min 52 sem,"3,34",MTRE3.SA
6,Setor,Construção Civil,MTRE3.SA
7,Max 52 sem,"6,78",MTRE3.SA
8,Subsetor,Incorporações,MTRE3.SA
9,Vol $ méd (2m),3.552.210,MTRE3.SA
10,Valor de mercado,419.927.000,MTRE3.SA
11,Últ balanço processado,31/03/2024,MTRE3.SA
12,Valor da firma,822.048.000,MTRE3.SA
13,Nro. Ações,105.775.000,MTRE3.SA
14,Dia," 0,25%",MTRE3.SA
15,P/L,"5,79",MTRE3.SA
16,LPA,"0,69",MTRE3.SA
17,Mês,"14,53%",MTRE3.SA
18,P/VP,"0,43",MTRE3.SA
19,VPA,"9,23",MTRE3.SA
20,30 dias,"18,96%",MTRE3.SA
21,P/EBIT," 14,45",MTRE3.SA
22,Marg. Bruta," 19,6%",MTRE3.SA
23,12 meses,"-36,79%",MTRE3.SA
24,PSR," 0,43",MTRE3.SA
25,Marg. EBIT," 3,0%",MTRE3.SA
26,2024,"-33,70%",MTRE3.SA
27,P/Ativos," 0,20",MTRE3.SA
28,Marg. Líquida," 8,0%",MTRE3.SA
29,2023,"94,94%",MTRE3.SA
30,P/Cap. Giro," 0,43",MTRE3.SA
31,EBIT / Ativo,"1,4%",MTRE3.SA
32,2022,"-53,54%",MTRE3.SA
33,P/Ativ Circ Liq," 0,76",MTRE3.SA
34,ROIC," 1,6%",MTRE3.SA
35,2021,"-47,88%",MTRE3.SA
36,Div. Yield,"15,5%",MTRE3.SA
37,ROE," 7,4%",MTRE3.SA
38,2020,"-18,22%",MTRE3.SA
39,EV / EBITDA," 19,79",MTRE3.SA
40,Liquidez Corr," 2,61",MTRE3.SA
41,2019,"0,00%",MTRE3.SA
42,EV / EBIT," 28,28",MTRE3.SA
43,Div Br/ Patrim," 0,60",MTRE3.SA
44,,,MTRE3.SA
45,Cres. Rec (5a)," 33,3%",MTRE3.SA
46,Giro Ativos," 0,48",MTRE3.SA
47,Ativo,2.059.210.000,MTRE3.SA
48,Dív. Bruta,590.950.000,MTRE3.SA
49,Disponibilidades,188.829.000,MTRE3.SA
50,Dív. Líquida,402.121.000,MTRE3.SA
51,Ativo Circulante,1.600.990.000,MTRE3.SA
52,Patrim. Líq,976.796.000,MTRE3.SA
53,Receita Líquida,245.573.000,MTRE3.SA
54,EBIT,11.693.000,MTRE3.SA
55,Lucro Líquido,1.065.000,MTRE3.SA
