,0,1,Ticker
0,Papel,PETR3,PETR3.SA
1,Cotação,"40,90",PETR3.SA
2,Tipo,ON,PETR3.SA
3,Data últ cot,24/07/2024,PETR3.SA
4,Empresa,PETROBRAS ON,PETR3.SA
5,Min 52 sem,"27,81",PETR3.SA
6,Setor,"Petróleo, Gás e Biocombustíveis",PETR3.SA
7,Max 52 sem,"43,39",PETR3.SA
8,Subsetor,"Exploração, Refino e Distribuição",PETR3.SA
9,Vol $ méd (2m),399.334.000,PETR3.SA
10,Valor de mercado,533.520.000.000,PETR3.SA
11,Últ balanço processado,31/03/2024,PETR3.SA
12,Valor da firma,760.714.000.000,PETR3.SA
13,Nro. Ações,13.044.500.000,PETR3.SA
14,Dia," 1,01%",PETR3.SA
15,P/L,"4,84",PETR3.SA
16,LPA,"8,44",PETR3.SA
17,Mês,"1,29%",PETR3.SA
18,P/VP,"1,31",PETR3.SA
19,VPA,"31,25",PETR3.SA
20,30 dias,"6,76%",PETR3.SA
21,P/EBIT," 2,39",PETR3.SA
22,Marg. Bruta," 52,4%",PETR3.SA
23,12 meses,"43,60%",PETR3.SA
24,PSR," 1,09",PETR3.SA
25,Marg. EBIT," 45,6%",PETR3.SA
26,2024,"14,87%",PETR3.SA
27,P/Ativos," 0,50",PETR3.SA
28,Marg. Líquida," 22,6%",PETR3.SA
29,2023,"73,76%",PETR3.SA
30,P/Cap. Giro," 44,14",PETR3.SA
31,EBIT / Ativo,"20,9%",PETR3.SA
32,2022,"47,72%",PETR3.SA
33,P/Ativ Circ Liq," -1,09",PETR3.SA
34,ROIC," 23,3%",PETR3.SA
35,2021,"29,60%",PETR3.SA
36,Div. Yield,"15,7%",PETR3.SA
37,ROE," 27,0%",PETR3.SA
38,2020,"-8,93%",PETR3.SA
39,EV / EBITDA," 2,55",PETR3.SA
40,Liquidez Corr," 1,08",PETR3.SA
41,2019,"21,81%",PETR3.SA
42,EV / EBIT," 3,40",PETR3.SA
43,Div Br/ Patrim," 0,76",PETR3.SA
44,,,PETR3.SA
45,Cres. Rec (5a)," 19,9%",PETR3.SA
46,Giro Ativos," 0,46",PETR3.SA
47,Ativo,1.067.290.000.000,PETR3.SA
48,Dív. Bruta,308.955.000.000,PETR3.SA
49,Disponibilidades,81.761.000.000,PETR3.SA
50,Dív. Líquida,227.194.000.000,PETR3.SA
51,Ativo Circulante,165.964.000.000,PETR3.SA
52,Patrim. Líq,407.636.000.000,PETR3.SA
53,Receita Líquida,117.721.000.000,PETR3.SA
54,EBIT,51.879.000.000,PETR3.SA
55,Lucro Líquido,23.700.000.000,PETR3.SA
