,0,1,Ticker
0,Papel,SBSP3,SBSP3.SA
1,Cotação,"89,20",SBSP3.SA
2,Tipo,ON NM,SBSP3.SA
3,Data últ cot,24/07/2024,SBSP3.SA
4,Empresa,SABESP ON NM,SBSP3.SA
5,Min 52 sem,"52,37",SBSP3.SA
6,Setor,Água e Saneamento,SBSP3.SA
7,Max 52 sem,"89,20",SBSP3.SA
8,Subsetor,Água e Saneamento,SBSP3.SA
9,Vol $ méd (2m),598.778.000,SBSP3.SA
10,Valor de mercado,60.969.100.000,SBSP3.SA
11,Últ balanço processado,31/03/2024,SBSP3.SA
12,Valor da firma,76.801.400.000,SBSP3.SA
13,Nro. Ações,683.510.000,SBSP3.SA
14,Dia," 0,63%",SBSP3.SA
15,P/L,"16,94",SBSP3.SA
16,LPA,"5,27",SBSP3.SA
17,Mês,"18,98%",SBSP3.SA
18,P/VP,"1,99",SBSP3.SA
19,VPA,"44,89",SBSP3.SA
20,30 dias,"19,17%",SBSP3.SA
21,P/EBIT," 9,29",SBSP3.SA
22,Marg. Bruta," 38,1%",SBSP3.SA
23,12 meses,"63,93%",SBSP3.SA
24,PSR," 2,31",SBSP3.SA
25,Marg. EBIT," 24,8%",SBSP3.SA
26,2024,"20,13%",SBSP3.SA
27,P/Ativos," 0,94",SBSP3.SA
28,Marg. Líquida," 13,6%",SBSP3.SA
29,2023,"35,04%",SBSP3.SA
30,P/Cap. Giro," 31,07",SBSP3.SA
31,EBIT / Ativo,"10,1%",SBSP3.SA
32,2022,"44,78%",SBSP3.SA
33,P/Ativ Circ Liq," -2,57",SBSP3.SA
34,ROIC," 11,2%",SBSP3.SA
35,2021,"-8,87%",SBSP3.SA
36,Div. Yield,"1,6%",SBSP3.SA
37,ROE," 11,7%",SBSP3.SA
38,2020,"-24,69%",SBSP3.SA
39,EV / EBITDA," 8,11",SBSP3.SA
40,Liquidez Corr," 1,23",SBSP3.SA
41,2019,"79,92%",SBSP3.SA
42,EV / EBIT," 11,71",SBSP3.SA
43,Div Br/ Patrim," 0,72",SBSP3.SA
44,,,SBSP3.SA
45,Cres. Rec (5a)," 10,2%",SBSP3.SA
46,Giro Ativos," 0,41",SBSP3.SA
47,Ativo,65.045.700.000,SBSP3.SA
48,Dív. Bruta,22.024.300.000,SBSP3.SA
49,Disponibilidades,6.191.980.000,SBSP3.SA
50,Dív. Líquida,15.832.300.000,SBSP3.SA
51,Ativo Circulante,10.619.700.000,SBSP3.SA
52,Patrim. Líq,30.680.700.000,SBSP3.SA
53,Receita Líquida,6.560.250.000,SBSP3.SA
54,EBIT,1.646.080.000,SBSP3.SA
55,Lucro Líquido,823.295.000,SBSP3.SA
