Date,Dividends
2019-08-19 00:00:00-03:00,0.04
2019-11-12 00:00:00-03:00,0.02
2020-03-02 00:00:00-03:00,0.02
2020-11-09 00:00:00-03:00,0.07
2020-12-22 00:00:00-03:00,0.09
2021-03-12 00:00:00-03:00,0.08
2021-05-17 00:00:00-03:00,0.21
2021-08-17 00:00:00-03:00,0.28
2021-09-28 00:00:00-03:00,0.2
2021-11-08 00:00:00-03:00,1.55
2022-03-08 00:00:00-03:00,0.1
2022-05-17 00:00:00-03:00,0.29
2022-08-16 00:00:00-03:00,0.36
2022-11-22 00:00:00-03:00,0.5
2023-03-15 00:00:00-03:00,0.1
2023-05-16 00:00:00-03:00,0.3
2023-08-21 00:00:00-03:00,0.26
2023-11-20 00:00:00-03:00,0.93
2024-03-04 00:00:00-03:00,0.05
2024-05-16 00:00:00-03:00,0.19
