,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,13552400.0,13552400.0,13552400.0,5524457.158974,
Tax Rate For Calcs,0.34,0.34,0.34,0.125436,
Total Unusual Items,39860000.0,39860000.0,39860000.0,44042000.0,
Total Unusual Items Excluding Goodwill,39860000.0,39860000.0,39860000.0,44042000.0,
Net Income From Continuing Operation Net Minority Interest,267921000.0,60342000.0,169662000.0,313677000.0,
Reconciled Depreciation,123144000.0,90773000.0,104476000.0,59259000.0,
Net Interest Income,2876008000.0,2617495000.0,2790461000.0,2905726000.0,
Interest Expense,4752834000.0,3699905000.0,1881423000.0,1120215000.0,
Interest Income,7628842000.0,6317400000.0,4671884000.0,4025941000.0,
Normalized Income,241613400.0,34034400.0,143354400.0,275159457.158974,
Net Income From Continuing And Discontinued Operation,267921000.0,60342000.0,169662000.0,313677000.0,
Diluted Average Shares,583051171.0,583018284.0,583232411.0,587882031.0,
Basic Average Shares,583051171.0,583018284.0,583232411.0,587882031.0,
Diluted EPS,0.4595,0.1035,0.2909,0.5336,
Basic EPS,0.4595,0.1035,0.2909,0.5336,
Diluted NI Availto Com Stockholders,267921000.0,60342000.0,169662000.0,313677000.0,
Net Income Common Stockholders,267921000.0,60342000.0,169662000.0,313677000.0,
Net Income,267921000.0,60342000.0,169662000.0,313677000.0,
Minority Interests,-19309000.0,-5008000.0,-2499000.0,3596000.0,
Net Income Including Noncontrolling Interests,287230000.0,65350000.0,172161000.0,310081000.0,
Net Income Continuous Operations,287230000.0,65350000.0,172161000.0,310081000.0,
Tax Provision,-145976000.0,-316404000.0,-231347000.0,44474000.0,
Pretax Income,141254000.0,-251054000.0,-59186000.0,354555000.0,
Other Non Operating Income Expenses,116840000.0,37512000.0,65097000.0,1046000.0,
Special Income Charges,39860000.0,39860000.0,39860000.0,44042000.0,
Other Special Charges,-39860000.0,-39860000.0,-39860000.0,-44042000.0,
Gain On Sale Of Security,,,39860000.0,44042000.0,116525000.0
Operating Expense,2703797000.0,2598219000.0,2414688000.0,2175946000.0,
Other Operating Expenses,1027782000.0,1028342000.0,1012995000.0,799146000.0,
Depreciation And Amortization In Income Statement,123144000.0,90773000.0,104476000.0,200586000.0,
Depreciation Income Statement,123144000.0,90773000.0,104476000.0,200586000.0,
Selling General And Administration,1167481000.0,1087102000.0,975399000.0,1376800000.0,
Selling And Marketing Expense,104796000.0,159412000.0,148008000.0,138692000.0,
General And Administrative Expense,1062685000.0,927690000.0,827391000.0,1376800000.0,
Insurance And Claims,10639000.0,6663000.0,7283000.0,3863000.0,
Rent And Landing Fees,32663000.0,30335000.0,33336000.0,28142000.0,
Total Revenue,2484777000.0,2061771000.0,2027396000.0,2363754000.0,
Operating Revenue,2484777000.0,2061771000.0,2027396000.0,2363754000.0,
