,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,142151146.071026,269129905.265936,-41822422.527964,-39246389.334425,
Tax Rate For Calcs,0.30982,0.287013,0.266302,0.227283,
Normalized EBITDA,12019466000.0,10328384000.0,9398909000.0,7429732000.0,
Total Unusual Items,458818000.0,937692000.0,-157049000.0,-172676000.0,
Total Unusual Items Excluding Goodwill,458818000.0,937692000.0,-157049000.0,-172676000.0,
Net Income From Continuing Operation Net Minority Interest,5527101000.0,5099586000.0,4748049000.0,3643149000.0,
Reconciled Depreciation,2249618000.0,2031445000.0,1751415000.0,1665999000.0,
Reconciled Cost Of Revenue,26101100000.0,27517742000.0,29952666000.0,23977369000.0,
EBITDA,12478284000.0,11266076000.0,9241860000.0,7257056000.0,
EBIT,10228666000.0,9234631000.0,7490445000.0,5591057000.0,
Net Interest Income,-1923143000.0,-1439136000.0,-496838000.0,-513203000.0,
Interest Expense,2205884000.0,1914983000.0,874987000.0,793716000.0,
Interest Income,321666000.0,340072000.0,334457000.0,302902000.0,
Normalized Income,5210434146.071026,4431023905.265936,4863275577.472036,3776578610.665575,
Net Income From Continuing And Discontinued Operation,5527101000.0,5099586000.0,4748049000.0,3643149000.0,
Total Expenses,29146858000.0,29914657000.0,32117255000.0,26047329000.0,
Rent Expense Supplemental,74080000.0,66512000.0,89892000.0,82768000.0,
Diluted Average Shares,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Basic Average Shares,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Diluted EPS,4.8,4.43,4.12,3.16,
Basic EPS,4.8,4.43,4.12,3.16,
Diluted NI Availto Com Stockholders,5527101000.0,5099586000.0,4748049000.0,3643149000.0,
Average Dilution Earnings,,,,,-13764000.0
Net Income Common Stockholders,5527101000.0,5099586000.0,4748049000.0,3643149000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5527101000.0,5099586000.0,4748049000.0,3643149000.0,
Minority Interests,-10061000.0,-119227000.0,-105703000.0,-63837000.0,
Net Income Including Noncontrolling Interests,5537162000.0,5218813000.0,4853751000.0,3706986000.0,
Net Income Continuous Operations,5537161000.0,5218813000.0,4853750000.0,3706985000.0,
Tax Provision,2485621000.0,2100835000.0,1761708000.0,1090356000.0,
Pretax Income,8022782000.0,7319648000.0,6615458000.0,4797341000.0,
Other Income Expense,,,,,-135665000.0
Special Income Charges,-163736000.0,-177994000.0,-157049000.0,-172676000.0,
Gain On Sale Of Ppe,,,,,-189566000.0
Other Special Charges,163736000.0,177994000.0,157049000.0,172676000.0,
Restructuring And Mergern Acquisition,,0.0,0.0,,
Earnings From Equity Interest,,,,,349090000.0
Gain On Sale Of Security,,,,,-295189000.0
Net Non Operating Interest Income Expense,-1923143000.0,-1439136000.0,-496838000.0,-513203000.0,
Total Other Finance Cost,38925000.0,-135775000.0,-43692000.0,22389000.0,
Interest Expense Non Operating,2205884000.0,1914983000.0,874987000.0,793716000.0,
Interest Income Non Operating,321666000.0,340072000.0,334457000.0,302902000.0,
Operating Income,10596333000.0,9439580000.0,7093568000.0,4851130000.0,
Operating Expense,3045758000.0,2396915000.0,2164589000.0,2069960000.0,
Other Operating Expenses,496715000.0,157125000.0,326737000.0,261934000.0,
Depreciation Amortization Depletion Income Statement,,,,,397570000.0
Depreciation And Amortization In Income Statement,528649000.0,469577000.0,416334000.0,392950000.0,
Amortization,355352000.0,318331000.0,298193000.0,287725000.0,
Amortization Of Intangibles Income Statement,,,,,288438000.0
Depreciation Income Statement,173297000.0,151246000.0,118141000.0,105225000.0,
Selling General And Administration,1328023000.0,1205190000.0,885205000.0,868916000.0,
Selling And Marketing Expense,347711000.0,322204000.0,296560000.0,301945000.0,
General And Administrative Expense,980312000.0,882986000.0,588645000.0,566971000.0,
Other Gand A,,,,,533913000.0
Rent And Landing Fees,-14921000.0,1620000.0,20149000.0,20626000.0,
Salaries And Wages,,,,,361787000.0
Gross Profit,13642091000.0,11836495000.0,9258157000.0,6921090000.0,
Cost Of Revenue,26101100000.0,27517742000.0,29952666000.0,23977369000.0,
Total Revenue,39743191000.0,39354237000.0,39210823000.0,30898459000.0,
Excise Taxes,,,,,10806279000.0
Operating Revenue,39743191000.0,39354237000.0,39210823000.0,30898459000.0,
