,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-529790327.455919,-214691557.202812,-524619355.449788,0.0,
Tax Rate For Calcs,0.146675,0.175833,0.327887,0.34,
Total Unusual Items,-3612000000.0,-1221000000.0,-1600000000.0,-7964000000.0,
Total Unusual Items Excluding Goodwill,-3612000000.0,-1221000000.0,-1600000000.0,-7964000000.0,
Net Income From Continuing Operation Net Minority Interest,33105000000.0,29207000000.0,26760000000.0,18896000000.0,
Reconciled Depreciation,5652000000.0,4796000000.0,4233000000.0,3729000000.0,
Net Interest Income,64135000000.0,72418000000.0,59948000000.0,40811000000.0,
Interest Expense,158250000000.0,116747000000.0,69305000000.0,73558000000.0,
Interest Income,222385000000.0,189165000000.0,129253000000.0,114369000000.0,
Normalized Income,36187209672.54408,30213308442.797188,27835380644.550213,18896000000.0,
Net Income From Continuing And Discontinued Operation,33105000000.0,29207000000.0,26760000000.0,18896000000.0,
Diluted Average Shares,9866573720.0,9858759659.0,9831332473.0,9801524194.0,
Basic Average Shares,9799174221.0,9798994231.0,9777031938.0,9759614520.0,
Diluted EPS,3.36,3.01,2.72,1.93,
Basic EPS,3.38,3.03,2.72,1.94,
Diluted NI Availto Com Stockholders,33105000000.0,29207000000.0,26760000000.0,18896000000.0,
Net Income Common Stockholders,33105000000.0,29207000000.0,26760000000.0,18896000000.0,
Net Income,33105000000.0,29207000000.0,26760000000.0,18896000000.0,
Minority Interests,-772000000.0,-1035000000.0,-1624000000.0,3832000000.0,
Net Income Including Noncontrolling Interests,33877000000.0,30242000000.0,28384000000.0,15064000000.0,
Net Income Continuous Operations,33877000000.0,30242000000.0,28384000000.0,15064000000.0,
Tax Provision,5823000000.0,6452000000.0,13847000000.0,-9834000000.0,
Pretax Income,39700000000.0,36694000000.0,42231000000.0,5230000000.0,
Other Non Operating Income Expenses,,,,-3487000000.0,-2267000000.0
Special Income Charges,-2017000000.0,-1088000000.0,-1481000000.0,-7281000000.0,
Other Special Charges,1679000000.0,1072000000.0,1041000000.0,1080000000.0,
Write Off,338000000.0,16000000.0,440000000.0,6201000000.0,
Impairment Of Capital Assets,,,440000000.0,6201000000.0,233000000.0
Gain On Sale Of Security,30263000000.0,13738000000.0,17900000000.0,6379000000.0,
Depreciation Amortization Depletion Income Statement,6529000000.0,5750000000.0,5548000000.0,5064000000.0,
Depreciation And Amortization In Income Statement,6529000000.0,5750000000.0,5548000000.0,5064000000.0,
Selling General And Administration,51930000000.0,50285000000.0,46963000000.0,65561000000.0,
Selling And Marketing Expense,1996000000.0,2003000000.0,1389000000.0,1095000000.0,
General And Administrative Expense,49934000000.0,48282000000.0,45574000000.0,65561000000.0,
Other Gand A,16527000000.0,15822000000.0,14691000000.0,64207000000.0,
Insurance And Claims,1007000000.0,1143000000.0,2638000000.0,1354000000.0,
Salaries And Wages,32400000000.0,31317000000.0,28245000000.0,25158000000.0,
Total Revenue,148380000000.0,136376000000.0,122185000000.0,100025000000.0,
Operating Revenue,148380000000.0,136376000000.0,122185000000.0,100025000000.0,
