,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,8937800.0,5505877.0,-10249056.0,-49411860.0,
Tax Rate For Calcs,0.23,0.247,0.228,0.34,
Normalized EBITDA,1033062000.0,802789000.0,876734000.0,384033000.0,
Total Unusual Items,38860000.0,22291000.0,-44952000.0,-145329000.0,
Total Unusual Items Excluding Goodwill,38860000.0,22291000.0,-44952000.0,-145329000.0,
Net Income From Continuing Operation Net Minority Interest,748245000.0,565240000.0,566858000.0,124527000.0,
Reconciled Depreciation,101581000.0,95880000.0,100404000.0,102961000.0,
Reconciled Cost Of Revenue,3067263000.0,3090874000.0,2620791000.0,1775649000.0,
EBITDA,1071922000.0,825080000.0,831782000.0,238704000.0,
EBIT,970341000.0,729200000.0,731378000.0,135743000.0,
Net Interest Income,75450000.0,30857000.0,-9050000.0,-40794000.0,
Interest Expense,32420000.0,17319000.0,17683000.0,28123000.0,
Interest Income,107383000.0,76050000.0,39621000.0,17499000.0,
Normalized Income,718322800.0,548454877.0,601560944.0,220444140.0,
Net Income From Continuing And Discontinued Operation,748245000.0,565240000.0,566858000.0,124527000.0,
Total Expenses,3528106000.0,3508374000.0,2851536000.0,2110754000.0,
Diluted Average Shares,129695171.0,128308500.0,130249000.0,130249000.0,
Basic Average Shares,129695171.0,128308500.0,130249000.0,130249000.0,
Diluted EPS,5.7693,4.4053,4.35208,0.956041,
Basic EPS,5.7693,4.4053,4.35208,0.956041,
Diluted NI Availto Com Stockholders,748245000.0,565240000.0,566858000.0,124527000.0,
Net Income Common Stockholders,748245000.0,565240000.0,566858000.0,124527000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,748245000.0,565240000.0,566858000.0,124527000.0,
Minority Interests,467000.0,2880000.0,238000.0,2309000.0,
Net Income Including Noncontrolling Interests,747778000.0,562360000.0,566620000.0,122218000.0,
Net Income Continuous Operations,747778000.0,562360000.0,566620000.0,122218000.0,
Tax Provision,190143000.0,149521000.0,147075000.0,-14598000.0,
Pretax Income,937921000.0,711881000.0,713695000.0,107620000.0,
Other Non Operating Income Expenses,,,,,-8035000.0
Special Income Charges,8347000.0,3697000.0,-43084000.0,-99439000.0,
Other Special Charges,-7747000.0,-2539000.0,48878000.0,99001000.0,
Write Off,-600000.0,-1158000.0,-5027000.0,-856000.0,
Restructuring And Mergern Acquisition,,0.0,-767000.0,1294000.0,0.0
Net Non Operating Interest Income Expense,75450000.0,30857000.0,-9050000.0,-40794000.0,
Total Other Finance Cost,-487000.0,27874000.0,30988000.0,30170000.0,
Interest Expense Non Operating,32420000.0,17319000.0,17683000.0,28123000.0,
Interest Income Non Operating,107383000.0,76050000.0,39621000.0,17499000.0,
Operating Income,810719000.0,715656000.0,763560000.0,291824000.0,
Operating Expense,460843000.0,417500000.0,230745000.0,335105000.0,
Other Operating Expenses,-25135000.0,-23441000.0,-139579000.0,30467000.0,
Depreciation And Amortization In Income Statement,5536000.0,4793000.0,3754000.0,3792000.0,
Depreciation Income Statement,5536000.0,4793000.0,3754000.0,3792000.0,
Research And Development,58152000.0,44192000.0,51518000.0,64089000.0,
Selling General And Administration,302707000.0,287912000.0,225299000.0,155729000.0,
Selling And Marketing Expense,206596000.0,214550000.0,164003000.0,102519000.0,
General And Administrative Expense,96111000.0,73362000.0,61296000.0,53210000.0,
Gross Profit,1271562000.0,1133156000.0,994305000.0,626929000.0,
Cost Of Revenue,3067263000.0,3090874000.0,2620791000.0,1775649000.0,
Total Revenue,4338825000.0,4224030000.0,3615096000.0,2402578000.0,
Operating Revenue,4338825000.0,4224030000.0,3615096000.0,2402578000.0,
