,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,177152040.0,245551500.0,53755920.0,-567761670.0
Tax Rate For Calcs,0.26,0.27,0.27,0.27
Normalized EBITDA,8274114000.0,7032130000.0,5959241000.0,6217896000.0
Total Unusual Items,681354000.0,909450000.0,199096000.0,-2102821000.0
Total Unusual Items Excluding Goodwill,681354000.0,909450000.0,199096000.0,-2102821000.0
Net Income From Continuing Operation Net Minority Interest,3523531000.0,3121267000.0,2305869000.0,973318000.0
Reconciled Depreciation,2790586000.0,2450849000.0,2253322000.0,2037112000.0
Reconciled Cost Of Revenue,13399855000.0,12024797000.0,10650897000.0,9238207000.0
EBITDA,8955468000.0,7941580000.0,6158337000.0,4115075000.0
EBIT,6164882000.0,5490731000.0,3905015000.0,2077963000.0
Net Interest Income,-2273350000.0,-1281864000.0,-1126519000.0,-1063550000.0
Interest Expense,1410898000.0,1217981000.0,734859000.0,751961000.0
Interest Income,256116000.0,195274000.0,145866000.0,162576000.0
Normalized Income,3019329040.0,2457368500.0,2160528920.0,2508377330.0
Net Income From Continuing And Discontinued Operation,3523531000.0,3121267000.0,2305869000.0,973318000.0
Total Expenses,19258469000.0,17435107000.0,15415561000.0,13319304000.0
Total Operating Income As Reported,6345980000.0,4645164000.0,4097579000.0,4492373000.0
Diluted Average Shares,683509869.0,683509869.0,683509869.0,683509869.0
Basic Average Shares,683509869.0,683509869.0,683509869.0,683509869.0
Diluted EPS,5.16,4.57,3.37,1.42
Basic EPS,5.16,4.57,3.37,1.42
Diluted NI Availto Com Stockholders,3523531000.0,3121267000.0,2305869000.0,973318000.0
Net Income Common Stockholders,3523531000.0,3121267000.0,2305869000.0,973318000.0
Net Income,3523531000.0,3121267000.0,2305869000.0,973318000.0
Net Income Including Noncontrolling Interests,3523531000.0,3121267000.0,2305869000.0,973318000.0
Net Income Continuous Operations,3523531000.0,3121267000.0,2305869000.0,973318000.0
Tax Provision,1230453000.0,1151483000.0,864287000.0,352684000.0
Pretax Income,4753984000.0,4272750000.0,3170156000.0,1326002000.0
Other Income Expense,713747000.0,934001000.0,221175000.0,-2088685000.0
Earnings From Equity Interest,32393000.0,24551000.0,22079000.0,14136000.0
Gain On Sale Of Security,681354000.0,909450000.0,199096000.0,-2102821000.0
Net Non Operating Interest Income Expense,-2273350000.0,-1281864000.0,-1126519000.0,-1063550000.0
Total Other Finance Cost,1118568000.0,259157000.0,537526000.0,474165000.0
Interest Expense Non Operating,1410898000.0,1217981000.0,734859000.0,751961000.0
Interest Income Non Operating,256116000.0,195274000.0,145866000.0,162576000.0
Operating Income,6313587000.0,4620613000.0,4075500000.0,4478237000.0
Operating Expense,3206603000.0,3084204000.0,2615519000.0,2139637000.0
Other Operating Expenses,-27925000.0,-8327000.0,21841000.0,-107656000.0
Other Taxes,90021000.0,80053000.0,75876000.0,77416000.0
Provision For Doubtful Accounts,652920000.0,782057000.0,643730000.0,444826000.0
Depreciation Amortization Depletion Income Statement,138575000.0,124743000.0,104177000.0,95652000.0
Depreciation And Amortization In Income Statement,138575000.0,124743000.0,104177000.0,95652000.0
Selling General And Administration,2353012000.0,2105678000.0,1769895000.0,1629399000.0
Selling And Marketing Expense,984060000.0,911967000.0,825879000.0,751286000.0
General And Administrative Expense,1368952000.0,1193711000.0,944016000.0,878113000.0
Other Gand A,822756000.0,824479000.0,621289000.0,503343000.0
Salaries And Wages,546196000.0,369232000.0,322727000.0,374770000.0
Gross Profit,9520190000.0,7704817000.0,6691019000.0,6617874000.0
Cost Of Revenue,16051866000.0,14350903000.0,12800042000.0,11179667000.0
Total Revenue,25572056000.0,22055720000.0,19491061000.0,17797541000.0
Excise Taxes,1541718000.0,1437991000.0,1189884000.0,1076855000.0
Operating Revenue,27113774000.0,23493711000.0,20680945000.0,18874396000.0
