,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-568659000.0,247821141.499419,240407027.521072,-882841201.716738,
Tax Rate For Calcs,0.273,0.150195,0.158999,0.10515,
Normalized EBITDA,17643000000.0,22247000000.0,32616000000.0,20958000000.0,
Total Unusual Items,-2083000000.0,1650000000.0,1512000000.0,-8396000000.0,
Total Unusual Items Excluding Goodwill,-2083000000.0,1650000000.0,1512000000.0,-8396000000.0,
Net Income From Continuing Operation Net Minority Interest,7983000000.0,16728000000.0,24821000000.0,6605000000.0,
Reconciled Depreciation,3070000000.0,3171000000.0,3034000000.0,3215000000.0,
Reconciled Cost Of Revenue,21066000000.0,20898000000.0,18737000000.0,14398000000.0,
EBITDA,15560000000.0,23897000000.0,34128000000.0,12562000000.0,
EBIT,12490000000.0,20726000000.0,31094000000.0,9347000000.0,
Net Interest Income,-1515000000.0,41000000.0,-1542000000.0,-3183000000.0,
Interest Expense,1339000000.0,945000000.0,1553000000.0,2357000000.0,
Interest Income,,659000000.0,,,247000000.0
Normalized Income,9497341000.0,15325821141.499418,23549407027.521072,14118158798.283262,
Net Income From Continuing And Discontinued Operation,7983000000.0,18788000000.0,22445000000.0,4881000000.0,
Total Expenses,25927000000.0,26054000000.0,23660000000.0,19956000000.0,
Total Operating Income As Reported,14205000000.0,17208000000.0,27693000000.0,12823000000.0,
Diluted Average Shares,4369961000.0,4642432000.0,5016848000.0,5129585000.0,
Basic Average Shares,4366130000.0,4637794000.0,5012424000.0,5129585000.0,
Diluted EPS,1.83,4.05,4.47,0.95,
Basic EPS,1.83,4.05,4.47,0.95,
Diluted NI Availto Com Stockholders,7983000000.0,18788000000.0,22445000000.0,4881000000.0,
Net Income Common Stockholders,7983000000.0,18788000000.0,22445000000.0,4881000000.0,
Net Income,7983000000.0,18788000000.0,22445000000.0,4881000000.0,
Minority Interests,-122000000.0,-82000000.0,-23000000.0,350000000.0,
Net Income Including Noncontrolling Interests,8105000000.0,18870000000.0,22468000000.0,4531000000.0,
Net Income Discontinuous Operations,0.0,2060000000.0,-2376000000.0,-1724000000.0,
Net Income Continuous Operations,8105000000.0,16810000000.0,24844000000.0,6255000000.0,
Tax Provision,3046000000.0,2971000000.0,4697000000.0,735000000.0,
Pretax Income,11151000000.0,19781000000.0,29541000000.0,6990000000.0,
Other Income Expense,-3191000000.0,1955000000.0,241000000.0,-9416000000.0,
Other Non Operating Income Expenses,,,,-115000000.0,-89000000.0
Special Income Charges,-1652000000.0,-577000000.0,-3149000000.0,-6766000000.0,
Gain On Sale Of Ppe,-74000000.0,-46000000.0,-5000000.0,-19000000.0,
Other Special Charges,1312000000.0,1304000000.0,2718000000.0,5439000000.0,
Impairment Of Capital Assets,266000000.0,-773000000.0,426000000.0,1308000000.0,
Earnings From Equity Interest,-1108000000.0,305000000.0,-1271000000.0,-1020000000.0,
Gain On Sale Of Security,-431000000.0,2227000000.0,4661000000.0,-1630000000.0,
Net Non Operating Interest Income Expense,-1515000000.0,41000000.0,-1542000000.0,-3183000000.0,
Total Other Finance Cost,176000000.0,-327000000.0,-11000000.0,826000000.0,
Interest Expense Non Operating,1339000000.0,945000000.0,1553000000.0,2357000000.0,
Interest Income Non Operating,,659000000.0,,,247000000.0
Operating Income,15857000000.0,17785000000.0,30842000000.0,19589000000.0,
Operating Expense,1838000000.0,2026000000.0,1931000000.0,2392000000.0,
Other Operating Expenses,562000000.0,851000000.0,901000000.0,1486000000.0,
Depreciation Amortization Depletion Income Statement,47000000.0,41000000.0,42000000.0,49000000.0,
Depreciation And Amortization In Income Statement,47000000.0,41000000.0,42000000.0,49000000.0,
Research And Development,723000000.0,660000000.0,549000000.0,415000000.0,
Selling General And Administration,506000000.0,474000000.0,439000000.0,442000000.0,
Selling And Marketing Expense,26000000.0,22000000.0,27000000.0,98000000.0,
General And Administrative Expense,480000000.0,452000000.0,412000000.0,344000000.0,
Other Gand A,237000000.0,222000000.0,195000000.0,176000000.0,
Salaries And Wages,243000000.0,230000000.0,217000000.0,168000000.0,
Gross Profit,17695000000.0,19811000000.0,32773000000.0,21981000000.0,
Cost Of Revenue,24089000000.0,24028000000.0,21729000000.0,17564000000.0,
Total Revenue,41784000000.0,43839000000.0,54502000000.0,39545000000.0,
Operating Revenue,41648000000.0,43314000000.0,53891000000.0,38743000000.0,
