,address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Mr. Andre Gustavo Salcedo Teixeira Mendes', 'age': 46, 'title': 'CEO, Member of Executive Board & Director', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
1,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Ms. Catia Cristina Teixeira Pereira', 'age': 49, 'title': 'Chief Economic, Financial and Investor Relations Officer & Member of Executive Board', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
2,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Ms. Sabrina  De Menezes Correa Furstenau Sabino', 'age': 44, 'title': 'Chief People & Corporate Management Officer and Member of Executive Board', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
3,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': ""Mr. Bruno Magalhaes D'Abadia"", 'age': 37, 'title': 'Chief Regulation & New Business Officer and Member of Executive Board', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
4,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Ms. Paula Alessandra Bonin Costa Violante', 'age': 53, 'title': 'Chief Engineering & Innovation Officer and Member of Executive Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
5,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Mr. Roberval Tavares de Souza', 'age': 52, 'title': 'Chief Operation & Maintenance Officer and Member of Executive Board', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
6,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Mr. Caio Marcelo M. de Medeiros Melo', 'age': 51, 'title': 'Chief Customer Officer & Member of Executive Board', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
7,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Marcelo  Miyagui', 'title': 'Head of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
8,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Mr. Luiz Roberto Tiberio', 'title': 'Head of Capital Markets & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
9,"Rua Costa Carvalho, nº 300",Pinheiros,São Paulo,SP,05429-900,Brazil,https://www.sabesp.com.br,Utilities - Regulated Water,utilities-regulated-water,Utilities - Regulated Water,Utilities,utilities,Utilities,"Companhia de Saneamento Básico do Estado de São Paulo - SABESP provides basic and environmental sanitation services in the São Paulo State, Brazil. The company supplies treated water and sewage services to residential, commercial, and industrial private customers, as well as public. As of December 31, 2023, it provided water services through 10.3 million water connections; and sewage services through 8.8 million sewage connections in 376 municipalities of the São Paulo State. The company was founded in 1954 and is headquartered in São Paulo, Brazil.",10672,"{'maxAge': 1, 'name': 'Marialve  De Sousa Martins', 'title': 'Executive Secretary of the Board', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,4,6,2,1719792000,86400,2,88.64,88.17,86.26,89.2,88.64,88.17,86.26,89.2,1.44,0.0163,1714089600,0.24229999,2.0,0.526,16.925995,12.119565,13400000,13400000,5859272,13019610,13019610,88.55,89.19,60969091072,52.1,89.2,2.3064706,77.96,75.4661,1.44,0.016245488,BRL,76418637824,0.13617,339998314,683510016,0.50258,0.304,693342976,44.887,1.9872122,1703980800,1735603200,1711843200,0.102,3599613952,5.27,7.36,0.76,3:1,1366675200,2.891,8.233,0.57526207,0.21656322,1.4404,1714089600,SAO,EQUITY,SBSP3.SA,SBSP3.SA,SABESP      ON      NM,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,946900800,America/Sao_Paulo,BRT,7acec7b4-ab4e-307e-bad3-a647dbb06363,finmb_880587,-10800000,89.2,140.0,68.0,103.95,103.08,1.9,buy,10,6191982080,9.059,9282093056,22024306688,1.175,1.227,26433933312,71.786,38.674,0.06743,0.12252,3099901184,5856465920,0.102,0.151,0.38059,0.35114,0.25023,BRL,
