column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1975:Q1,14.6931416270543,22.1724332186943,19.8824844065116,38.4986764506148,31.2153110361446,19.2917119371553,6.68526739833666,12.8501907620157,16.7312555713246,9.07269280058011,7.6292679198051,6.33967118231134,37.4453909024799,2.50306389880433,31.039873834534,10.5603245459496,10.0319425926007,14.0133202301481,18.0532671895651,,19.5629600741343
1975:Q2,15.0235697052838,23.4012522008837,20.4673287376508,38.4692846630768,31.9771491099824,20.12573699154,6.90643604953649,13.2063024858822,17.174153462303,9.29661532690035,7.85509738356688,6.70155431559212,38.4732062648427,2.54797620760414,32.2560636643387,11.0980597473937,10.3612064914851,14.4514159568233,19.0372705824019,,20.3076031371498
1975:Q3,15.2824901827343,24.5054463806136,21.3287359736231,38.4748682471851,32.57672427284,20.9324895318055,7.16264395997307,13.5479265229884,17.639210874552,9.77380264515567,8.10667854579947,7.0657313259701,39.6376578851754,2.65769545915615,33.4110930370218,11.6134517154275,10.68315661655,14.9066221013355,19.0197529410303,,20.6749475159861
1975:Q4,15.7398534856875,25.5072862174521,21.7996603679405,38.5178955784485,33.0257718840813,21.707556771721,7.45741976838142,13.9009200143905,18.1325979113409,10.0212085668679,8.38625976538874,7.44486896209037,40.9256654835006,2.85022732851716,34.4907025729698,12.1331410184115,11.0132633157494,15.3785154674974,19.4396537169964,,21.2041692955128
1976:Q1,16.0542997318968,26.4810128816795,22.3606007180215,38.5891976356496,33.3224261219491,22.4995034490699,7.75678422537497,14.2459996679934,18.6420660166596,10.4728046003664,8.69172774968023,7.82905146123929,42.3394833988174,3.12276600897465,35.4817100950799,12.6134718456577,11.3429754745434,15.8724125988798,19.851474059037,,21.7489720930453
1976:Q2,16.435900299305,27.2043325524037,23.2721847724255,38.7123778216995,33.6928734580232,23.2304682941652,8.13714754883805,14.5856344848432,19.1664559615093,10.5643264652252,9.03319855805412,8.22434282080768,43.5870674392601,3.35700167557191,36.3714075882259,13.1124828471007,11.6540746722066,16.3511137360381,20.0940629440674,,22.2002902646408
1976:Q3,17.4599173160264,27.8112187099221,22.9568164515855,38.8733459353876,34.1369096154711,23.9348794717047,8.54993559241459,14.9192342133663,19.7144823320096,11.2137058835887,9.40076718095012,8.62098242193056,44.6688948275131,3.55339216928296,37.2042967810159,13.5858937642612,11.9573754451447,16.8058298218073,20.4831637341774,,22.7007284131169
1976:Q4,17.9066382919779,28.3113335070282,23.9774740467716,39.0724795581548,34.6250554738233,24.6007782829734,8.99809481977272,15.2571034813415,20.2897029077259,11.4224432288764,9.79375144150162,9.03197118750905,45.5941944747099,3.71551834401491,37.9770905800113,14.0660727237887,12.2687689075228,17.2552652428196,20.865386850887,,23.1907886744483
1977:Q1,18.1963521242592,28.4420625527752,24.1937921147814,39.3106802415303,35.1577414472636,25.2399230213985,9.50731939776437,15.4812817890007,20.8027942258536,11.5469571244732,10.2796805210531,9.46791429391184,46.3641375070098,3.84393759064136,38.4642476841225,14.5137227138143,12.4344356268178,17.6826816381377,21.1648012593106,,23.581617022645
1977:Q2,18.4699502571292,28.8153348795791,25.0152437313875,39.582439579776,35.6777577545906,25.8848732441636,10.0146105301602,15.8498862672617,21.4379299312588,11.8317364469635,10.6638386562502,9.88449369566288,47.215044055161,4.04040043865282,39.1438156703742,14.9714849664256,12.7810580361798,18.1347769208609,21.6711687096229,,24.1141727039679
1977:Q3,18.7167171734171,29.2199499116571,25.259128634781,39.882460758641,36.1860309178967,26.5319140711835,10.5314668411092,16.2537915490431,22.1253828033713,12.3210759837231,11.0702760809303,10.2932404465133,48.1463636873355,4.30382664612071,39.8072915733911,15.4011356271382,13.1738408156138,18.6265534851133,22.2196544960432,,24.6706934201276
