column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1975:Q1,39.11,44.59,62.35,94.71,114.05,57.24,34.16,56.45,44.23,30.54,22.28,78.51,100.86,97.39,24.17,36.4,57.02,57.67,78.75,55.23,91.83,,65.68
1975:Q2,38.59,45.61,62.31,90.78,113.7,57.78,34.94,55.64,44.72,29.5,22.33,75.7,99.41,96.52,25.81,37.11,56.28,54.56,79.33,55.04,89.34,,65.15
1975:Q3,38.56,45.93,63.26,89.12,114.18,59,35.52,55.74,45.39,28.98,22.57,72.93,97.78,98.06,27.31,39.58,55.75,53.56,80,54.56,87.67,,64.79
1975:Q4,37.8,47.38,64.36,88.25,114.43,57.77,35.87,59.04,46.06,27.97,23.11,70.5,95.86,99.42,28.68,43.27,56.08,52.66,80.68,54.71,87.82,,64.66
1976:Q1,37.92,51.17,65.18,86.07,114.85,58.33,36.12,54.39,46.45,27.86,23.28,67.44,93.76,101.73,29.77,45.63,55.22,51,81.19,54.78,87.46,,64.47
1976:Q2,38.28,51.85,66.65,85.64,115.63,57.44,36.16,53.04,47.39,27.79,22.82,64.33,91.75,103.96,30.95,48.04,56.84,49.47,82.16,55.93,85.69,,64.81
1976:Q3,38.33,53.33,66.13,82.55,116.24,57.26,36.06,53.22,47.88,27.45,22.87,61.94,90.83,105.14,32.09,52.13,56.84,48.64,83.22,56.43,83.66,,64.89
1976:Q4,37.99,54.72,64.8,85.8,117.38,58.34,35.79,52.46,48.36,26.47,23.4,60.02,89.92,109.33,33.19,54.9,57.52,48.11,84.34,56.52,81.38,,64.94
1977:Q1,37.93,56.04,62.42,83.66,118.49,57.42,34.6,50.6,49.54,25.92,23.32,58.85,88.96,108.65,34.47,60.57,57.68,47.24,85.82,57.12,79.36,,65.03
1977:Q2,37.91,57.43,61,84.55,120.17,59.4,34.56,50.18,49.73,25.35,23.03,58.3,88.59,111.91,35.4,65.18,57.44,45.78,86.66,58.12,77.82,,65.63
1977:Q3,37.74,58.65,59.43,85.31,121.59,60.43,34.73,48.76,50.16,25.32,23.55,57.81,88.49,115.08,36.2,67.71,57.47,44.62,87.25,58.95,75.85,,66.16
1977:Q4,37.54,62.08,63.95,84.8,123.3,62.4,35.02,47.93,50.77,25.71,24.86,57.77,88.97,119.39,36.9,68.56,57.26,43.11,87.43,60.52,75.12,,67.42
1978:Q1,37.71,61.61,63.87,85.4,125.86,63.74,35.93,47.82,51.19,25.87,25.97,58.06,88.75,114.88,37.25,69.2,56.55,42.24,87.13,61.35,74.73,,67.87
1978:Q2,37.6,62.93,64.34,87.08,127.31,64.71,36.38,47.92,51.29,26.54,28.51,58.48,88.89,118.69,37.8,70.28,54.83,41.14,87.31,62.04,73.45,,68.56
1978:Q3,37.57,64.56,64.37,88.27,129.14,65.18,36.74,47.04,51.4,27.56,29.61,58.87,89.13,122.1,38.3,66.76,55.78,40.84,87.7,63.05,71.63,,69.32
1978:Q4,37.12,65.18,63.58,90.32,130.89,64.28,36.99,47,51.6,28.73,28.39,59.22,90.44,131.37,38.77,66.59,55.67,40.28,88.38,63.76,72.81,,70.34
1979:Q1,37.09,66.33,63.73,90.22,132.79,64.48,37.79,46.5,51.57,29.86,28.86,55.92,91.8,136.38,39.18,64.29,55.47,39.83,90.04,65.38,72.41,,71.39
1979:Q2,37.01,67.31,64.51,89.65,132.45,65.47,37.81,46.19,51.79,31.24,32.5,56.55,93.02,138.17,39.54,62.21,54.99,38.55,90.21,65.25,72.24,,71.67
1979:Q3,38.79,67.23,66.25,91.25,132.03,65.35,37.5,46.65,52.15,31.24,30.52,57.34,94.45,144.19,39.81,61.27,54.66,37.22,89.46,65.17,71.61,,72.11
