column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1975:Q1,74.39,66.37,70.2,75.38,65.98,70.94,69.83,51.18,67.05,47.33,52.57,63.42,61.74,27.48,36.8,81.06,47.65,83.3,75.3,57.43,94.33,,60.52
1975:Q2,73.02,68.24,70.9,74.29,66.68,72.39,70.54,51.46,66.99,45.6,51.83,65.38,62.19,27.34,38.06,82.73,48.48,81.65,75.8,59.82,95.1,,61.66
1975:Q3,72.48,69.87,72.04,73.52,67.43,73.54,71.14,51.97,67.18,46.11,51.11,66.94,62.61,27.87,39.49,83.04,49.3,81.23,76.24,58.7,102.28,,61.65
1975:Q4,70.8,71.32,72.13,73.09,67.65,74.5,71.6,54.57,67.42,45.17,50.42,68.37,63.02,28.34,40.98,84.47,50.19,80.35,76.56,58.99,104.48,,61.95
1976:Q1,70.37,72.67,72.39,73.03,67.59,75.32,71.92,51.06,67.5,45.62,49.74,68.68,63.34,28.86,42.31,84.82,51.07,78.64,76.85,59.58,96.87,,62.21
1976:Q2,70.53,73.54,74.29,73.01,67.81,76.03,72.12,51.4,68.29,44.89,49.39,68.4,63.89,29.54,43.36,85.03,51.84,77.13,77.14,59.79,95.26,,62.47
1976:Q3,74.16,73.95,72.01,73.02,68.02,76.61,72.2,50.97,68.41,46.4,49.35,68.37,64.16,29.91,43.98,85.9,52.44,76.74,77.35,60.06,94.52,,62.76
1976:Q4,73.19,73.92,74.29,73.12,68.55,77.01,72.17,50.85,68.6,44.98,49.51,68.4,64.2,31.14,43.99,85.01,52.91,76.44,77.58,60.22,94.31,,62.89
1977:Q1,72.63,72.58,73.07,73.34,69.08,77.02,71.52,50.28,69.22,43.71,50.16,69.05,64.33,30.8,43.79,86.33,53.29,74.86,77.58,59.99,103.68,,62.88
1977:Q2,72.17,72.41,73.92,73.66,69.84,77.29,71.53,50.02,69.31,43.26,50.73,69.82,64.72,31.73,43.67,85.25,53.66,73.06,77.52,60.39,99.12,,63.15
1977:Q3,70.71,72.47,72.91,74.1,70.37,77.64,71.65,49.87,69.96,44.06,51.54,70.3,65.56,32.61,43.9,86.6,54.31,72.59,77.45,61.01,94.69,,63.6
1977:Q4,71.51,72.76,74.06,74.73,70.95,78.09,71.86,50.33,71.14,45.95,52.67,70.96,66.01,33.8,44.3,86.7,54.39,72.15,77.18,61.95,95.86,,64.45
1978:Q1,73.56,73.36,75.68,75.59,71.9,78.69,72.77,50.99,73.18,45.66,54.06,70.85,66.65,33.1,45.27,87.91,54.3,72.59,77.09,62.07,97.46,,64.94
