column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
1975:Q1,7.6,15.32,16.89,48.82,53.75,15.78,3.74,13.89,11.07,6.03,3.36,8.19,59.04,8.69,7.48,13.94,13.36,7.43,14.58,17.27,3.23,,22.595331600661567
1975:Q2,7.77,16.06,17.12,48.19,54.35,16.22,3.78,14.01,11.5,6.15,3.49,8.06,59.21,9.23,8.19,14.87,13.47,7.43,15.07,17.67,3.28,,22.91423783646244
1975:Q3,8.04,16.41,17.8,47.71,55.03,17.02,3.84,14.26,11.94,6.25,3.73,7.97,59.4,9.81,8.86,16.15,13.7,7.53,15.59,17.7,3.29,,23.123158975663834
1975:Q4,8.31,17.35,18.03,47.12,55.76,17.13,3.91,14.78,12.4,6.39,3.98,7.91,59.63,10.41,9.52,17.69,14.15,7.7,16.14,17.99,3.37,,23.445912288035473
1976:Q1,8.59,19.18,18.25,46.44,56.57,17.66,4.01,14.89,12.86,6.58,4.22,7.88,59.84,11.04,10.16,19.26,14.12,7.87,16.73,18.17,3.44,,23.741423819996005
1976:Q2,8.86,19.69,18.81,46.1,57.44,17.72,4.14,14.78,13.34,6.71,4.31,7.89,60.24,11.71,10.77,20.91,14.75,8.02,17.35,18.92,3.51,,24.29983424510641
1976:Q3,9.07,20.44,18.8,45.79,58.38,18.13,4.31,15.29,13.83,6.77,4.54,7.93,60.79,12.4,11.36,22.82,15.1,8.11,18,19.25,3.51,,24.70149324803257
1976:Q4,9.27,21.46,18.69,46,59.38,18.96,4.49,15.45,14.34,6.95,4.78,8,61.38,13.13,11.95,24.98,15.7,8.24,18.68,19.51,3.5,,25.107540393667872
1977:Q1,9.48,22.6,18.57,45.94,60.46,19.06,4.67,15.28,14.91,7.08,4.95,8.11,62.05,13.71,12.55,27.43,16.01,8.42,19.52,20.06,3.51,,25.64169571618109
1977:Q2,9.69,23.44,18.73,46.25,61.6,20.1,4.9,15.6,15.43,7.13,5.02,8.26,62.74,14.56,13.06,29.82,16.23,8.61,20.22,20.98,3.56,,26.35287653804911
1977:Q3,9.87,24.14,18.9,46.58,62.8,20.91,5.17,15.62,15.92,7.24,5.31,8.44,63.46,15.52,13.5,31.48,16.6,8.66,20.9,21.49,3.56,,26.899287181258064
1977:Q4,10.05,25.89,19.59,46.64,64.08,22.08,5.48,15.6,16.36,7.55,5.63,8.65,64.21,16.57,13.86,32.48,16.96,8.64,21.57,22.29,3.59,,27.606428091092496
1978:Q1,10.23,26.12,19.86,47.02,65.59,22.85,5.84,15.89,16.75,7.8,5.95,8.9,64.94,17.51,14.1,33.04,16.99,8.66,22.22,22.97,3.63,,28.23418076734338
1978:Q2,10.41,26.78,20.32,47.83,66.93,23.59,6.18,16.18,17.21,8.11,6.67,9.18,65.86,18.84,14.41,33.24,16.93,8.72,22.85,23.9,3.64,,29.004797986223434
1978:Q3,10.62,27.65,20.8,48.85,68.27,24.25,6.49,16.1,17.73,8.56,7.17,9.56,66.89,20.35,14.74,32.8,17.37,8.8,23.47,24.63,3.72,,29.725973537376632
1978:Q4,10.83,28.18,20.84,49.88,69.61,24.59,6.83,16.25,18.25,9.27,7,9.77,68.1,22.04,15.08,32.39,17.54,8.9,24.07,25.26,3.85,,30.419068537467506
1979:Q1,11.03,29.06,21.29,50.86,71.29,25.21,7.2,16.57,18.69,9.85,7.42,9.7,69.39,24.39,15.42,31.85,17.6,9.07,24.86,26.39,3.94,,31.36947729048908
1979:Q2,11.26,29.63,22.14,51.76,72.5,26.17,7.49,16.65,19.33,10.54,8.72,10.04,71.09,26.24,15.77,31.38,17.76,9.19,25.35,27.24,4.07,,32.25643572454154
1979:Q3,12.04,30,23.14,53.06,73.57,26.64,7.71,17.22,20.11,11.19,8.58,10.67,73.17,28.09,16.12,31.04,17.95,9.29,25.74,27.83,4.23,,33.1063921048327
1979:Q4,12.85,30.41,24.14,54.46,74.51,26.71,7.86,17.56,21.07,12.07,8.75,11.33,75.43,29.92,16.5,30.52,18.27,9.41,26.03,28.41,4.4,,33.98449301175915
