column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1975:Q1,7.6,15.23,17.44,49.41,54.18,15.77,3.32,13.91,11.07,6.01,3.35,7.84,59.04,8.72,7.48,14.09,13.35,7.43,14.57,17.36,3.23,,22.7
1975:Q2,7.77,16.01,17.76,48.01,54.75,16.28,3.47,14.02,11.5,6.16,3.51,7.74,59.21,9.25,8.19,14.64,13.52,7.41,15.07,17.51,3.28,,22.92
1975:Q3,8.04,16.52,18.49,47.63,55.39,17.02,3.62,14.28,11.94,6.29,3.71,7.69,59.4,9.81,8.87,16.12,13.71,7.54,15.61,17.68,3.29,,23.19
1975:Q4,8.31,17.38,19.2,47.5,56.09,17.07,3.78,14.77,12.4,6.35,3.98,7.66,59.63,10.39,9.53,17.88,14.08,7.72,16.17,18.03,3.37,,23.56
1976:Q1,8.58,19.06,19.88,46.46,56.86,17.65,3.96,14.91,12.86,6.56,4.22,7.67,59.84,11.08,10.16,19.31,14.11,7.87,16.71,18.25,3.44,,23.89
1976:Q2,8.87,19.64,20.61,46.38,57.68,17.78,4.14,14.78,13.34,6.71,4.32,7.72,60.24,11.73,10.78,20.8,14.81,8,17.35,18.79,3.51,,24.37
1976:Q3,9.07,20.56,20.81,44.88,58.58,18.13,4.33,15.31,13.83,6.82,4.51,7.8,60.79,12.41,11.37,22.85,15.12,8.11,18.01,19.25,3.51,,24.83
1976:Q4,9.27,21.5,20.65,46.82,59.53,18.91,4.52,15.46,14.33,6.92,4.8,7.91,61.38,13.11,11.95,24.81,15.63,8.26,18.7,19.58,3.51,,25.26
1977:Q1,9.47,22.46,20.4,45.81,60.55,19.06,4.67,15.29,14.93,7.05,4.95,8.06,62.05,13.74,12.56,27.32,16.02,8.42,19.5,20.15,3.51,,25.79
1977:Q2,9.7,23.4,20.38,46.41,61.64,20.16,4.91,15.61,15.43,7.14,5.03,8.24,62.74,14.58,13.07,30.29,16.28,8.59,20.22,20.85,3.56,,26.42
1977:Q3,9.87,24.24,20.32,46.89,62.79,20.93,5.17,15.61,15.91,7.29,5.27,8.45,63.46,15.52,13.51,31.51,16.61,8.66,20.92,21.47,3.56,,27
1977:Q4,10.06,25.94,22.24,46.6,64,22.01,5.46,15.63,16.37,7.51,5.65,8.7,64.21,16.56,13.91,32.4,16.89,8.67,21.59,22.36,3.59,,27.77
1978:Q1,10.21,25.97,22.67,46.82,65.27,22.85,5.85,15.87,16.74,7.78,5.96,8.98,64.94,17.53,14.07,32.83,17,8.66,22.2,23.04,3.63,,28.38
1978:Q2,10.42,26.77,23.18,47.84,66.61,23.63,6.18,16.2,17.21,8.12,6.67,9.3,65.86,18.86,14.42,33.8,16.96,8.69,22.86,23.78,3.64,,29.1
1978:Q3,10.63,27.72,23.71,48.8,68.02,24.31,6.5,16.07,17.73,8.61,7.12,9.65,66.89,20.37,14.75,32.33,17.38,8.79,23.49,24.6,3.72,,29.85
1978:Q4,10.84,28.22,23.97,50.43,69.48,24.52,6.8,16.34,18.26,9.22,7.05,10.03,68.1,22.04,15.11,32.62,17.49,8.93,24.09,25.34,3.86,,30.63
1979:Q1,11.02,28.93,24.45,51.08,71.65,25.19,7.21,16.51,18.69,9.84,7.44,9.81,69.39,24.4,15.42,31.77,17.62,9.07,24.85,26.47,3.94,,31.6
1979:Q2,11.23,29.66,25.36,51.41,72.99,26.18,7.49,16.67,19.34,10.55,8.71,10.32,71.09,26.27,15.78,31.2,17.78,9.16,25.36,27.15,4.07,,32.44
