column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_pdi
1975:Q1,14.46,22.33,19.62,39.33,31.34,19.54,6.76,12.64,16.78,9.3,7.91,6.35,36.35,2.4593675768140213,11.306971360856934,31.45,11.42,10.76,13.84,18.05,3.32,,19.250935030113475
1975:Q2,14.71,23.61,20.2,39.29,32.11,20.39,6.97,13,17.23,9.51,8.14,6.71,37.35,2.6194879309211427,11.906203504499953,32.71,11.92,11.11,14.3,19.04,3.49,,19.990546401523332
1975:Q3,15.12,24.76,21.05,39.29,32.71,21.22,7.22,13.34,17.67,10,8.4,7.07,38.51,2.787088124344285,12.603688310617844,33.88,12.41,11.47,14.77,19.02,3.84,,20.36150116590943
1975:Q4,15.57,25.78,21.52,39.34,33.16,22.02,7.51,13.69,18.14,10.25,8.7,7.45,39.77,2.9619078751739436,13.37489704660395,34.97,12.89,11.82,15.24,19.44,4.01,,20.881954319192456
1976:Q1,15.92,26.68,22.07,39.42,33.46,22.79,7.84,14.03,18.68,10.72,9.02,7.84,41.11,3.143388416551906,14.172777146580657,35.97,13.36,12.16,15.71,19.85,3.81,,21.40957810953601
1976:Q2,16.35,27.45,22.97,39.54,33.83,23.54,8.21,14.36,19.22,10.83,9.37,8.23,42.28,3.3328102478419357,14.837314587799245,36.89,13.82,12.5,16.18,20.09,3.91,,21.84851832542913
1976:Q3,17.55,28.1,22.66,39.7,34.28,24.26,8.62,14.7,19.75,11.51,9.75,8.63,43.3,3.5297773228885547,15.32501733465058,37.74,14.27,12.83,16.63,20.49,3.97,,22.345647700501498
1976:Q4,17.87,28.62,23.67,39.9,34.77,24.95,9.06,15.02,20.32,11.74,10.16,9.04,44.27,3.7341895353006276,15.577929319737141,38.51,14.71,13.16,17.09,20.87,4.07,,22.835289415778227
1977:Q1,18.14,28.66,23.88,40.16,35.3,25.56,9.61,15.23,20.85,11.88,10.66,9.48,45.04,3.8958169578881803,15.695619616997721,39.01,15.14,13.38,17.51,21.16,4.59,,23.226864640749508
1977:Q2,18.48,29.08,24.69,40.43,35.82,26.23,10.1,15.59,21.5,12.17,11.1,9.89,45.89,4.1343781639941835,15.853785221388488,39.71,15.56,13.74,17.97,21.67,4.54,,23.757370129345034
