column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1975:Q1,14.45,22.66,19.63,39.33,31.34,19.54,6.8,12.61,16.78,9.31,7.91,6.33,36.81,2.46,11.4,31.39,11.16,10.72,13.93,18.05,3.32,,19.32
1975:Q2,14.7,23.96,20.21,39.29,32.11,20.39,7.01,12.97,17.23,9.52,8.14,6.69,37.82,2.62,12.08,32.65,11.65,11.08,14.4,19.04,3.49,,20.06
1975:Q3,15.11,25.13,21.06,39.29,32.71,21.21,7.26,13.31,17.67,10.01,8.4,7.06,39,2.79,12.83,33.82,12.13,11.43,14.87,19.02,3.84,,20.43
1975:Q4,15.57,26.16,21.52,39.34,33.16,22.01,7.55,13.65,18.14,10.26,8.69,7.43,40.27,2.96,13.62,34.91,12.6,11.78,15.34,19.44,4.01,,20.96
1976:Q1,15.91,27.07,22.07,39.42,33.46,22.79,7.88,13.99,18.68,10.74,9.01,7.82,41.63,3.14,14.43,35.9,13.05,12.13,15.82,19.85,3.81,,21.48
1976:Q2,16.34,27.86,22.97,39.54,33.83,23.53,8.25,14.33,19.22,10.85,9.36,8.21,42.81,3.33,15.1,36.82,13.51,12.47,16.29,20.09,3.91,,21.92
1976:Q3,17.54,28.51,22.66,39.7,34.28,24.25,8.67,14.66,19.76,11.52,9.74,8.61,43.85,3.53,15.58,37.66,13.95,12.8,16.74,20.49,3.97,,22.42
1976:Q4,17.86,29.04,23.67,39.9,34.77,24.95,9.11,14.99,20.33,11.75,10.15,9.02,44.83,3.73,15.84,38.43,14.38,13.13,17.21,20.87,4.07,,22.91
1977:Q1,18.14,29.08,23.88,40.16,35.3,25.56,9.66,15.19,20.86,11.89,10.65,9.45,45.61,3.9,15.96,38.94,14.8,13.35,17.63,21.16,4.59,,23.31
1977:Q2,18.47,29.5,24.69,40.43,35.82,26.22,10.16,15.56,21.5,12.18,11.09,9.87,46.47,4.13,16.12,39.63,15.2,13.7,18.09,21.67,4.54,,23.84
1977:Q3,18.49,29.95,24.94,40.73,36.34,26.88,10.68,15.97,22.19,12.68,11.53,10.28,47.37,4.4,16.38,40.31,15.7,14.09,18.57,22.22,4.45,,24.38
1977:Q4,19.15,30.41,25.75,41.06,36.82,27.54,11.21,16.42,22.94,13.42,11.98,10.69,48.36,4.69,16.7,40.98,16.04,14.51,19.06,22.89,4.58,,25.04
