column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,slovenia,column_z,aggregate_2005_fixed_weights,aggregate_dynamic_weights
1975:Q1,39.142639713382,43.1843975058723,59.1311111688017,93.7141118297977,108.430501752867,57.3286306544337,90.1469483061133,53.9124895831389,43.0618676288002,32.1060834742995,23.7589279464846,79.9806331592536,102.535010665405,96.4944733895539,23.8988616724398,37.017985707092,56.9086662976268,55.529584725341,76.1604944824996,53.8495602653754,87.5455302553725,80.2308341461458,60.1955915188302,64.857723507502,,66.55753003634376,68.01513267911375
1975:Q2,38.490964110526,44.3014280483552,58.8150798755236,91.7018876797238,108.301327035033,57.5538887929397,97.2519782278798,53.3485006806393,43.5039443893826,31.0475779525702,24.2532562578325,76.7897316649435,101.058818770803,95.7808857628249,25.4924036636137,38.4330902805042,56.0050539715562,53.2482759667965,76.4727467494435,54.1264350713293,85.8496310447989,82.9919722399576,60.0031710929088,66.8165332266573,,66.49659321121797,67.89733921097404
1975:Q3,38.595029336151,45.3604626853732,59.7109817430145,90.2898813497927,108.903816181884,59.0174678741739,95.68431416784,53.1932812190725,44.1412315351748,30.4076706327352,24.578892363327,73.6475982430597,99.4030973609584,97.72498279625,26.9264807959901,39.6904420427305,55.7156408605235,51.5596648649386,76.9018195951796,53.329415769145,84.2042530480479,85.6643762269309,59.9275229782839,68.6939783264799,,65.92279331836043,67.27134474929082
1975:Q4,37.7273691783795,46.9691269173926,59.241269174936,88.7885059606066,109.131047718725,58.0677191278719,98.9952507212303,55.8471917363482,44.9889088544388,29.418551824778,24.7441754730216,70.8617213043039,97.4562155897079,99.166504521411,28.2280793903885,41.8293732410396,56.3962151477815,50.3120482713816,77.5108099782719,53.4376392439658,84.231390790828,88.6259168374599,58.9239490384077,70.4711896727142,,65.79985318880681,67.07975216172596
1976:Q1,37.9343013780151,49.2469312068274,58.92973041617,86.7087080860414,109.736728971218,58.3968059673126,97.0959991059032,51.7944792594603,45.6312775041553,29.21407738715,24.7683654441471,67.4536582927804,95.3128264637662,100.683118502717,29.3878977227573,43.099674815641,55.2675185474255,49.0320936388057,78.3238498605565,53.38724018202,83.9553038320168,91.375141432932,55.9236957589033,72.1392698675692,,65.39611896536283,66.58919979839892
1976:Q2,38.114794188698,50.7159599246665,59.7520057949602,85.7753820631441,110.437085626902,57.2287675164404,104.081277977962,51.1756611497829,46.2116725790349,29.0603126738046,24.8258115553806,64.0260702714465,93.2810887354642,103.728421611283,30.5364085459597,47.3076155661105,56.5675986819449,48.0189293795153,79.1718366781001,55.0150811515556,82.5346030628061,94.2540545265133,54.6027031607296,73.6862946027653,,66.18645093770621,67.18798016997185
1976:Q3,38.336927934299,52.0639962564855,58.7623507681922,84.8471944507039,111.07057604871,57.2875222710239,102.901342915432,50.3521837426323,46.6922410054115,28.6574237821624,24.9219829049428,61.345317496208,92.3424943582489,104.566175893449,31.6472289757744,50.4131027749817,56.7330844364743,46.6697407321127,80.1144912383677,55.1166460775813,80.616799753985,97.3151558299617,50.8990007498941,75.1122704006131,,66.01923577947547,66.97287913699746
1976:Q4,37.871127927797,53.4148785131429,57.5723907214428,85.0808375693601,112.475210864951,58.6307066761909,97.9110347687394,49.6768739140158,47.2979344375324,27.8327921125979,25.0183404264936,59.1575678199168,91.3976256767655,108.65629864702,32.7195086818242,51.8530536250252,57.8044566625435,45.6772897784374,81.1099138001539,54.9673816078225,78.2186196254977,100.518036178042,50.4424038755809,76.4411850033422,,65.7710188053303,66.63424734333243
1977:Q1,37.9218197151176,54.5296408922476,55.7233934335246,84.4255487393559,113.585926271639,57.4555047856774,93.6721920888345,48.6748616663669,48.4835139402528,27.0910086854793,24.7638070418744,57.7348745738437,90.4212992999102,107.851980377528,33.9950545117812,57.2133822482039,57.6752676366676,44.3647842630966,83.0234558494415,55.6688857906388,76.4797175537532,104.279415132546,48.6011048477761,77.4187887417856,,65.80976277058612,66.72754061043865
1977:Q2,37.7261578912452,56.1201727747249,55.1450755715453,84.9725346552424,115.112413725924,59.2193290417281,84.8845909274622,47.7712635429871,48.6335138551682,26.4620813094023,25.1166716628284,56.9298382467966,90.056204493105,111.653393687859,34.9106287606524,64.184390688788,57.2616197907791,44.2598899413954,83.4718382005738,57.2220256039138,74.8520812185787,107.270162515864,49.0231712680938,78.5054759042017,,66.37288391611683,67.16029989537324
1977:Q3,37.7257011474241,57.7813467255601,54.4026581579101,85.6045395815502,116.669184777925,60.4208520519201,93.9414073557332,46.3776418443397,48.9985999211796,26.4860564199236,25.6904943323459,56.2093904552567,89.964803450979,114.242834991724,35.711812542408,65.5224476304421,57.3731579899664,43.4059976627704,83.7564396301768,57.7041516444834,73.0402913046517,109.211605717828,46.8789746921101,79.4206935892125,,67.08359949311505,67.84672077516502
1977:Q4,37.3965947104977,59.7730551950724,56.0568709513202,85.5387852578911,118.568910542127,62.7122070066047,89.4710255989742,45.7468095146048,49.7073656718943,27.0077128775943,26.531055137483,55.9414644607193,90.4608120441478,118.349643352198,36.4055952253139,64.7976715690054,57.4621606585086,42.1699797327457,84.098656712465,59.1856245392914,72.2662580615837,110.430011380563,45.3858114785936,80.0102956809725,,67.98936198552406,68.63210786684262
1978:Q1,37.7320216044217,60.4156875200901,55.6824605320802,87.0964862251255,121.313467537769,63.7898991215521,93.6256383601819,45.7470910797778,50.1279442041054,27.1213523828007,27.5502280042394,56.0122891926443,90.2226079247409,114.652923040653,36.6660141783282,65.3348563556857,56.4742164041781,41.9142221858919,83.4169673724247,59.9715697203221,71.9270848190409,111.558433308423,44.14786197547,80.9786856595639,,68.57114236442698,69.29366596088725
1978:Q2,37.4300322947407,61.6947037636153,55.9847132355794,87.8763299657334,122.757368073776,64.5728753907308,98.2911879827479,45.4903698746166,50.249937253809,27.5689409460215,28.5209861664221,56.2186329631186,90.377971207315,118.064104546317,37.2598081252967,69.1161710223153,54.7528922008305,40.8140937959192,84.0419223982628,61.0260371734576,70.7430472195489,111.81163523744,47.2349387984828,81.3374459478431,,69.55631845148247,70.2019601830098
1978:Q3,37.5320203700799,63.0171272656265,55.9678323773525,88.8124754522473,124.357956382258,65.0718309439439,95.9124463322452,44.9399622899233,50.1973019739767,28.6748182587489,29.3487561074261,56.8300832645048,90.6034036946642,121.093446083916,37.8202240859111,64.6037229110735,55.810494347367,39.574156372799,84.7765433489236,61.7260795722905,68.7573428879796,112.089557152085,47.3145744994624,81.8148282314802,,70.03962683844674,70.62302428117192
1978:Q4,36.9497285242561,63.7997387491972,55.2186942940134,89.5555979194011,125.94665719886,64.6008035983424,90.2104700258802,44.5747901388,50.6736560235007,29.8475697036486,30.0764394409738,56.1832279194855,91.9359468426707,130.365642156749,38.3253514478752,63.0134669768033,55.8130270680186,38.2753797047694,85.418850096456,62.2977313174041,69.8045645842891,112.100035482264,50.4332395096373,82.3827879067594,,70.70816669244023,71.07948989705929
1979:Q1,37.0989419064778,66.1925589766138,55.3048037141133,90.5007108248758,126.607519631326,64.5730375675587,86.174678643556,44.4575774956248,50.7403254023548,30.9708633088189,31.4801878830434,53.8858203725983,93.3221481222363,136.149483252843,38.7445948446629,60.7944326345713,55.5780524787179,37.8905345803866,87.7528955965853,63.8875271910846,69.6822983480305,111.779723163939,53.4771037917718,82.7438927926746,,71.61733577441281,71.81533465419389
1979:Q2,36.934910965281,66.1197054699947,56.1277958955783,91.0073119225706,126.092677006706,65.4166923546307,88.0092390568941,44.3210970420025,51.077407017177,32.3816149838308,31.7915532016641,53.56819827919,94.5503112686482,137.250704630189,39.046211776006,60.9822772855706,55.1106851255703,36.7445702012214,87.0160497072388,64.1382397734862,69.6658030899274,110.935898364952,59.5320149431476,82.9524764722935,,72.07762611518076,72.21395257011591
1979:Q3,38.7125929918726,65.391130764284,57.4444011922208,92.2787411204769,125.551291166123,65.1290012948062,83.6345430186532,44.3891350613678,51.2284493297176,32.2347921061581,31.8462513913604,54.5391104460015,96.0191937329666,143.11180057564,39.2551586404668,59.3192357236548,54.8145535097299,35.4988625253606,85.6770172130973,63.8623884397072,69.1066278328491,109.270649885426,63.3330958204181,82.7041954071134,,72.2368680664921,72.24605777635678
1979:Q4,40.2580810207773,64.3233158907118,58.697429274008,93.6681822658532,125.410767653849,63.891180264422,80.8165330202141,44.6850847749784,52.2527275565436,33.195902979596,31.6458511029267,55.1686067319634,97.2772169627528,144.539374636403,39.4053730030604,56.0532755073235,54.8475368296957,34.3273960787238,84.0077199546031,63.7131948054647,70.1522561025731,106.86113024154,63.8412360071862,81.9455043669555,,72.4147820915647,72.41316194132992
1980:Q1,41.5583593132855,62.7589293163944,60.0845834650892,94.8271423792904,123.543703523683,61.2526692715092,79.5713802166334,45.2164275983992,53.9519344205951,33.6389510103384,30.3116819727814,55.1363265460138,98.2238815263914,140.042781268885,39.7947562073817,53.93194997752,55.0036562458171,33.4755598520112,81.7334533881417,62.9398943334714,69.3717437656075,103.65881424454,60.4062307382626,81.046586290008,,71.94899369395634,72.16653416012005
1980:Q2,42.6902865070171,60.6166966527666,61.7267906047897,96.3874392294472,123.078008412801,57.4044369730961,78.5433440882905,45.7279974253479,54.3935044497251,33.4635697122312,30.0139736439446,57.2665108839687,99.1725098767602,140.286532279276,39.7892707326389,52.7502885078863,55.567176772926,33.3410967320518,79.822136845733,62.3114339003959,71.6607537982115,100.949324104175,58.8622760851523,77.1947059045604,,71.88011747594554,72.17700598956044
1980:Q3,42.9904434634724,58.4310646542668,62.986381579599,97.0475923441496,123.880228467978,57.0556387531711,85.0096961188487,45.8369638289004,54.5255992056873,33.6660183157705,29.8248898557777,57.110331720683,101.143208699363,138.692837437279,39.6657170286291,49.1425139745319,55.2275154273957,33.2242129958001,78.0648265783206,62.6300913402081,76.4088770487777,98.0693004424134,55.5079930807175,74.7019275458616,,72.47770667450666,72.83140080937342
1980:Q4,42.5617966197698,56.2512336522438,65.7887072116959,97.2963208923754,124.785788072741,55.8538875738845,87.2042614611861,45.5208782813971,54.6715238143678,32.5371176923434,29.703450988864,61.3320896647024,103.147796572621,136.686104067742,39.4017487292834,47.7925181873612,55.3936420626531,32.9971350859485,76.2916458746405,61.3930132337762,79.1451147413942,96.0191312958215,55.4617028743963,73.5489258344705,,72.49991281142373,73.10406331617499
1981:Q1,44.9506353414839,54.4425824269481,71.8106864023686,98.8478014497728,125.782024372375,53.8705002275526,82.3022744378267,46.6229574946137,54.3404231386727,32.2231471119462,30.5645496844096,68.6332556211705,104.513178538848,143.910452580254,39.1817689020096,46.6091299847882,54.9884619905879,33.4823235213081,73.8548879140507,60.1850942823065,83.2380872029924,91.9806858918201,56.5554663984753,74.1636912565885,,72.91826530892304,73.68528912242327
1981:Q2,45.4140877211773,53.0453224694555,76.8723767852583,100.181197452331,126.079084851088,49.8142066434556,82.8225406050576,46.5111026500663,53.8043976299061,31.9399621458147,30.4352670226248,71.4191380626533,106.739210004332,142.596292704068,38.5181394284445,44.6060737307901,54.4547631567722,34.9661329412289,71.6375514672232,60.3026378278494,87.6239679043424,90.9162914489896,60.0185921905206,74.1682727945755,,73.50615081858521,74.37928397638062
1981:Q3,43.7751882797062,51.4920145768956,82.9802132757174,100.16546147473,125.869663787882,46.910602079748,84.5800663321742,47.43593278412,52.6653717317972,31.3463318837454,30.2225064653833,71.176051975649,108.860593614404,140.783354911494,37.6124424832945,42.4257144794861,53.2894347288233,36.080025263425,69.6839241003071,60.2103651395817,90.940114703952,89.765513758222,62.525646371789,74.0612582133351,,73.74241938834803,74.65180515621888
