column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,column_x,aggregate
1975:Q1,39.164895877106545,45.842857144607684,61.91408360491527,93.58075014946175,114.12593722149053,57.17794969127995,39.070452001743334,56.61777347206627,44.01025905750991,30.365217782148328,23.541940754946573,80.60138135318583,99.92040212768643,98.18834714849987,24.20658303816678,37.847771088328756,56.935056908697646,55.62170802106679,77.25047414441093,53.67466943761764,91.82957917621742,69.99177317285316,,64.9962678044177
1975:Q2,38.52394018933018,45.70532297519154,61.66660793500518,91.10640881552835,113.77708980448385,57.45299875076198,37.97778273253047,55.8783509203159,44.46745381524479,29.266775492895782,24.032966714055334,77.3857149282489,98.46435596194202,97.21474526893137,25.843137630079905,38.974308303315915,55.89613709670145,52.89592986080359,77.78391344215007,54.26262686800848,89.34287338159265,72.30614178391704,,64.6910020155942
1975:Q3,38.635021852352416,45.88398754298341,62.19662774504487,89.26459208008112,114.29372074746311,58.878921342397184,37.20256136529482,55.395676666383395,45.09401115075914,29.021548485503644,24.355489960306308,74.21919492942035,96.83956758665224,99.13132827663613,27.337776262729648,40.2329382034272,55.562605989773616,51.79760849517132,78.37944967895184,53.28771351723531,87.66836960144663,74.65344787310724,,64.05121533679576
1975:Q4,37.78494323774067,47.384906046383705,61.74998136331145,87.55527502071071,114.44551681910042,57.85847088095781,36.78943393605934,58.86295291478226,45.9330122776802,28.010894126739476,24.518684922111856,71.4116962672596,94.94689588408083,100.73161151377354,28.665557380888657,42.63153950393285,56.21429163228208,50.743900381600206,79.09699302871176,53.34611182229515,87.82211943407653,77.03216915048733,,63.776260342105246
1976:Q1,37.95550987306835,51.02821711048795,61.30781119224152,86.02080350475242,114.997679291033,58.24505111689567,36.40825984248888,54.573896331497295,46.577668938027266,27.605836438475173,24.543267496116954,67.97718241391607,92.85246035207346,102.54969796084636,29.833417479133377,44.75458405391053,55.12834793285647,49.19507458072285,79.69086829954384,53.25661245675452,87.45503788669635,79.44069544276581,,63.43800132711041
1976:Q2,38.14671002086432,51.94606984926005,61.97790694763078,85.11118759035568,115.64422658785038,57.13009775108724,36.166753450703325,53.26861663886313,47.15836488941812,27.70382598398281,24.60010625811334,64.52299205854918,90.88455810845116,104.7788465680387,30.97295996975586,47.315060356762594,56.45937089302391,47.96959926310089,80.52834606331504,55.011016804151815,85.68659361048094,81.87733000519786,,63.95936844945016
1976:Q3,38.38128876409353,53.27735478166934,60.99829043651101,84.20204043815282,116.21388455372535,57.154662703359364,35.852027362598236,52.89771687119433,47.625319591560185,27.489209269031583,24.695584603121816,61.82143330102059,89.982625751988,106.2164540872848,32.08652983891082,50.886494983365246,56.65642275903123,47.04768773368645,81.55510107900167,55.081379544330936,83.6550437908207,84.34029108441369,,63.8625137682356
1976:Q4,37.93128544166128,54.71707202549999,59.6948956350986,84.29887412277532,117.58151237498635,58.421055926897644,35.48082956196757,52.24871566975596,48.21793913701757,26.63382002325806,24.790995963017444,59.61670397414095,89.07035704275155,110.7259523602561,33.17464946711015,53.97541298298968,57.64355132300195,46.355733951647736,82.72907136763634,55.02466113325961,81.3765298777031,86.82771373188966,,63.85619739205969
1977:Q1,37.94695374909315,55.93522335333794,57.90515838570512,83.89515419371966,118.63208986697246,57.30586151384789,35.08472490727483,50.81129526008561,49.41953268834465,25.539344410469667,24.537844523865168,58.18296887829114,88.11965276606865,109.63381365828036,34.46368250924022,59.46664450631726,57.535654802345725,45.527260703595225,84.1521149709877,55.58527451840748,79.3552659795294,90.314004953535,,63.9502016472131
1977:Q2,37.75830618396008,57.489263542514735,57.21084142820152,84.25021810301165,120.10476729584457,59.116893044428366,34.673315548016475,50.387771654151884,49.582463786794975,25.205491395216484,24.887759732678106,57.37168447160394,87.76117186250988,112.81322427511537,35.40377181426026,62.79025184274931,57.12762435362115,44.39358956085354,84.9635065246546,57.15724562230709,77.8150299529182,92.46385318224569,,64.75477565451342
1977:Q3,37.76739099276607,58.60302249819988,56.41164894410491,84.73106045561407,121.59032400834147,60.28040014042455,34.37268209444906,48.521700892285644,49.93534334047423,25.361963956381672,25.456457414509526,56.645645100848505,87.6534731508482,116.24293108429917,36.21463685851896,66.1630749535762,57.29740807877571,43.17545890923046,85.50351321509093,57.629359535753835,75.84944225775129,94.1933902455941,,65.1805320677902
1977:Q4,37.451726703743034,62.06738352956368,57.29148543668664,84.87194673457218,123.3988187297212,62.487648920497165,34.599042935712184,47.63178323399917,50.66677828124039,25.892146966519125,26.2889631522119,56.37563966695035,88.11487559742676,120.8202346904501,36.95198041137455,67.16594056891113,57.36639140547148,41.54582418156396,85.72798571005657,58.9794758833515,75.1180796314697,95.47533148049556,,66.24445503912654
1978:Q1,37.751794347456254,61.53881472114734,56.95663777531077,85.75575291249471,126.31757852512115,63.62347421307595,35.812797842999245,48.09181028758568,51.10432576083066,25.672461171196943,27.299704559041977,56.44701406235648,87.8947027072174,116.08890326776564,37.23314158590644,68.11366487911835,56.640462123928394,40.70480559976005,85.48966104122925,59.7862681467625,74.72849483563509,95.84567001765505,,66.68812534387389
1978:Q2,37.461918122950365,62.949325796230596,57.19673595935806,87.05053934259412,127.62900719498225,64.46091019138555,36.324740583458656,48.097024736678655,51.21682875207153,26.379721738648236,28.26077747002459,56.65495937496041,88.05115881598013,119.63478042461868,37.82626589117368,67.6353156043043,54.577578509892646,39.8701462794441,85.55663905043545,60.904718799804336,73.45086882696557,96.35168803679764,,67.46925116178119
1978:Q3,37.57058211868045,64.50919748951182,57.31376741550566,88.37171463523377,129.11285309935045,64.9203005976405,36.64715971958711,46.87521593708656,51.19606066225939,27.579016080174924,29.081827561169337,57.271155510047514,88.2961694483278,123.30823264615995,38.3377768018637,66.28955564147888,55.541141837884034,39.54354873520124,85.92953980924746,61.656037363255024,71.6262158422743,96.55117266335496,,68.16407911468959
1978:Q4,37.00569855516764,65.1666192447172,55.936473858158784,89.31578933904461,130.5511617179939,64.36920874821638,36.9756773774199,46.562603560348286,51.6807601593996,28.834196229366366,29.801983493199906,56.61927969815436,89.59482333835608,132.86509387240517,38.80674134195707,64.62577562137992,55.82523212315489,38.81375334751292,86.7615896523394,62.142831843822044,72.81008264896033,96.44403536682464,,68.99207820562837
1979:Q1,37.119656783188006,66.28228418244308,56.12757119158772,89.8200790819381,131.21865590788718,64.40427405158209,37.874875897877125,46.868074159534565,51.7483161836191,29.618272138525708,31.192987592660927,54.3040410388108,90.94392557775899,137.89549347033133,39.23417698639735,63.060086570846494,55.74447903235712,38.34467501338988,88.27964128210998,63.74571427625252,72.40673309741621,96.41867490818176,,70.01988299229262
1979:Q2,36.966367213731274,67.29547420042104,56.92773274787927,90.26681249195218,130.64838416426937,65.30295455552186,37.810266777935766,46.34649574939293,52.11534085121558,31.209548077138365,31.50233420065397,53.98395375354747,92.14838134766626,139.3158476100617,39.5818127106026,61.27047565729954,54.94757203579789,37.36054751214895,88.43837430666677,63.972430762574575,72.2430072430703,95.55302676701999,,70.36638053441668
1979:Q3,38.75271328731074,67.18954833941866,58.19530239030472,91.48447201494768,130.2800414780123,64.97702910188318,37.3671772962699,46.51648867243042,52.31586665923583,31.413499889827833,31.556264651805282,54.962401586806855,93.55450226536398,145.53933129637844,39.84185386015528,59.634318507001225,54.545527606008605,36.077060600879676,87.68230580251308,63.78194553875712,71.60570008824727,94.24824400875079,,70.7425126459084
