column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,column_y,aggregate
1975:Q1,70.71357846212,67.867636433555,71.9038469038876,74.056751303988,65.2995907607348,71.1127613505166,69.9762258113295,51.8251413019204,64.5550784795992,51.9563784748253,53.9622922971968,62.6915160497792,61.822216910516,26.3839084631732,38.4057122491033,77.1388972415746,45.8368876199924,79.940706810262,71.8380846327503,57.2729862026096,95.563341286041,7.99924053664562,48.4497153437084,,60.145791551877515
1975:Q2,69.9526741308247,69.7418419995172,72.7427143893123,72.9826477865143,65.9631775637099,72.5686297429995,69.6798081065096,52.113377793136,64.6924855390143,51.0046470014449,53.200906929924,64.6290227460215,62.3466256869478,26.8362557096474,37.9550974005971,78.7478461266221,46.8995447781922,78.3533530791772,72.3421731148258,58.5908730624749,96.7764348614604,8.15606572112137,53.002001225909,,60.9573520640624
1975:Q3,69.1991597023462,71.420303138404,73.5224998916221,72.2244644557587,66.689212717959,73.7205082879131,69.5709350428131,52.625324476785,65.0613428870208,50.6985562715587,52.4700861438214,66.1749449851146,62.9353125719954,27.7970504592452,38.3925367222414,79.0416325622315,47.9793178232871,77.9350332564182,72.7378481791192,58.2168509447115,99.6416569341629,8.26478363659751,55.2182507582068,,61.1351826817862
1975:Q4,68.1449803421564,72.9145188322471,73.6675495285548,71.8058334070907,66.8765403618481,74.6846116422468,69.7826987007887,55.2545774700779,65.4820484781475,50.2146937794722,51.753747225966,67.5865533244953,63.4544651399991,28.5406886004885,39.5655422163534,80.3960236405794,49.0765457109647,77.0746264620369,73.0720194955014,58.281951723033,100.402933267381,8.39054088196716,53.0127943574831,,61.38084618511655
1976:Q1,67.7598216244817,74.2971826886746,74.1053244842823,71.7421292125542,66.9076210765952,75.4960763841981,70.6304747305391,51.7010719360859,65.6815366750416,50.1553787699023,51.0571625836966,67.8959397597248,63.8620288169778,29.2347350343666,40.980304679013,80.7305097430981,50.1807270432519,75.480119930554,73.3341079052403,58.5496471757912,97.8293848533518,8.53394891330637,50.9827038324312,,61.59526712933613
1976:Q2,68.1487052187033,75.1786116352339,75.6666017035456,71.723669268642,67.0505396752346,76.2104416125621,70.931968892209,52.0514823359321,66.0961170044955,50.3005365496636,50.7011374070346,67.6186437561441,64.0193119061606,30.015616902899,42.2631650645538,80.9295620978625,51.1150981426017,73.9903469546933,73.5966150839148,58.6590133082874,96.2707652885404,8.61667687931655,46.9618397901407,,61.77329392109453
1976:Q3,69.8370739978083,75.6024399765114,73.482195827789,71.7368346424145,67.251286429921,76.7952632277965,71.0242705740193,51.6112285857127,66.3633565765154,50.4852207046096,50.6576100334669,67.590105203134,64.2172488958154,30.3566000133104,43.0100341970682,81.7637516416236,51.8885653616076,73.6468089050891,73.8213101972699,58.7797714254143,95.7410288610962,8.71960772566733,44.0215243283184,,61.86556905174342
1976:Q4,69.7275484424945,75.570532393967,75.5756711317789,71.8337728051059,67.8716298996808,77.191334205456,70.945082448668,51.4954351815924,66.496110875607,49.579935985763,50.8183868437681,67.621585039751,64.3413134470572,31.511190866048,43.0441866773004,80.9168015312413,52.5476302268248,73.342311495566,74.0310966933541,58.8441126998721,96.4079946234509,8.8431019664943,44.0767744592661,,62.02136558097665
1977:Q1,69.2988186376311,74.1963685815395,74.4364192180084,72.0477035018642,68.3753552571038,77.2070303291395,70.5198116847011,50.9167459468589,66.9020293430753,48.834031606971,51.4892379662184,68.2557506105701,64.3310376195981,30.6219128180833,42.8034116725608,82.1691740836019,53.1191824527988,71.8231940800059,74.017654819419,58.7890584710116,99.0889395657979,8.91742483762339,44.7629647967512,,61.996913191789865
1977:Q2,68.782435223035,74.0072087673616,75.388476720135,72.3612301594627,69.0004957406252,77.4755957947066,70.4736478992937,50.6537537793095,67.1072664437003,48.695347214475,52.0805643371042,69.0233218205786,64.5148059236845,31.5258995371831,42.7235707173377,81.1415562512974,53.668310584823,70.1378240593911,73.991914836976,59.1572004451964,98.0173849064394,9.00916837900876,46.8110079817839,,62.294244662328246
